name,stars,text,timeSince,openStatus,key
Leslie Santiago,5.0,"My family and I came here and had great time. We ate at the buffet, which had a nice salad bar and of course pizza and played some games as well. There were a few games that weren't working, but I'm sure they are working on fixing them. It …More",a year ago,Closed,2000671949
Javier Zamora,5.0,amazing place for family and friends or a group.. we came in from Lewisville to enjoy this pizzas.. while remembering all  locations are close in the mayor DFW area..remember in 2000s lotacions everywhere..,a year ago,Closed,2000671949
Wendy Lackey,5.0,Our favorite pizza place! Just go! Bring the kids and enjoy yourself. The food is great.,a year ago,Closed,2000671949
Roger Grady,4.0,Great choices in food and drink.  Kids have a very good arcade games area to spend your dollars (although very reasonable compared to other places) and their time between munching on pizza.,a year ago,Closed,2000671949
Michelle Pierce,5.0,"Mr. Gatti's recently made the switch to become a pizza buffet. they make whatever Pizza you request to order and put it on the buffet, they also have a salad buffet, as part of the salad buffet they include fruit options. They have soup, …More",2 years ago,Closed,2000671949
joshua anderson,4.0,Nice place with very friendly staff. The food smells good too.,3 years ago,Closed,2000671949
steven parsley,4.0,Its pretty good.  At least the kids enjoy it.  There are plenty of Pizzas made to really satisfy the pallet.  Place is always clean and staff is pretty friendly.  Sometimes they can be a bit aggressive in grabbing your empty plates from …More,a year ago,Closed,2000671949
Dorathy Turcotte,4.0,We had a pizza here for lunch and it was fabulous. We ordered the large meat special pizza and it was more than enough to eat. A small pizza would have been plenty for a couple for lunch. I tend to over order and then make sure I eat it all if good. I did leave one piece. The service was very good and the price was great.,a year ago,Closed,2000671949
Ninja R,2.0,"Well. It's definitely pizza. It's not great pizza but it's pizza. I don't really have high expectations for buffet pizza. It was edible. That's... something, right? I imagine it's probably better when they expect higher traffic. I don't really plan on returning. Ugh, I hope not, anyway.",a year ago,Closed,2000671949
Lee Kuehner,2.0,Tried this place out last night. It's not the Go-to pizza place it was in the 80's and 90's. very disappointing. …More,a year ago,Closed,2000671949
Jay Sterling,5.0,Update now they have a pizza buffet and amazing salad buffet best pizza buffet in DFW!,2 years ago,Closed,2000671949
Eric Wes,4.0,"I found the pizza, the only thing we ate, to be quite good. Of course my 4-star rating is not going to help much, but I'm holding off on the 5th star until after a 2nd visit. …More",3 years ago,Closed,2000671949
cameron handler,2.0,Good atmosphere for a family but if you are looking for great pizza keep driving.  The buffet has a good selection but when you go to a pizza buffet we all know why your there.  If they don't change the dough I would go.,a year ago,Closed,2000671949
