id,Keyword,Name,Full_Address,Street_Address,City,State,Zip,Plus_Code,Website,Phone,Email,Facebook,Twitter,Instagram,Lat,Lng,Claimed,Category,Rating,Reviews,Top_Image_URL,Sub_Title,Pricing,Amenities,Summary,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,External_Urls,Photo_Tags,URL,Unnamed: 36,Status
65,Anthony's Coal Fired Pizza 960 Dekalb Pike BLUE BELL PA 19422 (610) 275-2625,Anthony's Coal Fired Pizza,"960 Dekalb Pike Unit 600, Blue Bell, PA 19422",960 Dekalb Pike Unit 600,Blue Bell,PA,19422,"5P75+XJ Blue Bell, Pennsylvania",acfp.com,(610) 275-2625,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,40.1649891,-75.2909696,No,Pizza restaurant,4.3,355,https://lh5.googleusercontent.com/p/AF1QipOjo99Ux9PNF6k1A82uIfhuhR2ZDeg9-ZPI7isb=w408-h306-k-no,,$$,,,11AM–9PM,11AM–9PM,11AM–9PM,11AM–9PM,11AM–10PM,11AM–10PM,12–9PM,,"All, Menu, Food & drink, Vibe, By owner","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@40.1649891,-75.2931636,17z/data=!4m5!3m4!1s0x89c6bcd9cdd363d3:0x2f0e0ff721d69a1b!8m2!3d40.1649891!4d-75.2909696?hl=en",,Scraped
64,Anthony's Coal Fired Pizza 2302B Nesconset Hwy STONY BROOK NY 11790 (631) 444-0818,Anthony's Coal Fired Pizza,"2302 Nesconset Hwy B, Stony Brook, NY 11790",2302 Nesconset Hwy B,Stony Brook,NY,11790,"VVGH+25 Stony Brook, New York",acfp.com,(631) 444-0818,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,40.8750085,-73.122108,No,Pizza restaurant,4.4,270,https://lh5.googleusercontent.com/p/AF1QipOpV3D3cJRHTHMkheTaO9eIkERx3waBwkckQgtJ=w408-h306-k-no,,$$,,,11:30AM–10PM,11:30AM–10PM,11:30AM–10PM,11:30AM–10PM,11:30AM–11PM,11:30AM–11PM,11:30AM–10PM,,"All, Menu, Food & drink, Street View & 360°","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@40.8750085,-73.124302,17z/data=!4m5!3m4!1s0x89e838f011b7e661:0x5430ab02681d5d43!8m2!3d40.8750085!4d-73.122108?hl=en",,Scraped
63,Anthony's Coal Fired Pizza 1000 S State Road 7 WELLINGTON FL 33414-6263 (561) 615-1255,Anthony's Coal Fired Pizza,"1000 S State Rd 7, Wellington, FL 33414",1000 S State Rd 7,Wellington,FL,33414,"MQ7X+G4 Wellington, Florida",acfp.com,(561) 615-1255,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,26.663861999999998,-80.2021952,No,Pizza restaurant,4.4,483,https://lh5.googleusercontent.com/p/AF1QipMmxWIxcGzSGzCgbcl-Ncgsos-Fbg_Zb7nfxtlV=w408-h306-k-no,,$$,,,11AM–9PM,11AM–9PM,11AM–9PM,11AM–9PM,11AM–10PM,11:30AM–10PM,11:30AM–9PM,,"All, Latest, Menu, Food & drink, Vibe, By owner, Street View & 360°, Videos","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@26.663862,-80.2043892,17z/data=!3m1!5s0x88d92f4682a893f7:0x94870c8e4c3ebb46!4m5!3m4!1s0x88d92f3897cb56e1:0x7e0521c8acc488ee!8m2!3d26.663862!4d-80.2021952?hl=en",,Scraped
62,Anthony's Coal Fired Pizza 102 McDowell Ln MCMURRAY PA 15317-2434 (724) 941-4900,Anthony's Coal Fired Pizza,"102 McDowell Ln, McMurray, PA 15317",102 McDowell Ln,McMurray,PA,15317,"7VCC+26 McMurray, Pennsylvania",acfp.com,(724) 941-4900,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,40.270017100000004,-80.1293833,No,Pizza restaurant,4.4,433,https://lh5.googleusercontent.com/p/AF1QipMuiYmzFWtZiKPkhz9wrngT4hoJRFoQGOG7yPrw=w426-h240-k-no,,$$,,,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–10PM,11:30AM–10PM,11:30AM–9PM,,"All, Latest, Menu, Food & drink, Vibe, By owner, Street View & 360°","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@40.2700171,-80.1315773,17z/data=!3m1!4b1!4m5!3m4!1s0x883455b9a3c95ad3:0xfbdd5e75548b2d07!8m2!3d40.2700171!4d-80.1293833?hl=en",,Scraped
61,Anthony's Coal Fired Pizza 1203 S Federal Hwy POMPANO BEACH FL 33062-7067 (954) 942-5550,Anthony's Coal Fired Pizza,"1203 S Federal Hwy, Pompano Beach, FL 33062",1203 S Federal Hwy,Pompano Beach,FL,33062,"6V8V+3C Pompano Beach, Florida",acfp.com,(954) 942-5550,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,26.215185899999998,-80.10641190000001,No,Pizza restaurant,4.4,755,https://lh5.googleusercontent.com/p/AF1QipO_0i6E6ht8CAKuOQSY9fdeODqWGJIzfrEiz3RE=w408-h409-k-no,,$$,,,11:30AM–9:30PM,11:30AM–9:30PM,11:30AM–9:30PM,11:30AM–9:30PM,11:30AM–10PM,11:30AM–10PM,11:30AM–9:30PM,,"All, Menu, Food & drink, Vibe, By owner, Street View & 360°","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@26.2151859,-80.1086059,17z/data=!4m5!3m4!1s0x88d9027c5af7f52d:0x2d3a0e6df3fb4d2d!8m2!3d26.2151859!4d-80.1064119?hl=en",,Scraped
60,Anthony's Coal Fired Pizza 123 E Swedesford Rd EXTON PA 19341-2333 (610) 594-1900,Anthony's Coal Fired Pizza,"123 E. Swedesford Road Suite K-L, Exton, PA 19341",123 E. Swedesford Road Suite K-L,Exton,PA,19341,"29PC+FJ Exton, Pennsylvania",acfp.com,(610) 594-1900,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,40.036170899999995,-75.62842370000001,No,Pizza restaurant,4.4,290,https://lh5.googleusercontent.com/p/AF1QipPO_mkJPb4ahXjrHb9YFl3Go3cY3Fidy04xriwx=w408-h431-k-no,,$$,,,4–9PM,4–9PM,4–9PM,4–9PM,11AM–10PM,11AM–10PM,12–9PM,,"All, Latest, Menu, Food & drink, By owner, Street View & 360°","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@40.0361709,-75.6306177,17z/data=!4m5!3m4!1s0x89c6f49a14b5a339:0xcf3b5cdd6e9e71ff!8m2!3d40.0361709!4d-75.6284237?hl=en",,Scraped
59,Anthony's Coal Fired Pizza 12502 S W 88th St KENDALL FL 33186 (305) 273-8020,Anthony's Coal Fired Pizza,"12502 SW 88th St, Miami, FL 33186",12502 SW 88th St,Miami,FL,33186,"MJP2+7M Miami, Florida",acfp.com,(305) 273-8020,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,25.685631,-80.3983246,No,Pizza restaurant,4.5,712,https://lh5.googleusercontent.com/p/AF1QipMSBdQhQMjjJ_rMvMhevgeLAkqqXb86OG9uRd26=w408-h407-k-no,,$$,,,11:30AM–9:30PM,11:30AM–9:30PM,11:30AM–9:30PM,11:30AM–9:30PM,11:30AM–10PM,11:30AM–10PM,11:30AM–9:30PM,,"All, Menu, Food & drink, Vibe, By owner, Street View & 360°, Videos","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@25.685631,-80.4005186,17z/data=!3m1!5s0x88d9c0fb36dff2c9:0x881f1844e22e8490!4m5!3m4!1s0x88d9c6ec72bdbdad:0x6739b2a165280fd!8m2!3d25.685631!4d-80.3983246?hl=en",,Scraped
58,Anthony's Coal Fired Pizza 1280 Broadhollow Rd FARMINGDALE NY 11735-3933 (631) 420-0407,Anthony's Coal Fired Pizza,"1280 Broadhollow Rd, Farmingdale, NY 11735",1280 Broadhollow Rd,Farmingdale,NY,11735,"PHMG+R9 Farmingdale, New York",,(631) 420-0407,,,,,40.7345856,-73.4240303,No,,4.2,,https://lh5.googleusercontent.com/p/AF1QipMkUJdS5mDGy0EhFy5hKJ6lO4LNGbrF4UWafL7j=w408-h306-k-no,,$$,,,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,11:30AM–9PM,,"All, Menu, Food & drink, Vibe, By owner, Street View & 360°, Videos","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@40.7345856,-73.4262243,17z/data=!4m5!3m4!1s0x89e82ae0b22fbe91:0xd9e98026ba883a19!8m2!3d40.7345856!4d-73.4240303?hl=en",,Scraped
57,Anthony's Coal Fired Pizza 15492 NW 77th Ct MIAMI LAKES FL 33016-5823 (305) 558-3950,Anthony's Coal Fired Pizza,"15492 NW 77th Ct, Miami Lakes, FL 33016",15492 NW 77th Ct,Miami Lakes,FL,33016,"WM8F+45 Miami Lakes, Florida",acfp.com,(305) 558-3950,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,25.9152521,-80.32701180000001,No,Pizza restaurant,4.5,516,https://lh5.googleusercontent.com/p/AF1QipMfZf105cyRKlRvfnQfG41k6rK7cnPG_ReQr1L8=w408-h306-k-no,,$$,,,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–9:30PM,11AM–10PM,11:30AM–10PM,11:30AM–9:30PM,,"All, Menu, Food & drink, Vibe, By owner, Street View & 360°, Videos","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@25.9152521,-80.3292058,17z/data=!3m1!5s0x88d9a4d10cd7567f:0xf6710c0fd7984ffd!4m5!3m4!1s0x88d9a4d6c3181e5f:0xf8882fe61ef9f55d!8m2!3d25.9152521!4d-80.3270118?hl=en",,Scraped
56,Anthony's Coal Fired Pizza 1600 State Route 23 WAYNE NJ 07470-7523 (973) 872-2625,Anthony's Coal Fired Pizza,"1600 Route 23 North, Wayne, NJ 07470",1600 Route 23 North,Wayne,NJ,7470,"WPQJ+JC Wayne, New Jersey",acfp.com,(973) 872-2625,"meda@acfp.com,media@acfp.com",https://www.facebook.com/anthonyscoalfiredpizza,,https://www.instagram.com/anthonyscoalfiredpizza/,40.9390651,-74.2689859,No,Pizza restaurant,4.3,268,https://lh5.googleusercontent.com/p/AF1QipONqjsCkU-T3fQjKqua7qDb1tv4Q1uxE8jJMnfD=w408-h306-k-no,,$$,,,11:30AM–10PM,11:30AM–10PM,11:30AM–10PM,11:30AM–10PM,11:30AM–10PM,11:30AM–10PM,11:30AM–9PM,,"All, Latest, Menu, Food & drink, By owner, Street View & 360°","https://www.google.com/maps/place/Anthony's+Coal+Fired+Pizza/@40.9390651,-74.2711799,17z/data=!4m5!3m4!1s0x89c304d14b224413:0xff15bc03ba8ecdfe!8m2!3d40.9390651!4d-74.2689859?hl=en",,Scraped
