name,stars,text,timeSince,openStatus,key
Esteban Phillips,5.0,They serve large dishes and for reasonable pricing. very nice staff. Keep it up.,a week ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Chris Genovese,1.0,25 dollars for a pizza with no cheese. We had to take cheese of 2 slices to make one edible slice. Finally it tasted like we were eating spent match sticks from a week prior. I am all for a smoky taste but not something that stays on your taste buds for hours.,2 years ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Luis Alfau,5.0,It's some good pizza.,3 weeks ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Gerri Rom,5.0,Everything we ordered was well prepared. Service was excellent. But it is a limited lunch menu.,3 weeks ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Mishal Syed,2.0,"Always been kind of curious about the hype behind Anthony's - I love pizza!! And whenever I get a pie, I ask for it well done. A pizza box from Anthony's literally says ""Pizza well done"", so I figured it'd be pretty bomb.
Unfortunately, I wasn't that impressed. Although certainly not BAD, I think I'll stick to my regular pizzeria's from now on. For those of you that like thin crust, well done pizza, I think you'll enjoy this for sure. I think my main issue was that it was just a little too thin for me? Border line just crunchy pizza. I wouldn't NOT go to Anthony's again if somebody really wanted to, but it wouldn't be my first pick if that make sense.
Oh, and the wings were not good AT all imo.
*Pictured: Philly Cheese Steak & Traditional",2 years ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Jacob Abrams,5.0,"I'm a big pizza connoisseur and I have to admit this was one of the very best Pizza pies I've ever had. Very unique. Cheese is flavorful, crust is excellent and just enough fresh plum sauce. Very pleased!",a month ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Laura Elgavisch,5.0,"Yesterday (2/28/20) we had a birthday party for my daughter and 9 of her friends.  We were able to get the back, private room.  Chris the manager was very easy to work with as he gave us a package deal including pizza, wings and salad.
Nicole was our waitress.  She was absolutely AMAZING!  She was friendly, (always smiling) professional and very attentive!  We couldn’t have asked for a better waitress than her!  I highly recommend this place!  Thanks for everything!  We will definitely come back!",6 months ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Paul C,3.0,Overpriced and what a mess inside the box. The sauce on the margherita pie was good.,a month ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Joe Olson,5.0,We had a wonderful  at this spot. We loved the superb environment and the food. The staff members are super attentive. I am glad we finally decided to visit this restaurant.,6 months ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Cathy Anner,5.0,"Perfect every time!! The broccoli rabe and sausage is cooked to perfection! Personal pizzas amazing. Salads great. Maddy, our server wad wonderful and welcoming. Great atmosphere! We always come back for more! Ya gotta go",10 months ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Abdul Jafair,5.0,"Tasty well done pizza as they advertise.
Friendly and beautiful service.
CozY seating and a large bar.",8 months ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Tom Gorman,5.0,"The bartender was AWESOME!!!  I think his name was Cory and he was absolutely attentive despite a full bar. The guy works incredibly fast!  My wife and I marveled about how he engaged each customer, provided great service, and fluidly moved to the next! I'm not in the food service industry but our group was very impressed!",a year ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
Rick Woods,5.0,Haven't been there for a while but their cauliflower pizza is great meatball appetizer and fresh salad,8 months ago,Open,Anthony's Coal Fired Pizza 6401 Jericho Tpke COMMACK NY 11725-2832 (631) 858-2625
