Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Chuck E. Cheese's,100 24th St W,BILLINGS,MT,59102-4772,4066564171.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@45.7717117,-108.5785669,17z/data=!3m1!4b1!4m5!3m4!1s0x53487cc5702d39db:0x3c9f27a4cea3a847!8m2!3d45.7717117!4d-108.5785669",
Chuck E. Cheese's,1000 Hylan Dr,ROCHESTER,NY,14623-4218,5852926380.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@43.1466147,-77.7397619,12z/data=!4m8!1m2!2m1!1sChuck+E.+Cheese's+1000+Hylan+Dr+ROCHESTER+NY+14623-4218!3m4!1s0x89d14b0a8171d661:0x59a5eab898cdb7df!8m2!3d43.0809623!4d-77.627308?hl=en",
Chuck E. Cheese's,1000 Lehigh Valley Mall,WHITEHALL,PA,18052-5729,6102669473.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@40.6320841,-75.4758344,17z/data=!3m1!4b1!4m5!3m4!1s0x89c439a7dc9604bb:0xe2cfc27e659d5340!8m2!3d40.6320841!4d-75.4758344",
Chuck E. Cheese's,10007 N Nevada St,SPOKANE,WA,99218-1420,5094640447.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@47.748988,-117.3960654,17z/data=!3m1!4b1!4m5!3m4!1s0x549e1c38e02a3765:0x490701a176db5f1!8m2!3d47.748988!4d-117.3960654",
Chuck E. Cheese's,100 S Creasy Ln,LAFAYETTE,IN,47905-0753,7654491020.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@40.41652,-86.8425582,17z/data=!3m1!4b1!4m5!3m4!1s0x88131cc783e3a119:0x3f9d66ddb8a44727!8m2!3d40.41652!4d-86.8425582",
Chuck E. Cheese's,1000 Turtle Creek Dr,HATTIESBURG,MS,39402-1171,6012612668.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@31.3251962,-89.3758432,17z/data=!3m1!4b1!4m5!3m4!1s0x889cdf14f78ebc97:0x5407a0c65a5c03ca!8m2!3d31.3251962!4d-89.3758432",
Chuck E. Cheese's,1001 Commons Dr,DOTHAN,AL,36303-2288,3347022305.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@31.2536258,-85.42733,17z/data=!3m1!4b1!4m5!3m4!1s0x8892920d872b19f9:0x5b50727afded9e27!8m2!3d31.2536258!4d-85.42733",
Chuck E. Cheese's,1035 Washington Pike,BRIDGEVILLE,PA,15017,4122572570.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@40.3644074,-80.1103927,17z/data=!3m1!4b1!4m5!3m4!1s0x883457fa06f496c7:0x4e535264aaeed7d2!8m2!3d40.3644074!4d-80.1103927",
Chuck E. Cheese's,105 W Prospect Rd,FORT COLLINS,CO,80525-1359,9702212121.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@40.5659477,-105.077652,17z/data=!3m1!4b1!4m5!3m4!1s0x87694b002022d3f3:0xd32cc2ef7a8c1493!8m2!3d40.5659477!4d-105.077652",
Chuck E. Cheese's,10515 N Mopac Expy,AUSTIN,TX,78759-5468,5123724700.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@30.387184,-97.733288,17z/data=!3m1!4b1!4m5!3m4!1s0x8644cb878dc40753:0x19df8b49288fe3b!8m2!3d30.387184!4d-97.733288",
Chuck E. Cheese's,1027 Oliver Rd,FAIRFIELD,CA,94533,7074264500.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@38.2522371,-122.0687058,17z/data=!3m1!4b1!4m5!3m4!1s0x8085141bfb3b2c27:0xc86de57dc53de781!8m2!3d38.2522371!4d-122.0687058",
Chuck E. Cheese's,10949 Firestone Blvd,NORWALK,CA,90650-2242,5628684184.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@33.9237651,-118.0996051,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2d299f09393cb:0x93cbe2d311f4ea03!8m2!3d33.9237651!4d-118.0996051",
Chuck E. Cheese's,1100 E Lewis and Clark Pkwy,CLARKSVILLE,IN,47129-7735,8122180808.0,"https://www.google.com/maps/place/Chuck+E.+Cheese/@38.3162063,-85.7551471,17z/data=!3m1!4b1!4m5!3m4!1s0x88697204d29575fd:0xd722f0055a6fee5c!8m2!3d38.3162063!4d-85.7551471",
