name,stars,text,timeSince,openStatus,key
Sabrina Richardson,4.0,The food is great as always. Best sauce around. I had issues with ordering online which caused unnecessary issues for my self. The staff was kind and pizza was delicious.,a year ago,Closed,1000804796
Brandon banks,1.0,"Ordered 18 wings it was 20 minutes late only got 12 wings.  I have been on hold for 25 minutes so far waiting to complain.  Listening to  the hold message repeat non stop it says they are hiring and care about pizza.  Going to have some nightmares about that message"". About to hang up because I have work tomorrow.   Not a well ran pizza hut",11 months ago,Closed,1000804796
Valentina Yang,1.0,"I wish I could give this pizza hut 0 stars . They are THE ONLY BAD PIZZA HUT IN ANCHORAGE ! Do not order from them . They overcharge , they switch order and also give you raw pizza . The only reason I gave them another chance is because my daughter loves their pizza , but they have done this waaay too many times now . Do yourself a favor and DONT ORDER FROM THEN . Get dominos or papa johns ...",9 months ago,Closed,1000804796
Patrick Standifer,5.0,"My 'n the bois went here to eat during Senshi con, pretty chill place and food was good.",11 months ago,Closed,1000804796
Tom Holman,1.0,"Ordered pizza from the Sheraton one block away from the 6th Street store. Walked over to pickup after confirming they were the ones one block from the Sheraton with them during the order. Got there and they said there was no order for me.  I asked if the number I dialed, showing her my phone, if it was this store. She said no. Went to redial the number to have them deliver to my hotel thinking I must have called the wrong place. Had to listen to the phone commercials and finally they answered. They said there was no order for me. Hung up and compared the phone log to the Google address and phone number which matched the 6th Street store I was standing at. They are morons, stay away from this store

Fumed for a few minutes walking back to the hotel then went to Uncle Joe's after reading other reviews. Down the road some, but was worth it.",a year ago,Closed,1000804796
Douglas Kelly,4.0,"The food comes up quick and it always tastes good. No where to sit, only for pick up or delivery. Far better than domino's.",a year ago,Closed,1000804796
Lonnie Tyone,5.0,The guys here are some of nicest young people I've ever seen in a long time. They were happy and I get the impression that they enjoy what they do. And far as pizza is concerned it was a great pizza and breadsticks.,a year ago,Closed,1000804796
Ted Burkhart,4.0,Great pepperoni pizza..always consistant..always good,11 months ago,Closed,1000804796
Timber Wolf,1.0,Made an order for pizza and an employee said the pizza would be ready in 15 minute hut when we went to pick up the employees would not open the door..very bad customer service..do not recommend ordering from this place on 6th ave.,a year ago,Closed,1000804796
marck mane,5.0,"Great pizza 6.99 if u order online n carryout n that's just a medium, now the largest go from 7.99-9.99 online order for carryout",a year ago,Closed,1000804796
Scott Carter,2.0,"Good prices, all things considering, and a different offering than other pizza delivery companies. Didn't taste half bad either. However, that's where the nice part ends.

Pizza tracker ticked on and on, order wasn't processed for a long time. Took almost an hour and half to get two pizzas less than two miles away. Driver took a very sketchy imprint of my card because it was apparently ""policy"" despite me still signing the receipt showing I had already paid. Imprints should have died out years ago for this industry, but not here.

Days later, that same card hit a $600 fraudulent charge from a random store in Iceland and I had to cancel it. No proof it was this Pizza Hut but extremely coincidental.

Save yourself the trouble. There's better places out there. Try a different Pizza Hut or delivery option.",2 years ago,Closed,1000804796
Marco,5.0,"No restaurant, only delivery or takeout. Great staff, very friendly. Pizza was ready for takeout in time as promised. Fresh and tasty. Would go again.",2 years ago,Closed,1000804796
Manisha Maniar,4.0,Too good and fresh pizzas with cordial staff,a year ago,Closed,1000804796
Linda Friend,3.0,Pizzas good but the manager ripped me off for $4.00,a year ago,Closed,1000804796
nathan swift,4.0,They were very patience with my numb head thinking out loud and humming good rock through my lips as a Newport gets short!!,11 months ago,Closed,1000804796
Ashutosh Jha,5.0,Good pizza. No peper,a year ago,Closed,1000804796
Landis Loftin,4.0,Nice staff. Good quick pizza to go,a year ago,Closed,1000804796
Lee Brown,4.0,I really appreciate the service of the staff!,a year ago,Closed,1000804796
Christopher .Jordan,4.0,Great place for some pizza . Friendly staff too,a year ago,Closed,1000804796
Donna Frankson-Harris,3.0,Pizza is small and Uncle Joe's Pizzeria is better! (My opinion.),a year ago,Closed,1000804796
Scott Baker,1.0,"Multiple issues at this location. On more than one occasion, I have showed up to pick up pizzas, and told they never got the order. I say pick up because getting this place to deliver in under two hours is impossible, if they show up at all. The manager is immature and confrontational, and states there is no corporate office to call. 5 out of 20 attempts have ended with no pizza. How is that possible?",2 years ago,Closed,1000804796
Belinda MacIntire,4.0,Love the hut topping and the garlic. Sauce.. Ask for deals,2 years ago,Closed,1000804796
Jesse Millions,4.0,Fast and tastes okay.,a year ago,Closed,1000804796
Maria W,1.0,Absolutely the worst tasting pizza I’ve ever had. One of the pizzas didn’t appear to have any cheese on it. I don’t think I’ve ever had a pizza I couldn’t finish until now. Bizarre.,a year ago,Closed,1000804796
Brian Schroeder,2.0,Wasnt cooked all the way,a year ago,Closed,1000804796
D'Andrea J,1.0,"I ordered cinnamon stix on 3/26/18. My cinnamon icing was warm and liquidy which was unusual because normally the sauce is cold and is thick. The icing was also yellowish white instead of it being just white. I’ve been eating Pizza Hut long enough to know what the icing is suppose to look, feel, smell, and taste like. I really believe someone did something to my icing and I am reporting this location! This isn’t the first time my order has been screwed over. I thought I’d give them another try but this has definitely done it for me! Save yourself the disappointment!",2 years ago,Closed,1000804796
The Alaskan RC GUY,5.0,Very good team.here at this location. Located in the downtown area of Anchorage Alaska. Perfect for airforce base deliveries as it is located right down the road from Government Hill.,2 years ago,Closed,1000804796
Sammy Afe,3.0,"Prices high and employees are far from welcoming when I do my own carry out. Manager is cool though. I get what I paid for, no major complaints. ",5 years ago,Closed,1000804796
Christian Grimm,3.0,Pizza and boneless wings. Nice.,a year ago,Closed,1000804796
Rory Johnson,1.0,Ordered pizza never showed up said they called us never called us your people need to review the computer better we use you guys all the time to say we had the wrong number your sadly mistaken won't use you again,a year ago,Closed,1000804796
taha young,5.0,The pizza is delicious,a year ago,Closed,1000804796
Tory Anderson,5.0,Very affordable! Less than $10.00 will feed you. $7.99 For a personal pan and a soda.,3 years ago,Closed,1000804796
Tammy Michaels-Jimenez,5.0,"Mmm, 👍",9 months ago,Closed,1000804796
DO IT WITH NATE,1.0,Burnt pizza on hair very rude to customers and her own employees,2 years ago,Closed,1000804796
pizza guy,3.0,Waited minute to order but got it quick.,2 years ago,Closed,1000804796
Anthony Lambrechts,5.0,Great customer service. Quick pizza. Friendly people. ,3 years ago,Closed,1000804796
Daniel Herrera,1.0,Should say all closed at 11pm. Smh had me on hold for forever!,2 years ago,Closed,1000804796
Jasmine H,4.0,i beleive that someone sneezed on my pizza that i got on 12/11/15 awful. I caught a cold after eating it.  The managers are more than accommodating,2 years ago,Closed,1000804796
Heidi,1.0,I ordered a pizza from here online..apparantly a little late they were closed. Immediately called them to cancel order (I don't need it at 12:30pm)  I am told no problem. .order cancelled.  Then today I get an email telling me I am getting the pizza delivered at 12:30 to my work..where I am not..order not done yet but my money gone from bank account I am reporting this to the BB if money not returned by end of business today. Shame on Pizza Hut..never again..what a lot of morons.,5 years ago,Closed,1000804796
Sophina Edenshaw,1.0,"I wouldn't even give a star at all. Worst place ever! They were ""slammed"". I ordered my pizza at 6:10 pm and at 8:12 pm I finally got through to cancel it. I've never had an experience like this at all! I would not recommend it to anyone.",3 years ago,Closed,1000804796
Kati Jones,1.0,Worst customer service experience ever. Poor guy came in asking for a menu and the guy told him pretty much he was sol and the owner took out the paper menus.,4 years ago,Closed,1000804796
Lori Perry,5.0,Da best pizza ever! However workerz act like they r 2 gd 2 work there. N slow! However when gravin pizza they r close by😥,3 years ago,Closed,1000804796
Isaac Pulliam,3.0,Not bad. Not incredible. Always satisfying.,2 years ago,Closed,1000804796
Joanne Youn,5.0,"Pizza was hot and ready when we walked in.  Employees were friendly and helpful.  Also, really appreciated the above and beyond service we received when we were followed in and harassed by a random homeless person.",3 years ago,Closed,1000804796
Kevin Berry,1.0,Pizza showed up 45 minutes after the tracker said it would and was cold. Called to  complain and they said to try the main number the next day. No one answers the main number and there is no voice mail. Domino's is at 561-8166.,2 years ago,Closed,1000804796
OONIJ THE JINOO,4.0,"Ok pizza, crust is small",a year ago,Closed,1000804796
Ken Smith,4.0,"Veggies were good, would like more sauce.",4 years ago,Closed,1000804796
Leroy Porte,3.0,The pizza there is a little too oily,a year ago,Closed,1000804796
LadyAndrea907,5.0,Come get a hot fresh made to order pizza! Under new management!,3 years ago,Closed,1000804796
chris whiskers,3.0,"Pizza hut certainly has good pizza, Better then a lot of place's around town. It hardly fills you up though if you got a large stomic. can be VERY pricey!

 2 larges's and an order of breadsticks and soda can allmost cost you 60 bucks (depending what you get) Well at hot mana's (my favorite) you can get the same stuff for half that and get more! 

 All in all 3 stars, great tasting pizza, delivery has always been decent and very nice employee's.",10 years ago,Closed,1000804796
Isaac Pang,5.0,Love its,a year ago,Closed,1000804796
Eugene Omiak,5.0,Great deals,a year ago,Closed,1000804796
Charles Blunt,1.0,Nothing special,a year ago,Closed,1000804796
Southern Pipe,5.0,YES!!!,9 months ago,Closed,1000804796
Terry Miller,4.0,"I like the personal size  pizza...bacon,ham,mushrooms,spinach...",2 years ago,Closed,1000804796
Scranton Flasher,1.0,Terrible quality and no communication past 11 pm. It's 113 am and I've place my order at 1045 pm. No sign of receiving my pizza tonight. Would give 0 stars if this was an option.,2 years ago,Closed,1000804796
Evgeny Ranauneut,4.0,Good pizza,a year ago,Closed,1000804796
Dale Depue,4.0,Pizza,8 months ago,Closed,1000804796
Lisa Rivas,1.0,Pretty gross,a year ago,Closed,1000804796
Elmer Parizo,5.0,Excellent,a year ago,Closed,1000804796
tamunnlyn,2.0,Nice cool little spot but disappointed with the food.,2 years ago,Closed,1000804796
Alex Harvey,1.0,Poor service and bad food.,3 years ago,Closed,1000804796
Dave Dave,2.0,"(Translated by Google) Fast delivery therefore also 2 instead of 1 star. The pizza itself is unfortunately not really enjoyable, especially if you bring a courier who smokes in the car and the ashtray in the car is completely overcrowded. I smoke myself but in connection with food deliveries this is a no go. The pizza was not satisfactory even if it is very cheap. Maybe I also got the wrong day for it.

(Original)
Schnelle Lieferung darum auch 2 statt 1 Stern. Die Pizza selber ist leider nicht wirklich geniessbar vor allem nicht wen es dir ein Kurier bringt der im Auto raucht und der Aschenbecher im Auto komplett überfüllt ist. Ich rauche selber aber im Zusammenhang mit Essens Lieferungen ist dies ein No Go. Die Pizza war nicht befriedigend auch wen es sehr günstig ist. Vielleicht habe ich aber auch den falschen Tag dafür erwischt.",a year ago,Closed,1000804796
Santiago Vélez,4.0,"(Translated by Google) Efficient, fast, very good treatment👍

(Original)
Eficiente, rápidos, muy buen trato👍",a year ago,Closed,1000804796
Guido Chavez,3.0,"(Translated by Google) They do not sell you there, it's just to ask by phone

(Original)
No te venden ahi solo es para pedir por telefono",2 years ago-,Closed,1000804796
Capt. Martin Cooper,5.0,,6 months ago,Closed,1000804796
Chuttie Senn,3.0,,a year ago,Closed,1000804796
Lori Lynn,3.0,,a year ago,Closed,1000804796
Rae Perkins,3.0,,2 years ago,Closed,1000804796
Pam m Decker,4.0,,a year ago,Closed,1000804796
Rares Adrian Minea,1.0,,2 years ago,Closed,1000804796
s3bii i,3.0,,7 months ago,Closed,1000804796
Sheila Lang,1.0,,2 years ago,Closed,1000804796
Wade Kamkoff,5.0,,2 years ago,Closed,1000804796
R G,5.0,,11 months ago,Closed,1000804796
Molly Farmer,4.0,,a year ago,Closed,1000804796
Jack Haroldsen,3.0,,8 months ago,Closed,1000804796
Aimee Chancey,3.0,,2 years ago,Closed,1000804796
Lou S,3.0,,a year ago,Closed,1000804796
Lj Uhuh,3.0,,a year ago,Closed,1000804796
Ron Wilson,5.0,,a year ago,Closed,1000804796
Thomas Greenman,1.0,,8 years ago,Closed,1000804796
Abhijit Naik,5.0,,a year ago,Closed,1000804796
Billy Marsh,4.0,,4 years ago,Closed,1000804796
Jackie Pagaduan,5.0,,2 years ago,Closed,1000804796
Julianna Johnson,1.0,,6 months ago,Closed,1000804796
Miguel Márquez,5.0,,2 years ago,Closed,1000804796
Martin Wms,1.0,,a year ago,Closed,1000804796
ReeceCharles Freeman,5.0,,a year ago,Closed,1000804796
Todd Johnson,4.0,,8 months ago,Closed,1000804796
Marquis Harris,3.0,,a year ago,Closed,1000804796
Truckdriver Hsu,4.0,,11 months ago,Closed,1000804796
Terry Miller,4.0,,2 years ago,Closed,1000804796
Dave Mack,3.0,,3 years ago,Closed,1000804796
Donald Fox Jr,3.0,,6 months ago,Closed,1000804796
jonathan talley,1.0,,a year ago,Closed,1000804796
Chloe Meng,5.0,Amazing service!! And great food,a week ago,Open,1000804799
Guadalupe Carranza,1.0,"Really bad, Gross food, bad  service.",5 days ago,Open,1000804799
Stefan Jesse,5.0,We (Family of 4) were visiting from Germany in May 2019 on our way from Cheyenne to Badlands. We were sharing the noodles and had pizza. Very friendly waitress and good food.,a year ago,Open,1000804799
michele vinton,5.0,Went into Pizza Hut very friendly staff! Salad bar had good selection and pizza was delicious and hot!  Liked new remodel they did very snazzy!,a year ago,Open,1000804799
RandomVuy 123,2.0,The food is greasy not normal greasy either.,10 months ago,Open,1000804799
Marchelle Paul,5.0,Great service,2 months ago,Open,1000804799
Michaela Metcalf,5.0,"Good pizza, good staff. Was very busy with the Sunday church crowd, but that is to be expected.",a year ago,Open,1000804799
Janelle Skinner,5.0,Good service and food!,11 months ago,Open,1000804799
Kaci Adonis,5.0,"Recently remodeled, the staff was very friendly and hospitable. The building was clean. Salad bar was fresh and stocked well.",a year ago,Open,1000804799
QuixoticPhase,5.0,Pog,2 months ago,Open,1000804799
meakk,5.0,poggers,2 months ago,Open,1000804799
sarah eisenbraun,5.0,"Friendly staff, quick service, good selection on the menu.",a year ago,Open,1000804799
Clay Vackiner,1.0,"Just gotta say.... suuuper doughy, sticky pizza, bare wings sat on top of the sauce unshook like some kind of wing cereal. I was 15 minutes late for my carryout and there was no'one sitting inside, what's the rush?",a year ago,Open,1000804799
Amy Dillen,5.0,Ate here a couple of times while we stayed at the Western Sands motel. They have good food at reasonable prices.,a year ago,Open,1000804799
juan perez,5.0,Friendly service and  clean,a year ago,Open,1000804799
Kaci Adonis,5.0,"The best Pizza Hut around. 
 Most times when I go in its very busy. But I'm able to watch everyone working hard to get everything done! Very impressive I've never had a bad experience at this pizza hut.",2 years ago,Open,1000804799
Martyne Herberg,5.0,Friendly service and great food! I'll be back!,a year ago,Open,1000804799
Leah Baker,1.0,"Stood waiting at least 20 minutes to be seated. Hostess never came over. I could hear them in the back just talking away. Then the phone rings for an order. A lady came in to get her to go order. The woman behind the counter just looks at me and goes back to the kitchen as if I was invisible. Should I ever be coming thru here again, I certainly won't bother stopping at this place again. I ended up going across the street to the little truck stop and ate at Subway. I was served right away at Subway.",2 years ago,Open,1000804799
Delaney Childers,1.0,We waited two hours and never got our order! We ended up having to leave. On top of it all the waitress acted like a rip and didn’t care one bit that we sat there and waited. She never once tried to make it right!😡😡😡😡😡😡😡😡😡,2 years ago,Open,1000804799
Jenna Martinez,3.0,"We ordered 2 P’zone’s I’m wondering where to post a picture this is unacceptable usually the pizza is good I wanna get some of y’all opinion 
And the manager was obviously rude about the situation smh!",a year ago,Open,1000804799
Derrik Lea,1.0,"Whenever I order here, always forgetting something. Forgot my hotwings one time, another time gave me a bottle of Mtn Dew for free because they forgot one of my pizzas and made me wait 20 minutes. Another time they charged me $100 for two dinner boxes and wouldn't return my change, instead gave me store credit. When I returned to use my store credit, they were very rude and wouldn't honor what they said they would give me. Overall, I've been to better Pizza Huts than this one.",2 years ago,Open,1000804799
Trevor Ireland,4.0,You can get beer here lol,a year ago,Open,1000804799
Renee Charging Thunder,5.0,Loved it. C'mon its pizza,a year ago,Open,1000804799
chase macke,4.0,I had a great waitress who was polite and the food was good,a year ago,Open,1000804799
Gary Snider,5.0,"I have great service and the food is always good,  good people doing good  thank you",2 years ago,Open,1000804799
Janet Landreth,3.0,Went in and got our order but was ignored after food was brought out. Didn't get refills unless we went to ask and child was told that she could not have any crackers because we didn't order salad bar.,2 years ago,Open,1000804799
Julie Thunder Hawk,1.0,"The waitress was rude, she was trying have us hurry up and order. Than we told her 3 times we were ready. She didn't say any thing while she was wiping down a table and slamming a chair next to us. When I told her we were ready she says I heard you the first time. I don't plan on going over there again.",2 years ago,Open,1000804799
Diana Neeley,3.0,I did a call in order and the gal was rude and just this side of hostile. If she was the only one there I'd skip it. Pizza was okay.,2 years ago,Open,1000804799
Fred Vinton,5.0,Good food and service!,11 months ago,Open,1000804799
Jonathan Bowers,4.0,Great place to stop and pig out on pizza and soda while pedaling across the Cowboy Trail.,4 years ago,Open,1000804799
Gabe Nielsen,3.0,Not a great place for gluten free diet. Okay salad bar. No gluten free crusts. ,3 years ago,Open,1000804799
Amos88 L.D.,5.0,Been going here all the time great service great pizza at an affordable price,3 years ago,Open,1000804799
Digital Satan,3.0,It smells like cheese in here....,a year ago,Open,1000804799
Monica Klama,4.0,"Typical Pizza Hut. Very nice staff. They could improve on their restrooms...Hot water in Womens,  heat in Mens. ",6 years ago,Open,1000804799
jason lyford,4.0,Took pur local cross country team here.,2 years ago,Open,1000804799
Denise Nez,5.0,Good pleasanr and fast service.,2 years ago,Open,1000804799
American Horse,1.0,"Ordered carryout pizza and the pizza was so greasy, the grease ran down my arm.The grease soaked thru the box.",2 years ago,Open,1000804799
lynda cox,5.0,yummy in the tummy,a year ago,Open,1000804799
Rose Chappell,4.0,Good pizza,a year ago,Open,1000804799
Kristin Maxon,5.0,Great pizza!!!,a year ago,Open,1000804799
Cherry Felkins,2.0,Food is ok. Took over 45 minutes to get our pizza. They weren't even that busy.,a year ago,Open,1000804799
abagail white,5.0,The food here is wonderful ,3 years ago,Open,1000804799
Pepper Roberson,5.0,Yummy,a year ago,Open,1000804799
Kera DuVall,3.0,Average,a year ago,Open,1000804799
Khaleah Johnson,2.0,Well there waiter is slow and she came back twice with are order and took very long to get our food!!!😡,2 years ago,Open,1000804799
Marcia Townsend,4.0,Fast service today....,3 years ago,Open,1000804799
Country Guitar,5.0,I live 50 miles from here ,4 years ago,Open,1000804799
Thorkild Jessen,1.0,"(Translated by Google) Too much oil and grease in the product.

(Original)
For megen olie og fedt i produktet.",a year ago-,Open,1000804799
Skippy Jay,2.0,,a year ago,Open,1000804799
CAL COATS,3.0,,a year ago,Open,1000804799
Vonnie Schwaderer,4.0,,a year ago,Open,1000804799
casey carr,4.0,,2 years ago,Open,1000804799
Aaron Shutts,5.0,,a year ago,Open,1000804799
Lawanda Rundback,1.0,,2 years ago,Open,1000804799
Starlette Jumping Eagle,3.0,,a year ago,Open,1000804799
Alice Schultz,3.0,,2 years ago,Open,1000804799
Daryl Lea,2.0,,a year ago,Open,1000804799
