Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Blackjack Pizza,6225 E 71st Pl,COMMERCE CITY,CO,80022-2066,3032861770.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.8266507,-104.91557,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7a0acc931a0b:0xa9fdb8fe42c5f7b1!8m2!3d39.8266507!4d-104.91557",
Blackjack Pizza,6450 W 120th Ave,BROOMFIELD,CO,80020-2983,3034695221.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.9137609,-105.0687586,17z/data=!3m1!4b1!4m5!3m4!1s0x876b8a9067f22bb1:0x40396b41692866cf!8m2!3d39.9137609!4d-105.0687586",
Blackjack Pizza,1075 E South Boulder Rd,LOUISVILLE,CO,80027-2560,3036650400.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.9873792,-105.1298839,17z/data=!3m1!4b1!4m5!3m4!1s0x876bf363eac5e741:0xbfba9e3e8924148c!8m2!3d39.9873792!4d-105.1298839",
Blackjack Pizza,28245 S Tamiami Trl,BONITA SPRINGS,FL,34134-3221,2394953422.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@26.3256085,-81.8049072,17z/data=!3m1!4b1!4m5!3m4!1s0x88db190a1236b8f7:0xc3dbfffd5b115efc!8m2!3d26.3256085!4d-81.8049072",
Blackjack Pizza,6465 W Colfax Ave,LAKEWOOD,CO,80214-1801,3032376200.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.7413906,-105.0666415,17z/data=!3m1!4b1!4m5!3m4!1s0x876b8724e8b6d0a3:0xa63fdbe4b61f0a5c!8m2!3d39.7413906!4d-105.0666415",
Blackjack Pizza,4850 Chambers Rd,DENVER,CO,80239-5152,3033732111.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.7852737,-104.8094895,17z/data=!3m1!4b1!4m5!3m4!1s0x876c64f24ba66be9:0xed20c12fa9975806!8m2!3d39.7852737!4d-104.8094895",
Blackjack Pizza,3023 Walnut St,BOULDER,CO,80301-2509,3034426677.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@40.0206928,-105.2531625,17z/data=!3m1!4b1!4m5!3m4!1s0x876bedd98f80200f:0xe1098799fec65e24!8m2!3d40.0206928!4d-105.2531625",
Blackjack Pizza,7500 S University Blvd,CENTENNIAL,CO,80122-3194,3036943300.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.5800588,-104.9589639,17z/data=!3m1!4b1!4m5!3m4!1s0x876c83e1d14aef71:0xf4163822219f5bc6!8m2!3d39.5800588!4d-104.9589639",
Blackjack Pizza,2443 S University Blvd,DENVER,CO,80210-5407,3037225222.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.6721643,-104.9598023,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7e15015cbe59:0x4386fc16be707862!8m2!3d39.6721643!4d-104.9598023",
Blackjack Pizza,2020 S Parker Rd,DENVER,CO,80231-5784,3037453800.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.6796044,-104.8757911,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7d64499d99cb:0x398e098b335ec93c!8m2!3d39.6796044!4d-104.8757911",
Blackjack Pizza,1888 S Garrison St,LAKEWOOD,CO,80232-6423,3037639933.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.6822855,-105.1001251,17z/data=!3m1!4b1!4m5!3m4!1s0x876b81a064d50ead:0x64531e8904bbd8a7!8m2!3d39.6822855!4d-105.1001251",
Blackjack Pizza,9821 S Parker Rd,PARKER,CO,80134-8815,3038409100.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.5386268,-104.771187,17z/data=!3m1!4b1!4m5!3m4!1s0x876c91e5582298d1:0x6bd460c25d159d4e!8m2!3d39.5386268!4d-104.771187",
Blackjack Pizza,5934 S Kipling Pkwy,LITTLETON,CO,80127-5571,3039791996.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@39.6082584,-105.1082395,17z/data=!3m1!4b1!4m5!3m4!1s0x876b7f24f3577bd7:0xa5224befe4171b02!8m2!3d39.6082584!4d-105.1082395",
Blackjack Pizza,905 E Lincolnway,CHEYENNE,WY,82001-4707,3076326262.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@41.136311,-104.804727,17z/data=!3m1!4b1!4m5!3m4!1s0x876f3adde15a637b:0x2d87a7e3cd316c70!8m2!3d41.136311!4d-104.804727",
Blackjack Pizza,2505 N Campbell Ave,TUCSON,AZ,85719-3304,5203252121.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@32.2522955,-110.9443767,17z/data=!3m1!4b1!4m5!3m4!1s0x86d6719f2a64c8ef:0x191ed5f155a78468!8m2!3d32.2522955!4d-110.9443767",
Blackjack Pizza,2328 S Academy Blvd,COLORADO SPRINGS,CO,80916-2406,7193923400.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@38.7982828,-104.7582932,17z/data=!3m1!4b1!4m5!3m4!1s0x871344038638c0ad:0xa4144d4aad7d647d!8m2!3d38.7982828!4d-104.7582932",
Blackjack Pizza,4025 Tutt Blvd,COLORADO SPRINGS,CO,80922-2508,7195503888.0,"https://www.google.com/maps/place/Blackjack+Pizza+%26+Salads/@38.8897494,-104.7142207,17z/data=!3m1!4b1!4m5!3m4!1s0x871348857d044093:0x750aa2c9f40183f8!8m2!3d38.8897494!4d-104.7142207",
