Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Blaze Pizza,GREEN BAY RD AND WASHINGTON AVE,MT PLEASANT,WI,53406,2626626091.0,"https://www.google.com/maps/place/Blaze+Pizza/@42.5593815,-88.4665088,9z/data=!4m8!1m2!2m1!1sBlaze+Pizza+17530+W+Bluemound+Rd+BROOKFIELD+WI+53045-2946!3m4!1s0x8805428564c8097d:0x72acbdc14c4c3ac5!8m2!3d42.7185313!4d-87.845615?hl=en",
Blaze Pizza,990 Town Center Dr,LA CANADA FLINTRIDGE,CA,91011-1619,8184830535.0,"https://www.google.com/maps/place/Blaze+Pizza/@34.2048637,-118.1999141,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2e9fc28e4164b:0x9f9115b9ea5a8d58!8m2!3d34.2048637!4d-118.1999141",
Blaze Pizza,9650 Westheimer Rd,HOUSTON,TX,77063-3248,7138931314.0,"https://www.google.com/maps/place/Blaze+Pizza/@29.7384898,-95.5362423,17z/data=!3m1!4b1!4m5!3m4!1s0x8640c3146d3a085d:0xe5b995d3231d85b7!8m2!3d29.7384898!4d-95.5362423",
Blaze Pizza,961 Commonwealth Ave,BOSTON,MA,02215-1305,6179879101.0,"https://www.google.com/maps/place/Blaze+Pizza/@42.351788,-71.119153,17z/data=!3m1!4b1!4m5!3m4!1s0x89e379e869d71101:0xc67403ae37365829!8m2!3d42.351788!4d-71.119153",
Blaze Pizza,950 E Bell Rd,PHOENIX,AZ,85022-2655,6023549123.0,"https://www.google.com/maps/place/Blaze+Pizza/@33.6410401,-112.0598312,17z/data=!3m1!4b1!4m5!3m4!1s0x872b6e3d2661bcc5:0x451927cc2a7752cd!8m2!3d33.6410401!4d-112.0598312",
Blaze Pizza,926 N Division St,SPOKANE,WA,99202-1616,5092237063.0,"https://www.google.com/maps/place/Blaze+Pizza/@47.665915,-117.410642,17z/data=!3m1!4b1!4m5!3m4!1s0x549e18f252299257:0xd1041d5276f7ede9!8m2!3d47.665915!4d-117.410642",
Blaze Pizza,8126 Highway 7,SAINT LOUIS PARK,MN,55426-3903,9529554101.0,"https://www.google.com/maps/place/Blaze+Pizza/@44.936742,-93.383062,17z/data=!3m1!4b1!4m5!3m4!1s0x87f62063c277a6d5:0x7bf4befb5c44a044!8m2!3d44.936742!4d-93.383062",
Blaze Pizza,8115 S Olympia Ave,TULSA,OK,74132-1877,9182059878.0,"https://www.google.com/maps/place/Blaze+Pizza/@36.0458677,-96.0036884,17z/data=!3m1!4b1!4m5!3m4!1s0x87b69415766343d7:0x27bbf17400d48fdb!8m2!3d36.0458677!4d-96.0036884",
Blaze Pizza,796 Northridge Shopping Ctr,SALINAS,CA,93906-2015,8316215574.0,"https://www.google.com/maps/place/Blaze+Pizza/@36.718317,-121.657551,17z/data=!3m1!4b1!4m5!3m4!1s0x808dff1111b2dc1f:0x193f273459896826!8m2!3d36.718317!4d-121.657551",
Blaze Pizza,73393 Highway 111,PALM DESERT,CA,92260-3937,7608945030.0,"https://www.google.com/maps/place/Blaze+Pizza/@33.720914,-116.384351,17z/data=!3m1!4b1!4m5!3m4!1s0x80dafe709cf76efd:0x35d70f836fc1b612!8m2!3d33.720914!4d-116.384351",
Blaze Pizza,6400 Holly Ave NE,ALBUQUERQUE,NM,87113-2549,5053181489.0,"https://www.google.com/maps/place/Blaze+Pizza/@35.1754748,-106.5754364,17z/data=!3m1!4b1!4m5!3m4!1s0x872275c9e72b598b:0xb7cbafbd1763ec8c!8m2!3d35.1754748!4d-106.5754364",
Blaze Pizza,6334 N Andrews Ave,FORT LAUDERDALE,FL,33309-2130,9545075025.0,"https://www.google.com/maps/place/Blaze+Pizza/@26.205072,-80.147238,17z/data=!3m1!4b1!4m5!3m4!1s0x88d903b40236e3ef:0x7acd178455d13e89!8m2!3d26.205072!4d-80.147238",
Blaze Pizza,6211 N Decatur Blvd,LAS VEGAS,NV,89130-1409,7026024945.0,"https://www.google.com/maps/place/Blaze+Pizza/@36.2718091,-115.2072052,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8ebc6a2c2d7b5:0x465670338a49511!8m2!3d36.2718091!4d-115.2072052",
Blaze Pizza,611 Okeefe Ave,NEW ORLEANS,LA,70113-1967,5043234259.0,"https://www.google.com/maps/place/Blaze+Pizza/@29.948396,-90.075276,17z/data=!3m1!4b1!4m5!3m4!1s0x8620a5df88e550fb:0xfa8e2b87f7ad1291!8m2!3d29.948396!4d-90.075276",
