Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Chanellos Pizza,3200 High St,PORTSMOUTH,VA,23707-3318,7573972100.0,"https://www.google.com/maps/place/Chanello's+Pizza+%2332/@36.8347366,-76.3407489,17z/data=!3m1!4b1!4m5!3m4!1s0x89baa212cba80a53:0xd92219950172dd42!8m2!3d36.8347366!4d-76.3407489",chanellos_pizza,
Chanellos Pizza,8245 Hampton Blvd,NORFOLK,VA,23505-1025,7574405858.0,"https://www.google.com/maps/place/Chanello's+Pizza+%231/@36.928009,-76.318347,17z/data=!3m1!4b1!4m5!3m4!1s0x89ba997fe547e42f:0x90f52467e57e80a4!8m2!3d36.928009!4d-76.318347",chanellos_pizza,
Chanellos Pizza,2226 Pleasure House Rd,VIRGINIA BEACH,VA,23455-2005,7574642400.0,"https://www.google.com/maps/place/Chanello's+Pizza+%2319/@36.9056756,-76.1345604,17z/data=!3m1!4b1!4m5!3m4!1s0x89ba947f9f77bbcd:0xd8dd9da9595428aa!8m2!3d36.9056756!4d-76.1345604",chanellos_pizza,
Chanellos Pizza,1002 Aragona Blvd,VIRGINIA BEACH,VA,23455-5304,7574732600.0,"https://www.google.com/maps/place/Chanello's+Pizza+%236/@36.869404,-76.14669,17z/data=!3m1!4b1!4m5!3m4!1s0x89ba944c5105a23f:0x6aa1c914da96d44f!8m2!3d36.869404!4d-76.14669",chanellos_pizza,
Chanellos Pizza,1122 George Washington Hwy N,CHESAPEAKE,VA,23323-4908,7574851300.0,"https://www.google.com/maps/place/Chanello's+Pizza+%2333/@36.7819818,-76.3362102,17z/data=!3m1!4b1!4m5!3m4!1s0x89baa32fc8a20eb5:0x27c72a7bc0bad400!8m2!3d36.7819818!4d-76.3362102",chanellos_pizza,
Chanellos Pizza,3201 E Ocean View Ave,NORFOLK,VA,23518-1371,7575882200.0,"https://www.google.com/maps/place/Chanello's+Pizza+%232/@36.932126,-76.20243,17z/data=!3m1!4b1!4m5!3m4!1s0x89ba913f1495a0ff:0x73f9a08a74cc8edc!8m2!3d36.932126!4d-76.20243",chanellos_pizza,
Chanellos Pizza,1017 N King St,HAMPTON,VA,23669-2877,7577281500.0,"https://www.google.com/maps/place/Chanello's+Pizza+%2310/@37.042481,-76.348992,17z/data=!3m1!4b1!4m5!3m4!1s0x89ba8496d14f2e67:0xb475c703ef1b617f!8m2!3d37.042481!4d-76.348992",chanellos_pizza,
Chanellos Pizza,2803 W Broad St,RICHMOND,VA,23230-5112,8043583800.0,"https://www.google.com/maps/place/Chanello's+Pizza+-+Broad+and+Blvd/@37.5624926,-77.4707937,17z/data=!3m1!4b1!4m5!3m4!1s0x89b113fff84a41ed:0xd1f7c5b3f720459!8m2!3d37.5624926!4d-77.4707937",chanellos_pizza,
Chanellos Pizza,906 Crossings Blvd,HOPEWELL,VA,23860-6503,8044522400.0,"https://www.google.com/maps/place/Chanello's+Pizza+-+Hopewell/@37.2602881,-77.3296322,17z/data=!3m1!4b1!4m5!3m4!1s0x89b1074d6d1047f3:0xc296997ebd5269d0!8m2!3d37.2602881!4d-77.3296322",chanellos_pizza,
Chanellos Pizza,10166 W Broad St,GLEN ALLEN,VA,23060-3303,8047400700.0,"https://www.google.com/maps/place/Chanello's+Pizza/@37.6462227,-77.5744263,17z/data=!3m1!4b1!4m5!3m4!1s0x89b16aba96e32bdd:0x1df121753aa90a2a!8m2!3d37.6462227!4d-77.5744263",chanellos_pizza,
Chanellos Pizza,6657 Indian River Rd,VIRGINIA BEACH,VA,23464-3441,7573669600.0,"https://www.google.com/maps/place/Chanello's+Pizza+%2311/@36.819091,-76.221953,17z/data=!3m1!4b1!4m5!3m4!1s0x89babd9dace7bc81:0x26dac2e722fbf6b3!8m2!3d36.819091!4d-76.221953",chanellos_pizza,
Chanellos Pizza,2088 S Independence Blvd,VIRGINIA BEACH,VA,23453-4790,7574160085.0,"https://www.google.com/maps/place/Chanello's+Pizza+%234/@36.7899699,-76.1237053,17z/data=!3m1!4b1!4m5!3m4!1s0x89babfbd207c160d:0xf73c86e82b2298bb!8m2!3d36.7899699!4d-76.1237053",chanellos_pizza,
Chanellos Pizza,1077 Virginia Beach Blvd,VIRGINIA BEACH,VA,23451-5670,7574281700.0,"https://www.google.com/maps/place/Chanello's+Pizza+%233/@36.840979,-75.994648,17z/data=!3m1!4b1!4m5!3m4!1s0x89baea2998386b9d:0x549dc79761d1f91b!8m2!3d36.840979!4d-75.994648",chanellos_pizza,
Chanellos Pizza,3333 Virginia Beach Blvd,VIRGINIA BEACH,VA,23452-5619,7574862100.0,"https://www.google.com/maps/place/Chanello's+Pizza+%2312/@36.8403734,-76.0870315,17z/data=!3m1!4b1!4m5!3m4!1s0x89ba953521e0a167:0xe8eb7de14871d02b!8m2!3d36.8403734!4d-76.0870315",chanellos_pizza,
Chanellos Pizza,5300 Kempsriver Dr,VIRGINIA BEACH,VA,23464-5369,7575231000.0,"https://www.google.com/maps/place/Chanello's+Pizza+%237/@36.8031341,-76.174818,17z/data=!3m1!4b1!4m5!3m4!1s0x89babe7459902fe3:0x6a14b2c299a1c5df!8m2!3d36.8031341!4d-76.174818",chanellos_pizza,
