Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Cottage Inn Pizza,41758 W 10 Mile Rd,NOVI,MI,48375-3385,2483804900.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.4687912,-83.4571697,17z/data=!3m1!4b1!4m5!3m4!1s0x8824ae5c01441499:0xa2267b63211d6ad4!8m2!3d42.4687912!4d-83.4571697",cottage_inn_pizza,
Cottage Inn Pizza,33216 Grand River Ave,FARMINGTON,MI,48336-3122,2489579400.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.464272,-83.374595,17z/data=!3m1!4b1!4m5!3m4!1s0x8824b109256d05c3:0xd573bef47b691dde!8m2!3d42.464272!4d-83.374595",cottage_inn_pizza,
Cottage Inn Pizza,116 North Centerville Rd,STURGIS,MI,49091-2055,2696518500.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@41.7986885,-85.4295803,17z/data=!3m1!4b1!4m5!3m4!1s0x88164d79f4e5c6b7:0x522996868a722858!8m2!3d41.7986885!4d-85.4295803",cottage_inn_pizza,
Cottage Inn Pizza,23233 Plymouth Rd,REDFORD,MI,48239-1328,3132555300.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.3711373,-83.2665719,17z/data=!3m1!4b1!4m5!3m4!1s0x8824b541886191df:0x48d3956637d72164!8m2!3d42.3711373!4d-83.2665719",cottage_inn_pizza,
Cottage Inn Pizza,1306 N Telegraph Rd,DEARBORN,MI,48128-1204,3135626666.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.3208533,-83.2717166,17z/data=!3m1!4b1!4m5!3m4!1s0x8824ccac4f36dd51:0xefa278664f822fcc!8m2!3d42.3208533!4d-83.2717166",cottage_inn_pizza,
Cottage Inn Pizza,107 Monroe St,DETROIT,MI,48226-2801,3137824951.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.3335328,-83.0456439,17z/data=!3m1!4b1!4m5!3m4!1s0x883b2d2e37fb7b9f:0x9895be3983868924!8m2!3d42.3335328!4d-83.0456439",cottage_inn_pizza,
Cottage Inn Pizza,303 S Washington Sq,LANSING,MI,48933-2114,5172679000.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.7310564,-84.5519622,17z/data=!3m1!4b1!4m5!3m4!1s0x8822c1d9bc8a3a79:0x225419ec0684da3e!8m2!3d42.7310564!4d-84.5519622",cottage_inn_pizza,
Cottage Inn Pizza,1743 W Grand River Ave,OKEMOS,MI,48864-1803,5173475555.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.7178005,-84.4117968,17z/data=!3m1!4b1!4m5!3m4!1s0x8822c2a0439c5d83:0x3fc058e7cb0754d7!8m2!3d42.7178005!4d-84.4117968",cottage_inn_pizza,
Cottage Inn Pizza,1245 E Grand River Ave,HOWELL,MI,48843-1721,5175792682.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.6011855,-83.9148844,17z/data=!3m1!4b1!4m5!3m4!1s0x88234769778c2ff7:0x7e8c4b2c9d76dff7!8m2!3d42.6011855!4d-83.9148844",cottage_inn_pizza,
Cottage Inn Pizza,1208 W Michigan Ave,JACKSON,MI,49202-4125,5177872277.0,"https://www.google.com/maps/place/Cottage+Inn+Pizza/@42.247726,-84.428989,17z/data=!3m1!4b1!4m5!3m4!1s0x883d254f956860f5:0x29741a591e3a7743!8m2!3d42.247726!4d-84.428989",cottage_inn_pizza,
