Company Name,Address 1,City,State,Zip,Phone,Google Link
California Pizza Kitchen,1 W Flatiron Crossing Dr,BROOMFIELD,CO,80021-8886,3034108895.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+Flatiron/@39.93212,-105.13195,17z/data=!3m1!4b1!4m5!3m4!1s0x876b8c9ad0a298bd:0x6f6a96d0a003cb99!8m2!3d39.93212!4d-105.13195"
California Pizza Kitchen,100 Hillsdale Mall,SAN MATEO,CA,94403-3409,6502869018.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+San+Mateo/@37.538008,-122.301336,17z/data=!3m1!4b1!4m5!3m4!1s0x808f9f02dcad8b75:0xe742da2830b87125!8m2!3d37.538008!4d-122.301336"
California Pizza Kitchen,101 N Brand Blvd,GLENDALE,CA,91203-4603,8185071558.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+Glendale/@34.146952,-118.255287,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c05587ac2b1f:0x4202ee4ff7db31a3!8m2!3d34.146952!4d-118.255287"
California Pizza Kitchen,10150 Stockdale Hwy,BAKERSFIELD,CA,93311,6616644603.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+River+Walk/@35.353634,-119.11572,17z/data=!3m1!4b1!4m5!3m4!1s0x80ea43dd8794150f:0xc0a9d44e985f9d8a!8m2!3d35.353634!4d-119.11572"
California Pizza Kitchen,10300 Forest Hill Blvd,WELLINGTON,FL,33414-3126,5617931601.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+Wellington+Green/@26.6470242,-80.2093875,17z/data=!3m1!4b1!4m5!3m4!1s0x88d925f55def899f:0xc2fabc3dcb63570f!8m2!3d26.6470242!4d-80.2093875"
California Pizza Kitchen,1325 S Main St,WALNUT CREEK,CA,94596-5128,9259380720.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+Walnut+Creek/@37.893973,-122.058893,17z/data=!3m1!4b1!4m5!3m4!1s0x808561c3007b2981:0xc8a81180351885a7!8m2!3d37.893973!4d-122.058893"
California Pizza Kitchen,10100 N Scottsdale Rd,SCOTTSDALE,AZ,85253-1423,4805968300.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+Scottsdale/@33.578008,-111.926876,17z/data=!3m1!4b1!4m5!3m4!1s0x872b74ea9ee3f5c3:0x16ce1fd908c00c02!8m2!3d33.578008!4d-111.926876"
California Pizza Kitchen,1051 W State Highway 114,GRAPEVINE,TX,76051-3988,8174814255.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+Grapevine/@32.91334,-97.0977374,13z/data=!4m8!1m2!2m1!1sCalifornia+Pizza+Kitchen+1051+W+State+Highway+114+GRAPEVINE+TX+76051-3988!3m4!1s0x864c2b2a6cde81e5:0xbc45d8d01c2ca8dd!8m2!3d32.9239526!4d-97.0887989?hl=en"
California Pizza Kitchen,10701 Lambert International Blvd,SAINT LOUIS,MO,63145-1000,3144266317.0,"https://www.google.com/maps/place/California+Pizza+Kitchen-+Lambert+International+Airport/@38.6891253,-90.3926304,13z/data=!4m8!1m2!2m1!1sCalifornia+Pizza+Kitchen+10701+Lambert+International+Blvd+SAINT+LOUIS+MO+63145-1000!3m4!1s0x87df375c6e926a41:0xa8cd1eea8d55d59a!8m2!3d38.7373098!4d-90.355387?hl=en"
California Pizza Kitchen,11602 Carmel Mountain Rd,SAN DIEGO,CA,92128-4621,8586754424.0,"https://www.google.com/maps/place/California+Pizza+Kitchen+at+Carmel+Mtn/@32.979796,-117.081694,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf9ff18c14a91:0xd0276be33b70c340!8m2!3d32.979796!4d-117.081694"
