Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
D'Angelo Grilled Sandwiches,3 Broad St,BRIDGEWATER,MA,2324,5086978137.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@41.9905774,-70.9750673,17z/data=!3m1!4b1!4m5!3m4!1s0x89e491b42c1e1179:0x591ac801fcf75c05!8m2!3d41.9905774!4d-70.9750673",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,216 Broadway,PAWTUCKET,RI,02860-2208,4017271404.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@41.8409741,-73.0300122,8z/data=!4m8!1m2!2m1!1sD'Angelo+Grilled+Sandwiches+158+Washington+Ave+NORTH+HAVEN+CT+6473!3m4!1s0x89e45cadbd4fe95b:0x4fa4ed6d7c76084b!8m2!3d41.8801429!4d-71.3789857?hl=en",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,385 Jefferson Blvd,WARWICK,RI,02886-1317,4017376660.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@41.7371874,-71.4425495,17z/data=!4m5!3m4!1s0x89e44e8568a80aaf:0xf5e338d61a0adfaa!8m2!3d41.7371834!4d-71.4403608?hl=en",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,700 Atlantic Ave,BOSTON,MA,2111,6173450382.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@42.3519448,-71.0551625,17z/data=!3m1!4b1!4m5!3m4!1s0x89e37a78b10d5b6f:0x1698cce608d02e2d!8m2!3d42.3519448!4d-71.0551625",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,875 Reservoir Ave,CRANSTON,RI,2910,4019444730.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@41.7771566,-71.4471897,17z/data=!3m1!4b1!4m5!3m4!1s0x89e44f1a06611ba5:0xd1cfd3445e0c03f6!8m2!3d41.7771566!4d-71.4471897",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,12 Hazard Ave,ENFIELD,CT,6082,8607413719.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@41.9894036,-72.5830219,17z/data=!3m1!4b1!4m5!3m4!1s0x89e6e4ccd29d864f:0x5703f8d61f0a110c!8m2!3d41.9894036!4d-72.5830219",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,80 Lambert Lind Hwy,WARWICK,RI,2886,4017326040.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@41.730255,-71.4785527,17z/data=!4m5!3m4!1s0x89e44c0743bd444b:0x411db8d47457b470!8m2!3d41.730251!4d-71.476364?hl=en",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,587 Long Hill Rd,GROTON,CT,06340-4134,8604468263.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@41.3514097,-72.058433,17z/data=!3m1!4b1!4m5!3m4!1s0x89e60eb0b828ae6b:0x3d2e2a69797a6a5!8m2!3d41.3514097!4d-72.058433",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,646 Washington St,SOUTH EASTON,MA,2375,5082387008.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@42.0442249,-71.0783178,17z/data=!3m1!4b1!4m5!3m4!1s0x89e48f5c660de61d:0x557e8fa7ba7572e3!8m2!3d42.0442249!4d-71.0783178",dangelo_grilled_sandwiches,
D'Angelo Grilled Sandwiches,1606 Memorial Dr,CHICOPEE,MA,1013,4135339486.0,"https://www.google.com/maps/place/D'Angelo+Grilled+Sandwiches/@42.2010448,-72.5741627,17z/data=!3m1!4b1!4m5!3m4!1s0x89e6dc60b077efcf:0x20758dfbc9a83191!8m2!3d42.2010448!4d-72.5741627",dangelo_grilled_sandwiches,
