Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Deweys Pizza,2194 Lee Rd,CLEVELAND HTS,OH,44118-2908,2163217355.0,"https://www.google.com/maps/place/Dewey's+Pizza/@41.4999153,-81.5656645,17z/data=!3m1!4b1!4m5!3m4!1s0x8830fdd270e103e7:0xfec64eeb6b859d29!8m2!3d41.4999153!4d-81.5656645",deweys_pizza,
Deweys Pizza,3265 W Market St,FAIRLAWN,OH,44333-3337,3308734444.0,"https://www.google.com/maps/place/Dewey's+Pizza/@41.1333338,-81.6175026,17z/data=!3m1!4b1!4m5!3m4!1s0x8830d0a6fb13ac61:0x1ec6b0442b7874d1!8m2!3d41.1333338!4d-81.6175026",deweys_pizza,
Deweys Pizza,7933 Beechmont Ave,CINCINNATI,OH,45255-4212,5133880300.0,"https://www.google.com/maps/place/Dewey's+Pizza/@39.0723636,-84.3361374,17z/data=!3m1!4b1!4m5!3m4!1s0x8841a93c5213abc1:0x67015ed1db2e0409!8m2!3d39.0723636!4d-84.3361374",deweys_pizza,
Deweys Pizza,640 High St,WORTHINGTON,OH,43085-4116,6149853333.0,"https://www.google.com/maps/place/Dewey's+Pizza/@40.0865559,-83.0179259,17z/data=!3m1!4b1!4m5!3m4!1s0x88388cc64dc00051:0x70f01ab309f4221a!8m2!3d40.0865559!4d-83.0179259",deweys_pizza,
Deweys Pizza,1312 Clarkson Clayton Ctr,ELLISVILLE,MO,63011-2145,6362273400.0,"https://www.google.com/maps/place/Dewey's+Pizza/@38.603054,-90.586779,17z/data=!3m1!4b1!4m5!3m4!1s0x87d8d59befd3f267:0x873b8c5cc34f892c!8m2!3d38.603054!4d-90.586779",deweys_pizza,
Deweys Pizza,3600 Rigby Rd,MIAMISBURG,OH,45342-4974,9378597777.0,"https://www.google.com/maps/place/Dewey's+Pizza/@39.5988021,-84.2326216,17z/data=!3m1!4b1!4m5!3m4!1s0x88408984b9dc5037:0x7cc6bff5a362ade8!8m2!3d39.5988021!4d-84.2326216",deweys_pizza,
Deweys Pizza,18516 Detroit Ave,LAKEWOOD,OH,44107-3213,2162282299.0,"https://www.google.com/maps/place/Dewey's+Pizza/@41.481898,-81.827281,17z/data=!3m1!4b1!4m5!3m4!1s0x8830f288cfb4cbad:0x55e02212d63b59ab!8m2!3d41.481898!4d-81.827281",deweys_pizza,
Deweys Pizza,124 N Kirkwood Rd,KIRKWOOD,MO,63122-4302,3148217474.0,"https://www.google.com/maps/place/Dewey's+Pizza/@38.5821145,-90.4060686,17z/data=!3m1!4b1!4m5!3m4!1s0x87d8cc3111e71a7f:0xa3007375145714eb!8m2!3d38.5821145!4d-90.4060686",deweys_pizza,
Deweys Pizza,122 E Lockwood Ave,WEBSTER GROVES,MO,63119-3003,3149611000.0,"https://www.google.com/maps/place/Dewey's+Pizza/@38.5921917,-90.3536722,17z/data=!3m1!4b1!4m5!3m4!1s0x87d8cbbf00008505:0x2bd9b2225f13f69e!8m2!3d38.5921917!4d-90.3536722",deweys_pizza,
Deweys Pizza,5649 Harrison Ave,CINCINNATI,OH,45248-1744,5135745744.0,"https://www.google.com/maps/place/Dewey's+Pizza/@39.1672939,-84.6365831,17z/data=!3m1!4b1!4m5!3m4!1s0x8841caefbf9c072d:0x320195358d02f4ef!8m2!3d39.1672939!4d-84.6365831",deweys_pizza,
