Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Donatos Pizza,92 S Highway 27,SOMERSET,KY,42501-1737,6066771700.0,"https://www.google.com/maps/place/Donatos+Pizza/@37.0931132,-84.6177828,17z/data=!3m1!4b1!4m5!3m4!1s0x885d48155ac7e239:0x57fab54d5d373cf3!8m2!3d37.0931132!4d-84.6177828",donatos_pizza,
Donatos Pizza,825 W 10th St,INDIANAPOLIS,IN,46202-2906,3172319700.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.7805607,-86.1726822,17z/data=!3m1!4b1!4m5!3m4!1s0x886b51be4f391195:0x72fbddad96f311fb!8m2!3d39.7805607!4d-86.1726822",donatos_pizza,
Donatos Pizza,2357 E 62nd St,INDIANAPOLIS,IN,46220-2315,3177228100.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.8683432,-86.1237037,17z/data=!3m1!4b1!4m5!3m4!1s0x886b525a7aa8cc7b:0x71a520c244ad6476!8m2!3d39.8683432!4d-86.1237037",donatos_pizza,
Donatos Pizza,3390 Maple Ave,ZANESVILLE,OH,43701-1339,7404527900.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.983778,-82.020105,17z/data=!3m1!4b1!4m5!3m4!1s0x8837ed981f214ceb:0xa774b4c45ecf0af0!8m2!3d39.983778!4d-82.020105",donatos_pizza,
Donatos Pizza,6407 Glenway Ave,CINCINNATI,OH,45238,5135984200.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.1495651,-84.6282228,17z/data=!3m1!4b1!4m5!3m4!1s0x8841ca5dc224c1bf:0xe800265db1ea8bef!8m2!3d39.1495651!4d-84.6282228",donatos_pizza,
Donatos Pizza,8850 US Highway 42,FLORENCE,KY,41042-9640,8593848796.0,"https://www.google.com/maps/place/Donatos+Pizza/@38.9658613,-84.6805334,17z/data=!4m5!3m4!1s0x8841c6bf754f1fb7:0xb3e3fd8c75f97533!8m2!3d38.9658571!4d-84.6783447?hl=en",donatos_pizza,
Donatos Pizza,15 Donnermeyer Dr,BELLEVUE,KY,41073-1360,8592615700.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.0976469,-84.4834074,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b179bbfd82bb:0x106dcf808076075f!8m2!3d39.0976469!4d-84.4834074",donatos_pizza,
Donatos Pizza,770 Nilles Rd,FAIRFIELD,OH,45014-3606,5138296999.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.337808,-84.555166,17z/data=!3m1!4b1!4m5!3m4!1s0x884048f2c9bfa0d1:0x5ad355033768acc1!8m2!3d39.337808!4d-84.555166",donatos_pizza,
Donatos Pizza,4200 Aero Dr,MASON,OH,45040-8823,5137704222.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.3388085,-84.2922968,17z/data=!3m1!4b1!4m5!3m4!1s0x8840578d1f0a1b0d:0x17a38a210bae1ab9!8m2!3d39.3388085!4d-84.2922968",donatos_pizza,
Donatos Pizza,3890 Medina Rd,AKRON,OH,44333-2470,3306682133.0,"https://www.google.com/maps/place/Donatos+Pizza/@41.1353901,-81.6380458,17z/data=!3m1!4b1!4m5!3m4!1s0x8830d082e755dea9:0xeb6334704d13d4ae!8m2!3d41.1353901!4d-81.6380458",donatos_pizza,
Donatos Pizza,814 N Main St,NORTH CANTON,OH,44720-2011,3304983700.0,"https://www.google.com/maps/place/Donatos+Pizza/@40.8843767,-81.4033329,17z/data=!3m1!4b1!4m5!3m4!1s0x8836d3de7cc04c95:0xbc8fe0ae9f47802a!8m2!3d40.8843767!4d-81.4033329",donatos_pizza,
Donatos Pizza,5465 Ridge Rd,PARMA,OH,44129,4408436861.0,"https://www.google.com/maps/place/Donatos+Pizza/@41.4129783,-81.7338367,17z/data=!3m1!4b1!4m5!3m4!1s0x8830ef1d690d8977:0x96e2593285793370!8m2!3d41.4129783!4d-81.7338367",donatos_pizza,
Donatos Pizza,7500 S Memorial Pkwy,HUNTSVILLE,AL,35802-2297,2568819191.0,"https://www.google.com/maps/place/Donatos+Pizza/@34.6674946,-86.5733445,17z/data=!3m1!4b1!4m5!3m4!1s0x886212ce51d16f1d:0xc3d018d85bd3f707!8m2!3d34.6674946!4d-86.5733445",donatos_pizza,
Donatos Pizza,8142 Beechmont Ave,CINCINNATI,OH,45255-5113,5134744600.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.0732965,-84.3293998,17z/data=!3m1!4b1!4m5!3m4!1s0x8841a9168c1c8481:0x46150386588a50c5!8m2!3d39.0732965!4d-84.3293998",donatos_pizza,
Donatos Pizza,5525 New Albany Rd E,NEW ALBANY,OH,43054,6148557060.0,"https://www.google.com/maps/place/Donatos+Pizza/@40.0972306,-82.8183949,17z/data=!3m1!4b1!4m5!3m4!1s0x88385e004bb7edc1:0xd49efbe1ec2a707e!8m2!3d40.0972306!4d-82.8183949",donatos_pizza,
Donatos Pizza,1391 E Johnstown Rd,GAHANNA,OH,43230-6831,6148555400.0,"https://www.google.com/maps/place/Donatos+Pizza/@40.0541193,-82.8437629,17z/data=!3m1!4b1!4m5!3m4!1s0x883860e76d75bfb7:0x5b089c9802205eca!8m2!3d40.0541193!4d-82.8437629",donatos_pizza,
Donatos Pizza,142 Xenia Towne Sq,XENIA,OH,45385-2932,9373743355.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.686522,-83.9311883,17z/data=!3m1!4b1!4m5!3m4!1s0x884098763c8900ef:0x9abee39d942d44a4!8m2!3d39.686522!4d-83.9311883",donatos_pizza,
Donatos Pizza,5600 Airway Rd,DAYTON,OH,45431-1506,9372599559.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.7707155,-84.1061608,17z/data=!3m1!4b1!4m5!3m4!1s0x88408335fd5697a1:0xba2f566c433ff3c5!8m2!3d39.7707155!4d-84.1061608",donatos_pizza,
Donatos Pizza,629 Montgomery Hwy,VESTAVIA,AL,35216-1809,2058241112.0,"https://www.google.com/maps/place/Donatos+Pizza/@33.4478698,-86.7892577,17z/data=!3m1!4b1!4m5!3m4!1s0x888919047e087bb3:0xdfc61d6dd032c618!8m2!3d33.4478698!4d-86.7892577",donatos_pizza,
Donatos Pizza,5835 Madison Ave,INDIANAPOLIS,IN,46227-4629,3177807040.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.6811985,-86.1319301,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5b7776f21a4d:0x7ff1a48f0aab7a39!8m2!3d39.6811985!4d-86.1319301",donatos_pizza,
Donatos Pizza,5805 Sunnyside Rd,INDIANAPOLIS,IN,46236,3178233025.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.8607381,-85.9721428,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4bad5b41937b:0x512a8c30d0d1422d!8m2!3d39.8607381!4d-85.9721428",donatos_pizza,
Donatos Pizza,855 Lexington Ave,MANSFIELD,OH,44907-1945,4197565885.0,"https://www.google.com/maps/place/Donatos+Pizza/@40.7334621,-82.5333846,17z/data=!3m1!4b1!4m5!3m4!1s0x8839ea93ecc39283:0xe26d6d96716c0dd0!8m2!3d40.7334621!4d-82.5333846",donatos_pizza,
Donatos Pizza,1800 Patrick Dr,BURLINGTON,KY,41005-8532,8596897500.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.0193452,-84.6945436,17z/data=!3m1!4b1!4m5!3m4!1s0x8841c5e3f00ff947:0x7219bf1b99ea2557!8m2!3d39.0193452!4d-84.6945436",donatos_pizza,
Donatos Pizza,3044 Dixie Hwy,EDGEWOOD,KY,41018-1826,8593310889.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.0222012,-84.5869569,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b818ef1baa85:0x12857c3da5a22b52!8m2!3d39.0222012!4d-84.5869569",donatos_pizza,
Donatos Pizza,2692 Madison Rd,CINCINNATI,OH,45208-1366,5137310080.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.1453415,-84.444873,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b27df170ed7b:0x948814db285680a2!8m2!3d39.1453415!4d-84.444873",donatos_pizza,
Donatos Pizza,166 Lancaster Pike,CIRCLEVILLE,OH,43113-1864,7404772559.0,"https://www.google.com/maps/place/Donatos+Pizza/@39.5991019,-82.9327843,17z/data=!3m1!4b1!4m5!3m4!1s0x8847778bdc68da91:0x4a986daed5296797!8m2!3d39.5991019!4d-82.9327843",donatos_pizza,
