Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Extreme Pizza,703 4th St,SAN RAFAEL,CA,94901-3212,4154546111.0,"https://www.google.com/maps/place/Extreme+Pizza+-+San+Rafael/@37.972398,-122.523042,17z/data=!3m1!4b1!4m5!3m4!1s0x808599f72741e4db:0xba030b5d225e8846!8m2!3d37.972398!4d-122.523042",
Extreme Pizza,15 Grand Ave,OAKLAND,CA,94612-3727,5108085234.0,"https://www.google.com/maps/place/Extreme+Pizza/@37.8112952,-122.2663486,17z/data=!3m1!4b1!4m5!3m4!1s0x808f80ad24a557e5:0x62d538ca921909b!8m2!3d37.8112952!4d-122.2663486",
Extreme Pizza,851 Cherry Ave,SAN BRUNO,CA,94066-2953,6508736336.0,"https://www.google.com/maps/place/Extreme+Pizza/@37.6267494,-122.4256637,17z/data=!3m1!4b1!4m5!3m4!1s0x808f79e7dd5dc7ed:0xf82a27c4c9d4d7ec!8m2!3d37.6267494!4d-122.4256637",
Extreme Pizza,1728 E Cotati Ave,ROHNERT PARK,CA,94928-3605,7077958100.0,"https://www.google.com/maps/place/Extreme+Pizza/@38.3348306,-122.6764003,17z/data=!3m1!4b1!4m5!3m4!1s0x80844aff4f4362d1:0x72ac336810a91400!8m2!3d38.3348306!4d-122.6764003",
Extreme Pizza,11653 W Broad St,HENRICO,VA,23233-1004,8043603123.0,"https://www.google.com/maps/place/Extreme+Pizza+-+Short+Pump/@37.6520195,-77.6185226,17z/data=!3m1!4b1!4m5!3m4!1s0x89b16a7ab10a060f:0x207bca888020db81!8m2!3d37.6520195!4d-77.6185226",
Extreme Pizza,1980 Union St,SAN FRANCISCO,CA,94123-4216,4159298234.0,"https://www.google.com/maps/place/Extreme+Pizza/@37.797759,-122.431837,17z/data=!3m1!4b1!4m5!3m4!1s0x808580db24cf6b8f:0x146ba7d2a793094a!8m2!3d37.797759!4d-122.431837",
Extreme Pizza,151 Park Pl,POINT RICHMOND,CA,94801-3922,5106201800.0,"https://www.google.com/maps/place/Extreme+Pizza/@37.9261425,-122.3849507,17z/data=!3m1!4b1!4m5!3m4!1s0x808582cf45595679:0x7864ceebee959c30!8m2!3d37.9261425!4d-122.3849507",
Extreme Pizza,9240 Old Redwood Hwy,WINDSOR,CA,95492-9349,7076870777.0,"https://www.google.com/maps/place/Extreme+Pizza/@38.5497856,-122.814074,17z/data=!4m5!3m4!1s0x80843de326781dc7:0xf5f15ad461293420!8m2!3d38.5497814!4d-122.8118853?hl=en",
Extreme Pizza,2500 Mendocino Ave,SANTA ROSA,CA,95403-4801,7078434424.0,"https://www.google.com/maps/place/Extreme+Pizza/@38.3922126,-122.8457973,11z/data=!4m8!1m2!2m1!1sExtreme+Pizza+SANTA+ROSA+CA!3m4!1s0x808438781de73289:0x61c128a51f5bd820!8m2!3d38.4653953!4d-122.7191963?hl=en",
Extreme Pizza,407 Mandalay Ave,CLEARWATER,FL,33767-2012,7272239100.0,"https://www.google.com/maps/place/Extreme+Pizza/@27.9788379,-82.8272138,17z/data=!3m1!4b1!4m5!3m4!1s0x88c2f6d1459f8021:0x2387128c6fb6e2c2!8m2!3d27.9788379!4d-82.8272138",
Extreme Pizza,437 Forest Ave,PLYMOUTH,MI,48170-1721,7344147300.0,"https://www.google.com/maps/place/Extreme+Pizza+of+Plymouth/@42.3695371,-83.4726056,17z/data=!4m8!1m2!2m1!1sExtreme+Pizza+437+Forest+Ave+PLYMOUTH+MI+48170-1721!3m4!1s0x8824acd3ef66bb01:0x31dcf4cc211554ba!8m2!3d42.3695405!4d-83.4704147?hl=en",
Extreme Pizza,1310 Celebrity Cir,MYRTLE BEACH,SC,29577-7451,8438089747.0,"https://www.google.com/maps/place/Extreme+Pizza+Myrtle+Beach/@33.7176,-78.883085,17z/data=!3m1!4b1!4m5!3m4!1s0x890068dfaa9f66f7:0xb09b150f8128e33b!8m2!3d33.7176!4d-78.883085",
