Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Figaro's Pizza,315 N Milwaukee St,WATERFORD,WI,53185-4432,2625345100.0,"https://www.google.com/maps/place/Figaro's+Pizza/@42.7672946,-88.2093288,17z/data=!4m5!3m4!1s0x88059c2b5a7bcf31:0xd8699d9a0c0b8f3b!8m2!3d42.7672907!4d-88.2071401?hl=en",
Figaro's Pizza,2028 W Monte Vista Ave,TURLOCK,CA,95382-9664,2096344141.0,"https://www.google.com/maps/place/Figaro's+Pizza/@37.5210165,-120.8727582,17z/data=!3m1!4b1!4m5!3m4!1s0x8091071535d7d7c5:0xee2f486a0f8a6e0f!8m2!3d37.5210165!4d-120.8727582",
Figaro's Pizza,51538 Highway 97,LA PINE,OR,97739-8957,5415368332.0,"https://www.google.com/maps/place/Figaro's+Pizza/@43.6723402,-121.5014056,17z/data=!3m1!4b1!4m5!3m4!1s0x54c77d491976f60d:0x59f0fe8a14b61d04!8m2!3d43.6723402!4d-121.5014056",
Figaro's Pizza,19810 Old Highway 99 SW,ROCHESTER,WA,98579-8684,3602732400.0,"https://www.google.com/maps/place/Figaro's+Pizza/@46.800288,-123.01159,17z/data=!3m1!4b1!4m5!3m4!1s0x549163ee52e8e381:0x42abfc7789ea8cb3!8m2!3d46.800288!4d-123.01159",
Figaro's Pizza,1216 Wallace Rd NW,SALEM,OR,97304-3008,5033998784.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.952377,-123.051703,17z/data=!3m1!4b1!4m5!3m4!1s0x54bfffa23e29bc5f:0x11e6671df87c1e05!8m2!3d44.952377!4d-123.051703",
Figaro's Pizza,5460 River Rd N,KEIZER,OR,97303-4483,5033937145.0,"https://www.google.com/maps/place/Figaro's+Pizza/@45.003889,-123.0254391,17z/data=!3m1!4b1!4m5!3m4!1s0x549555fba7452323:0xd5d69dd558eb582e!8m2!3d45.003889!4d-123.0254391",
Figaro's Pizza,901 N US Highway 141,CRIVITZ,WI,54114-1645,7158543399.0,"https://www.google.com/maps/place/Figaro's+Pizza/@45.2356737,-87.9992111,17z/data=!4m5!3m4!1s0x4d52dcd2830a5bcd:0xf136f229662a996b!8m2!3d45.2356699!4d-87.9970224?hl=en",
Figaro's Pizza,610 Main St,AUMSVILLE,OR,97325-9020,5037492096.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.8406285,-122.87115,17z/data=!3m1!4b1!4m5!3m4!1s0x54bff700f589f183:0xd4e7a3440d5bcdf!8m2!3d44.8406285!4d-122.87115",
Figaro's Pizza,1760 Shaff Rd,STAYTON,OR,97383-1092,5037697501.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.8085239,-122.8128861,17z/data=!3m1!4b1!4m5!3m4!1s0x54bff425db94d197:0xdedde1b5346eb997!8m2!3d44.8085239!4d-122.8128861",
Figaro's Pizza,1321 Monmouth St,INDEPENDENCE,OR,97351-1126,5038386459.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.8508138,-123.2047197,17z/data=!3m1!4b1!4m5!3m4!1s0x54c0049e91740265:0x7871bfda82b1295b!8m2!3d44.8508138!4d-123.2047197",
Figaro's Pizza,4095 NW Logan Rd,LINCOLN CITY,OR,97367-4997,5419944443.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.9964488,-124.0067752,17z/data=!3m1!4b1!4m5!3m4!1s0x54ea92b0001a18af:0x7bddc7e7da02e27f!8m2!3d44.9964488!4d-124.0067752",
Figaro's Pizza,673 W Monroe St,BURNS,OR,97720-1931,5415735500.0,"https://www.google.com/maps/place/Figaro's+Pizza/@43.5854312,-119.0612841,17z/data=!3m1!4b1!4m5!3m4!1s0x54b0a9ccd6b81a5b:0xfb41c2ce0c25070d!8m2!3d43.5854312!4d-119.0612841",
Figaro's Pizza,411 S Broadway St,ESTACADA,OR,97023-7017,5036304400.0,"https://www.google.com/maps/place/Figaro's+Pizza/@45.2866106,-122.3355478,17z/data=!3m1!4b1!4m5!3m4!1s0x549581ec93553b35:0x64be577cd04780dd!8m2!3d45.2866106!4d-122.3355478",
Figaro's Pizza,160 NW Main St,WINSTON,OR,97496-6573,5417843414.0,"https://www.google.com/maps/place/Figaro's+Pizza/@43.1248383,-123.4121624,17z/data=!3m1!4b1!4m5!3m4!1s0x54c4396e63318883:0xabbf9b8ec9ddb9af!8m2!3d43.1248383!4d-123.4121624",
Figaro's Pizza,175 N 2nd Ave,GOLD HILL,OR,97525-0256,5418557770.0,"https://www.google.com/maps/place/Figaro's+Pizza/@42.4311478,-123.0461456,17z/data=!3m1!4b1!4m5!3m4!1s0x54c580daddd31ff5:0x49f516bd3117fe01!8m2!3d42.4311478!4d-123.0461456",
Figaro's Pizza,1122 Lancaster Dr NE,SALEM,OR,97305,5033999089.0,"https://www.google.com/maps/place/Figaro's+Pizza+%26+More/@44.9440201,-122.9823848,17z/data=!3m1!4b1!4m5!3m4!1s0x54bffe932487e101:0x77bfa4f2a3bf69bf!8m2!3d44.9440201!4d-122.9823848",
Figaro's Pizza,1704 S Gold St,CENTRALIA,WA,98531-8951,3607363221.0,"https://www.google.com/maps/place/Figaro's+Pizza/@46.695743,-122.956893,17z/data=!3m1!4b1!4m5!3m4!1s0x54915fc0b12ea65b:0x8bc92e43f89963d9!8m2!3d46.695743!4d-122.956893",
Figaro's Pizza,148 S Bridge St,SHERIDAN,OR,97378-1804,5038434700.0,"https://www.google.com/maps/place/Figaro's+Pizza/@45.0978791,-123.3977231,17z/data=!4m5!3m4!1s0x54eab3c6e4965fc7:0x8d1bd4d8831914ab!8m2!3d45.0978753!4d-123.3955344?hl=en",
Figaro's Pizza,1186 Mountain Bay Dr,PULASKI,WI,54162-8981,9208225555.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.6550159,-88.2236957,17z/data=!4m5!3m4!1s0x88025e01284ad6b5:0x81457360d0fd848b!8m2!3d44.6550121!4d-88.221507?hl=en",
Figaro's Pizza,119 Robbins St,MOLALLA,OR,97038-8141,5038294900.0,"https://www.google.com/maps/place/Figaro's+Pizza/@45.1508347,-122.575069,17z/data=!3m1!4b1!4m5!3m4!1s0x549562705c12203d:0x4bf9f096b1c10df6!8m2!3d45.1508347!4d-122.575069",
Figaro's Pizza,1151 N 1st St,HAMILTON,MT,59840-2118,4063750164.0,"https://www.google.com/maps/place/Figaro's+Pizza/@46.2605746,-114.1595085,17z/data=!3m1!4b1!4m5!3m4!1s0x535eb751ca6a580d:0xf5fea37b9ab253ae!8m2!3d46.2605746!4d-114.1595085",
Figaro's Pizza,1411 Main St,PHILOMATH,OR,97370-2016,5419295082.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.5403881,-123.3658299,17z/data=!3m1!4b1!4m5!3m4!1s0x54c04791b119840b:0xa90cc2bc3d75b3cf!8m2!3d44.5403881!4d-123.3658299",
Figaro's Pizza,37 SW H St,MADRAS,OR,97741-1129,5414751044.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.6272116,-121.1304644,17z/data=!3m1!4b1!4m5!3m4!1s0x54beea27647b1b47:0xbcf3c44088898a08!8m2!3d44.6272116!4d-121.1304644",
Figaro's Pizza,88340 Territorial Rd,VENETA,OR,97487-9401,5419352110.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.055549,-123.353376,17z/data=!3m1!4b1!4m5!3m4!1s0x54c11007aa794421:0xad03457faf5918e3!8m2!3d44.055549!4d-123.353376",
Figaro's Pizza,825 S Canyon Blvd,JOHN DAY,OR,97845-1056,5415755500.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.4068599,-118.9495262,17z/data=!3m1!4b1!4m5!3m4!1s0x54bb05896cfb779f:0x4e04668d6a1cb698!8m2!3d44.4068599!4d-118.9495262",
Figaro's Pizza,167 E Oregon Ave,CRESWELL,OR,97426-9674,5418955205.0,"https://www.google.com/maps/place/Figaro's+Pizza+Creswell/@43.9173535,-123.0170715,17z/data=!3m1!4b1!4m5!3m4!1s0x54c126a8b11d7d47:0x48dcfde1e12abbd0!8m2!3d43.9173535!4d-123.0170715",
Figaro's Pizza,1323 Main St,SWEET HOME,OR,97386-1611,5413675353.0,"https://www.google.com/maps/place/Figaro's+Pizza/@44.3978012,-122.7282737,17z/data=!3m1!4b1!4m5!3m4!1s0x54c08852be483b25:0x1742166525ccb4ce!8m2!3d44.3978012!4d-122.7282737",
Figaro's Pizza,853 S Main St,MYRTLE CREEK,OR,97457-9334,5418634245.0,"https://www.google.com/maps/place/Figaro's+Pizza/@43.0157227,-123.291927,17z/data=!3m1!4b1!4m5!3m4!1s0x54c4343b6b13be07:0xb5159cbdec61420!8m2!3d43.0157227!4d-123.291927",
Figaro's Pizza,243 Wonder World Dr,SAN MARCOS,TX,78666-5933,5126677434.0,"https://www.google.com/maps/place/Figaro's+Pizza+%26+Pub/@29.8635591,-97.9597546,17z/data=!3m1!4b1!4m5!3m4!1s0x865ca6281e3ea1b1:0x816c361e181d9a32!8m2!3d29.8635591!4d-97.9597546",
Figaro's Pizza,2287 West Main St,MEDFORD,OR,97501,5415008888.0,"https://www.google.com/maps/place/Figaro's+Pizza/@42.3232549,-122.8990202,17z/data=!3m1!4b1!4m5!3m4!1s0x54cf79a280f90fe7:0xa98af4341a86c577!8m2!3d42.3232549!4d-122.8990202",
Figaro's Pizza,9023 Key Peninsula Hwy N,LAKEBAY,WA,98349-9196,2534324919.0,"https://www.google.com/maps/place/Figaro's+Pizza/@47.339645,-122.7449742,17z/data=!3m1!4b1!4m5!3m4!1s0x5491b223ca3c47ad:0xb95b6800890a4e42!8m2!3d47.339645!4d-122.7449742",
