Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Giordano's Restaurant & Pizza,9613 S Western Ave,CHICAGO,IL,60643-1722,7732395000.0,"https://www.google.com/maps/place/Giordano's/@41.7186239,-87.6815052,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2540b96922f5:0x41dbdc4dfc734bac!8m2!3d41.7186239!4d-87.6815052",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,9415 W Higgins Rd,ROSEMONT,IL,60018-4903,8472922600.0,"https://www.google.com/maps/place/Giordano's/@41.9910769,-87.8613054,17z/data=!3m1!4b1!4m5!3m4!1s0x880fb61b73449af9:0xdb8d1964d6e0b213!8m2!3d41.9910769!4d-87.8613054",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,701 N Milwaukee Ave,VERNON HILLS,IL,60061-1556,8473621200.0,"https://www.google.com/maps/place/Giordano's+Limited/@42.2400769,-87.9410751,17z/data=!3m1!4b1!4m5!3m4!1s0x880f967287f62dc7:0xee6be0ae428d7d13!8m2!3d42.2400769!4d-87.9410751",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,6485 N Lincoln Ave,LINCOLNWOOD,IL,60712-4000,8479830223.0,"https://www.google.com/maps/place/Giordano's/@41.9989327,-87.7206172,17z/data=!3m1!4b1!4m5!3m4!1s0x880fce410a61d68d:0x7579b596f0dee25d!8m2!3d41.9989327!4d-87.7206172",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,6314 S Cicero Ave,CHICAGO,IL,60638-5814,7735856100.0,"https://www.google.com/maps/place/Giordano's/@41.7778767,-87.7426797,17z/data=!3m1!4b1!4m5!3m4!1s0x880e30fdf17303d9:0xb357f2c120d87c2!8m2!3d41.7778767!4d-87.7426797",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,3333 W Shore Dr,HOLLAND,MI,49424-7777,6168886000.0,"https://www.google.com/maps/place/Giordano's/@42.4143103,-87.9987215,8z/data=!4m8!1m2!2m1!1sGiordano's+Restaurant+%26+Pizza+3333+W+Shore+Dr+HOLLAND+MI+49424-7777!3m4!1s0x88199282df3b2e87:0x128b4b8d7f415873!8m2!3d42.8289109!4d-86.093834?hl=en",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,333 Executive Pkwy,ROCKFORD,IL,61107-5227,8153985700.0,"https://www.google.com/maps/place/Giordano's/@42.271046,-88.9987569,17z/data=!3m1!4b1!4m5!3m4!1s0x8808b8e0072dc0d3:0x597ae1f2df0a98f7!8m2!3d42.271046!4d-88.9987569",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,3000 W 66th St,RICHFIELD,MN,55423-1942,6124443731.0,"https://www.google.com/maps/place/Giordano's/@44.8838431,-93.3177791,17z/data=!3m1!4b1!4m5!3m4!1s0x87f626988c543953:0xe90491f0962c5235!8m2!3d44.8838431!4d-93.3177791",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,2870 U S 34,OSWEGO,IL,60543,6305514411.0,"https://www.google.com/maps/place/Giordano's/@41.6963116,-88.3208904,17z/data=!3m1!4b1!4m5!3m4!1s0x880ef1d9a87cc723:0x9476cd11dca610fc!8m2!3d41.6963116!4d-88.3208904",giordanos_restaurant_&_pizza,
Giordano's Restaurant & Pizza,2855 N Milwaukee Ave,CHICAGO,IL,60618-7424,7738624200.0,"https://www.google.com/maps/place/Giordano's/@41.9333782,-87.7137704,17z/data=!3m1!4b1!4m5!3m4!1s0x880fcd74435acdbd:0x242dd087ce7bd034!8m2!3d41.9333782!4d-87.7137704",giordanos_restaurant_&_pizza,
