Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Godfather's Pizza,2929 N 204th St,ELKHORN,NE,68022-1201,4022892038.0,"https://www.google.com/maps/place/Godfather's+Pizza/@41.2848648,-96.2338496,17z/data=!3m1!4b1!4m5!3m4!1s0x8793f00bd72587cf:0x36a01c7b5fa28e05!8m2!3d41.2848648!4d-96.2338496",godfathers_pizza,
Godfather's Pizza,100 E Lee Hwy,NEW MARKET,VA,22844-3101,5407408066.0,"https://www.google.com/maps/place/Godfather's+Pizza/@38.6513962,-78.6712729,17z/data=!4m5!3m4!1s0x89b4563262d57a89:0xa99f3b13783006d!8m2!3d38.651392!4d-78.6690842?hl=en",godfathers_pizza,
Godfather's Pizza,1004 Iowa Ave,ONAWA,IA,51040-1545,7124233265.0,"https://www.google.com/maps/place/Godfather's+Pizza/@42.0269525,-96.0975709,17z/data=!3m1!4b1!4m5!3m4!1s0x87923f0fb132b3b3:0x380e0bf870c40920!8m2!3d42.0269525!4d-96.0975709",godfathers_pizza,
Godfather's Pizza,102 E Lincoln Ave,CHANDLER,IN,47610-9525,8129256549.0,"https://www.google.com/maps/place/Godfather's+Pizza/@38.0433057,-87.369517,17z/data=!4m5!3m4!1s0x886e31f1eda36a71:0x5408cc17bd7ce463!8m2!3d38.0433015!4d-87.3673283?hl=en",godfathers_pizza,
Godfather's Pizza,102 W 5th St,BRIDGEPORT,NE,69336-4011,3082620827.0,"https://www.google.com/maps/place/Godfather's+Pizza/@41.6709764,-103.0999196,17z/data=!3m1!4b1!4m5!3m4!1s0x877072398c41511b:0xd9184fb7a5a43a11!8m2!3d41.6709764!4d-103.0999196",godfathers_pizza,
Godfather's Pizza,113 Grand Ave,SPENCER,IA,51301-4222,7122627742.0,"https://www.google.com/maps/place/Godfather's+Pizza/@43.1389693,-95.1447874,17z/data=!3m1!4b1!4m5!3m4!1s0x878cd1550952981d:0x22432c670f38f16d!8m2!3d43.1389693!4d-95.1447874",godfathers_pizza,
Godfather's Pizza,11 W Main St,AUSTIN,IN,47102-1303,8127946610.0,"https://www.google.com/maps/place/Godfather's+Pizza/@38.7417578,-85.804578,17z/data=!3m1!4b1!4m5!3m4!1s0x886bdad448fb30c7:0xefd167b9a6ee9799!8m2!3d38.7417578!4d-85.804578",godfathers_pizza,
Godfather's Pizza,1108 W Wyatt Earp Blvd,DODGE CITY,KS,67801-4143,6202250654.0,"https://www.google.com/maps/place/Godfather's+Pizza+Express/@37.7537079,-100.028862,17z/data=!3m1!4b1!4m5!3m4!1s0x87a71b04e5c80371:0x3f2a73053d9a6c4a!8m2!3d37.7537079!4d-100.028862",godfathers_pizza,
Godfather's Pizza,112 3rd Ave,WINDOM,MN,56101,5078314836.0,"https://www.google.com/maps/place/Godfather's+Pizza/@43.8568458,-95.1164932,17z/data=!3m1!4b1!4m5!3m4!1s0x878b4dba120548ef:0x6e2330c6b0caca5a!8m2!3d43.8568458!4d-95.1164932",godfathers_pizza,
Godfather's Pizza,1215 E 16th St,DUBUQUE,IA,52001-2255,5635575198.0,"https://www.google.com/maps/place/Godfather's+Pizza/@42.512248,-90.6578694,17z/data=!4m5!3m4!1s0x87e32b0afeb2bde3:0xd4ac277aa2852e1d!8m2!3d42.5122441!4d-90.6556807?hl=en",godfathers_pizza,
Godfather's Pizza,12561 Antioch Rd,OVERLAND PARK,KS,66213-1703,9138970505.0,"https://www.google.com/maps/place/Godfather's+Pizza/@38.9000497,-94.6845676,17z/data=!3m1!4b1!4m5!3m4!1s0x87c0ea7ddc775873:0xd047d06b2bb13058!8m2!3d38.9000497!4d-94.6845676",godfathers_pizza,
Godfather's Pizza,132 S 6th St,PLATTSMOUTH,NE,68048-1934,4022964466.0,"https://www.google.com/maps/place/Godfather's+Pizza/@41.010363,-95.886487,17z/data=!3m1!4b1!4m5!3m4!1s0x87947a629e8a53d9:0xb617261b8b5d02fd!8m2!3d41.010363!4d-95.886487",godfathers_pizza,
