Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Green Leaf's Grill & Bananas Ultimate Juice Bar,12801 W Sunrise Blvd,SUNRISE,FL,33323-4020,3058760630.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@26.1528455,-80.3188657,17z/data=!3m1!4b1!4m5!3m4!1s0x88d9090159779007:0xc8d792cf2150eb89!8m2!3d26.1528455!4d-80.3188657",
Green Leaf's Grill & Bananas Ultimate Juice Bar,10000 Factory Shop Blvd,GULFPORT,MS,39503-4231,2288716020.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@30.4109057,-89.1150673,12z/data=!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+2600+Beach+Blvd+BILOXI+MS+39531-4606!3m4!1s0x889c3dfc4a137df3:0x648e3d41fd66150b!8m2!3d30.429546!4d-89.100304?hl=en",
Green Leaf's Grill & Bananas Ultimate Juice Bar,241 Fort Evans Rd NE,LEESBURG,VA,20176-4038,7037377959.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@39.1060209,-77.5391694,17z/data=!3m1!4b1!4m5!3m4!1s0x89b63d0ab0c713fb:0x77d4b21d0e8e226a!8m2!3d39.1060209!4d-77.5391694",
Green Leaf's Grill & Bananas Ultimate Juice Bar,500 Port of New Orleans Pl,NEW ORLEANS,LA,70130-1662,5048720045.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@29.9471842,-90.0627252,17z/data=!3m1!4b1!4m5!3m4!1s0x8620a66e9a09f461:0xfedbb93d87b2ae33!8m2!3d29.9471842!4d-90.0627252",
Green Leaf's Grill & Bananas Ultimate Juice Bar,1314 Tanger Mall Dr,RIVERHEAD,NY,11901-6413,6313693226.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@40.9218462,-72.7157645,17z/data=!4m5!3m4!1s0x89e85fff588d1abb:0xcf9009e3bbc36af6!8m2!3d40.9218422!4d-72.7135758?hl=en",
Green Leaf's Grill & Bananas Ultimate Juice Bar,3965 Eagan Outlets Pkwy,EAGAN,MN,55122-4417,6516886999.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@44.8151029,-93.2154258,17z/data=!3m1!4b1!4m5!3m4!1s0x87f62e326b8af6bb:0x9946bbd1e4ae4951!8m2!3d44.8151029!4d-93.2154258",
Green Leaf's Grill & Bananas Ultimate Juice Bar,5000 Katy Mills Cir,KATY,TX,77494-4402,2816444826.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@29.7744668,-95.8112974,17z/data=!4m5!3m4!1s0x864126a18b08f439:0x8704a78e9a07cb86!8m2!3d29.7744622!4d-95.8091087?hl=en",
Green Leaf's Grill & Bananas Ultimate Juice Bar,740 Ventura Blvd,CAMARILLO,CA,93010-5842,8053890500.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@34.2155216,-119.062124,17z/data=!3m1!4b1!4m5!3m4!1s0x80e849efc55f20d9:0xdeeca8c75f08c413!8m2!3d34.2155216!4d-119.062124",
Green Leaf's Grill & Bananas Ultimate Juice Bar,8500 Essington Ave,PHILADELPHIA,PA,19153-3755,2153653351.0,"https://www.google.com/maps/place/Green+Leaf's+-+Remodeling/@39.8753695,-75.2382286,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6c49ce688035f:0xcadc6e707d0b0525!8m2!3d39.8753695!4d-75.2382286",
Green Leaf's Grill & Bananas Ultimate Juice Bar,4976 Premium Outlets Way,CHANDLER,AZ,85226-5502,4806391911.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@33.287305,-111.9756567,17z/data=!4m5!3m4!1s0x872b03f4f34ecae5:0xb66c21ed1aad831a!8m2!3d33.2873005!4d-111.973468?hl=en",
Green Leaf's Grill & Bananas Ultimate Juice Bar,875 S Grand Central Pkwy,LAS VEGAS,NV,89106-4503,7023660101.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@36.1636486,-115.1572603,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8c396eca9ba8d:0x9474539b7594454d!8m2!3d36.1636486!4d-115.1572603",
Green Leaf's Grill & Bananas Ultimate Juice Bar,1000 Ross Park Mall Dr,PITTSBURGH,PA,15237-3875,4123589921.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@40.4437636,-80.2230123,11z/data=!4m8!1m2!2m1!1sVilla+Fresh+Italian+Kitchen+Pittsburgh+International+Airport+PITTSBURGH+PA+15275!3m4!1s0x88348ca06aae511f:0xf338458da588cf3a!8m2!3d40.5434381!4d-80.0085581?hl=en",
Green Leaf's Grill & Bananas Ultimate Juice Bar,2200 South 10Th Street Vc 09,MCALLEN,TX,78503,9566300229.0,"https://www.google.com/maps/place/Green+Leaf's/@26.1849268,-98.2385016,17z/data=!4m5!3m4!1s0x8665a7582cbb7fad:0xc3e98b17f104c3e6!8m2!3d26.184922!4d-98.2363129?hl=en",
Green Leaf's Grill & Bananas Ultimate Juice Bar,459 Opry Mills Dr Fc1,NASHVILLE,TN,37214-2440,6156490433.0,"https://www.google.com/maps/place/Green+Leaf's+%26+Bananas/@36.2034151,-86.6949373,17z/data=!4m5!3m4!1s0x886469cf38bc8f5b:0x3b0079f178deaefa!8m2!3d36.2034108!4d-86.6927486?hl=en",
