Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Hungry Howie's Pizza & Subs,1003 N Leroy St,FENTON,MI,48430-2755,8106293100.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@42.80768,-83.70797,17z/data=!3m1!4b1!4m5!3m4!1s0x8823645870aa2e73:0xe1372ab6b438c5d7!8m2!3d42.80768!4d-83.70797",
Hungry Howie's Pizza & Subs,1026 S State Rd,DAVISON,MI,48423-1904,8106536688.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@43.01904,-83.5183053,17z/data=!3m1!4b1!4m5!3m4!1s0x88247e6fdf7e3c93:0x2b2ed8627a3b16f8!8m2!3d43.01904!4d-83.5183053",
Hungry Howie's Pizza & Subs,10430 Front Beach Rd,PANAMA CITY,FL,32407-3514,8502303999.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@30.1782908,-85.8032177,17z/data=!3m1!4b1!4m5!3m4!1s0x889388d604f71de9:0xf8973ff6c43af62d!8m2!3d30.1782908!4d-85.8032177",
Hungry Howie's Pizza & Subs,1045 E Lemon St,TEMPE,AZ,85281-3970,4808047500.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@33.4161137,-111.9222431,17z/data=!3m1!4b1!4m5!3m4!1s0x872b08ef2affc62b:0xdb52f3b8f5fc32b3!8m2!3d33.4161137!4d-111.9222431",
Hungry Howie's Pizza & Subs,105 Southwest Pkwy,COLLEGE STATION,TX,77840-4738,9796936666.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@30.591934,-96.330086,17z/data=!3m1!4b1!4m5!3m4!1s0x86468364dc483faf:0x22eb8a94f108fb1!8m2!3d30.591934!4d-96.330086",
Hungry Howie's Pizza & Subs,1117 W Jefferson St,QUINCY,FL,32351-2211,8506273000.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@30.587489,-84.5900163,17z/data=!3m1!4b1!4m5!3m4!1s0x88ece81203fa34f9:0x894f2246ff983503!8m2!3d30.587489!4d-84.5900163",
Hungry Howie's Pizza & Subs,10265 Tamiami Trl N,NAPLES,FL,34108-1904,2395970007.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@26.26485,-81.80199,17z/data=!3m1!4b1!4m5!3m4!1s0x88db1ec79de96fd9:0x6cb59c55ee6aca95!8m2!3d26.26485!4d-81.80199",
Hungry Howie's Pizza & Subs,105 Fairbanks St,MARINE CITY,MI,48039-1594,8107651100.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@42.72119,-82.497536,17z/data=!3m1!4b1!4m5!3m4!1s0x88256c475ad77b69:0x21af1f44210e6f9b!8m2!3d42.72119!4d-82.497536",
Hungry Howie's Pizza & Subs,1144 John Sims Pkwy E,NICEVILLE,FL,32578-2204,8507292222.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@30.5169556,-86.464349,17z/data=!3m1!4b1!4m5!3m4!1s0x889169add84751d5:0x30796482bfd85c6f!8m2!3d30.5169556!4d-86.464349",
Hungry Howie's Pizza & Subs,1209 Ross Clark Cir,DOTHAN,AL,36301-3019,3346732300.0,"https://www.google.com/maps/place/Hungry+Howie's+Pizza/@31.211872,-85.361145,17z/data=!3m1!4b1!4m5!3m4!1s0x88929364949f2903:0x6ccf1c0ad81c2d54!8m2!3d31.211872!4d-85.361145",
