Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Johnnys New York Style Pizza,778 Hwy 96,BONAIRE,GA,31005,4789880220.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@32.5528416,-83.6605493,17z/data=!3m1!4b1!4m5!3m4!1s0x88f3de26d280b7cd:0x82a1a2ea3af252f5!8m2!3d32.5528416!4d-83.6605493",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,608 Eagles Landing Pkwy,STOCKBRIDGE,GA,30281-5096,6782891449.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.5138374,-84.2133681,17z/data=!3m1!4b1!4m5!3m4!1s0x88f45722e7bacf9f:0x82f9b04fb9942630!8m2!3d33.5138374!4d-84.2133681",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,559 Riverstone Pkwy,CANTON,GA,30114-5264,4708635099.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@34.2453472,-84.4848816,17z/data=!3m1!4b1!4m5!3m4!1s0x88f565a945566bd3:0x180f383609bf8686!8m2!3d34.2453472!4d-84.4848816",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,550 W Crossville Rd,ROSWELL,GA,30075-7523,6788784242.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@34.0550689,-84.3778848,17z/data=!3m1!4b1!4m5!3m4!1s0x88f57313acffca25:0x1e62348e7ba14da5!8m2!3d34.0550689!4d-84.3778848",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,49 Hosiery Mill Rd,DALLAS,GA,30157-1687,7704459500.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.9559889,-84.7870745,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5374c64716503:0xb41f0c36a7fa48f1!8m2!3d33.9559889!4d-84.7870745",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,2445 Salem Rd,CONYERS,GA,30013-6316,7709221000.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.6239171,-83.9782435,17z/data=!3m1!4b1!4m5!3m4!1s0x88f44b1e5b474859:0xcf598aa5531f3ae1!8m2!3d33.6239171!4d-83.9782435",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,1810 Cheshire Bridge Rd NE,ATLANTA,GA,30324-4924,4048748304.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.8090901,-84.3635676,17z/data=!3m1!4b1!4m5!3m4!1s0x88f505d1ea8a6ef3:0x491ebbf2c819eaae!8m2!3d33.8090901!4d-84.3635676",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,1670 S Highway 27,CARROLLTON,GA,30117-6944,7708305955.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.5448476,-85.0733177,17z/data=!3m1!4b1!4m5!3m4!1s0x888b28b1cafcca3d:0x4123309a64835ee9!8m2!3d33.5448476!4d-85.0733177",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,1635 Old 41 Hwy NW,KENNESAW,GA,30152-4480,6789960911.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.9929882,-84.5994153,17z/data=!3m1!4b1!4m5!3m4!1s0x88f51576dc4e6261:0x133603b67e555611!8m2!3d33.9929882!4d-84.5994153",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,1435 Highlands Ridge Rd SE,SMYRNA,GA,30082-4872,7704310600.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.8401637,-84.5188549,17z/data=!3m1!4b1!4m5!3m4!1s0x88f51a1cf01fd53f:0x96efe85a8d925377!8m2!3d33.8401637!4d-84.5188549",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,1105 Parkside Ln,WOODSTOCK,GA,30189-5381,7709289494.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@34.1081672,-84.5533927,17z/data=!3m1!4b1!4m5!3m4!1s0x88f56bc5a11c8a71:0x66b6f60f8fad62b7!8m2!3d34.1081672!4d-84.5533927",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,1040 Gaines School Rd,ATHENS,GA,30605-6335,7063541515.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.9280041,-83.3372702,17z/data=!3m1!4b1!4m5!3m4!1s0x88f66c7fc13a5f85:0xcd8df6684d40a8a6!8m2!3d33.9280041!4d-83.3372702",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,7887A Roswell Rd,SANDY SPRINGS,GA,30350-4829,7708043322.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.9726872,-84.357323,17z/data=!3m1!4b1!4m5!3m4!1s0x88f50c79229931e3:0x7682ac333c72be00!8m2!3d33.9726872!4d-84.357323",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,6770 Veterans Pkwy,COLUMBUS,GA,31909-7201,7065075050.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@32.5434781,-84.9512997,17z/data=!3m1!4b1!4m5!3m4!1s0x888ccb45e7a677a7:0x6ccbe06b7267c454!8m2!3d32.5434781!4d-84.9512997",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,3940 Cherokee St NW,KENNESAW,GA,30144-6421,6783550825.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@34.0495173,-84.5966291,17z/data=!3m1!4b1!4m5!3m4!1s0x88f56aa5b19871b9:0xe067c668af7f5d25!8m2!3d34.0495173!4d-84.5966291",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,3718 Dallas Hwy SW,MARIETTA,GA,30064-5982,7704258333.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.9534476,-84.6611741,17z/data=!3m1!4b1!4m5!3m4!1s0x88f53e9c7d5385a3:0x4d6cf1ec6b3ad93d!8m2!3d33.9534476!4d-84.6611741",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,3035 Centerville Hwy,SNELLVILLE,GA,30078,7709788180.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.8244712,-84.0326865,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5b0a38c13f33f:0xe63d6050c5fb1bf1!8m2!3d33.8244712!4d-84.0326865",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,2911 Chapel Hill Rd,DOUGLASVILLE,GA,30135-7142,6782148486.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.7256775,-84.7362178,17z/data=!3m1!4b1!4m5!3m4!1s0x88f527ab86d06f2d:0x840d7933c7aa1507!8m2!3d33.7256775!4d-84.7362178",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,233 Broad St,ROME,GA,30161-3002,7062326555.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@34.2537064,-85.1758147,17z/data=!4m5!3m4!1s0x888aa4bea9be66d5:0x31dc04cd419d1209!8m2!3d34.253702!4d-85.173626?hl=en",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,1899 Newnan Crossing Blvd E,NEWNAN,GA,30265,7702523495.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.3734502,-84.7533965,17z/data=!3m1!4b1!4m5!3m4!1s0x88f4c6355b87d95d:0xd5a8b5d92c0dc495!8m2!3d33.3734502!4d-84.7533965",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,66 Hiram Douglasville Hwy,HIRAM,GA,30141,7704390109.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@33.89096,-84.7558394,17z/data=!3m1!4b1!4m5!3m4!1s0x88f53ae8445c7be3:0x2fd4d41a3999c467!8m2!3d33.89096!4d-84.7558394",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,2115 Market Place Blvd,CUMMING,GA,30041,6784563133.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@34.1928259,-84.128633,17z/data=!3m1!4b1!4m5!3m4!1s0x88f585336dc125f5:0x1bdccadb3e169120!8m2!3d34.1928259!4d-84.128633",johnnys_new_york_style_pizza,
Johnnys New York Style Pizza,329 South Peterson Ave,DOUGLAS,GA,31533,9123931223.0,"https://www.google.com/maps/place/Johnny's+New+York+Style+Pizza/@31.5054699,-82.8506849,17z/data=!3m1!4b1!4m5!3m4!1s0x88f02b8e679b0f77:0xb3a4f211430b7ec!8m2!3d31.5054699!4d-82.8506849",johnnys_new_york_style_pizza,
