Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Lou Malnatis Pizzeria,502 Northwest Hwy,CARY,IL,60013-2995,2248369100.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria/@42.21526,-88.2519179,17z/data=!3m1!4b1!4m5!3m4!1s0x880f0b1a124c0cd1:0xd52f79ef39b24c3e!8m2!3d42.21526!4d-88.2519179",
Lou Malnatis Pizzeria,439 N Wells St,CHICAGO,IL,60654-4512,3128289800.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria/@41.8903416,-87.6337174,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2cb6a8034a35:0x75dbc9bf82f2c81b!8m2!3d41.8903416!4d-87.6337174",
Lou Malnatis Pizzeria,1048 Commons Dr,GENEVA,IL,60134-2539,6302081600.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.8955852,-88.3413263,17z/data=!3m1!4b1!4m5!3m4!1s0x880ee2bda701fc89:0x7f8cca2b3ae226cc!8m2!3d41.8955852!4d-88.3413263",
Lou Malnatis Pizzeria,2848 US 34,OSWEGO,IL,60543,6306082567.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.6973104,-88.3188222,17z/data=!3m1!4b1!4m5!3m4!1s0x880ef1da04fb05d1:0x17144699f9d12cde!8m2!3d41.6973104!4d-88.3188222",
Lou Malnatis Pizzeria,259 S Weber Rd,BOLINGBROOK,IL,60490-1510,6306790099.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.6909209,-88.1265421,17z/data=!3m1!4b1!4m5!3m4!1s0x880e591c2eae08f9:0x279c03a0eb3f4f9c!8m2!3d41.6909209!4d-88.1265421",
Lou Malnatis Pizzeria,12801 S Harlem Ave,PALOS HEIGHTS,IL,60463-2186,7086082400.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.659033,-87.795688,17z/data=!3m1!4b1!4m5!3m4!1s0x880e3eb55bdaf72b:0x581bb4f00c59f80f!8m2!3d41.659033!4d-87.795688",
Lou Malnatis Pizzeria,6456 S Cicero Ave,CHICAGO,IL,60638-5816,7732379900.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria/@41.774966,-87.742635,17z/data=!3m1!4b1!4m5!3m4!1s0x880e30fc3b774a1b:0xd59eb03a0dac17f!8m2!3d41.774966!4d-87.742635",
Lou Malnatis Pizzeria,3859 W Ogden Ave,CHICAGO,IL,60623-2459,7737620800.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria/@41.8529375,-87.7245526,15z/data=!3m1!5s0x880e325c08585517:0x2bb36b02c7d69c8!4m8!1m2!2m1!1sLou+Malnatis+Pizzeria+3859+W+Ogden+Ave+CHICAGO+IL+60623-2459!3m4!1s0x880e325c08673e4b:0xf33af8f75b02502d!8m2!3d41.851735!4d-87.722011?hl=en",
Lou Malnatis Pizzeria,1528 Route 59,JOLIET,IL,60435,8152546200.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.5493274,-88.1990615,17z/data=!3m1!4b1!4m5!3m4!1s0x880e8a50e6ec2bc3:0xb438d76eafa39837!8m2!3d41.5493274!4d-88.1990615",
Lou Malnatis Pizzeria,2510 E Lincoln Hwy,NEW LENOX,IL,60451-9712,8159007450.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.50781,-87.9173354,17z/data=!3m1!4b1!4m5!3m4!1s0x880e6bf38b9251af:0xe5851dfbb23bbbac!8m2!3d41.50781!4d-87.9173354",
Lou Malnatis Pizzeria,34500 N US Highway 45,THIRD LAKE,IL,60030-4041,8472315550.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@42.3641111,-88.0000383,17z/data=!3m1!4b1!4m5!3m4!1s0x880f9012406f914f:0x8b459f642ebfd802!8m2!3d42.3641111!4d-88.0000383",
Lou Malnatis Pizzeria,3223 Lake Ave,WILMETTE,IL,60091-1069,8472565780.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@42.0788938,-87.7560508,17z/data=!3m1!4b1!4m5!3m4!1s0x880fc5bf13a99205:0x960e713252d97b57!8m2!3d42.0788938!4d-87.7560508",
Lou Malnatis Pizzeria,840 S Waukegan Rd,LAKE FOREST,IL,60045-2608,8477351515.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@42.2247197,-87.8744532,17z/data=!3m1!4b1!4m5!3m4!1s0x880f955d7b35d2fd:0xe8cde075634387d3!8m2!3d42.2247197!4d-87.8744532",
Lou Malnatis Pizzeria,1 S Roselle Rd,SCHAUMBURG,IL,60193-1638,8479851525.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria/@42.0269517,-88.0795798,17z/data=!3m1!4b1!4m5!3m4!1s0x880faf260faa0347:0xf179b8bac44aa3ba!8m2!3d42.0269517!4d-88.0795798",
Lou Malnatis Pizzeria,1120 N State St,CHICAGO,IL,60610-2718,3127257777.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria/@41.9026225,-87.6285973,17z/data=!3m1!4b1!4m5!3m4!1s0x880fd34e2ac0f553:0x4640944bf7f9b098!8m2!3d41.9026225!4d-87.6285973",
Lou Malnatis Pizzeria,343 E Geneva Rd,CAROL STREAM,IL,60188-2438,6306687200.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.8884989,-88.1111413,17z/data=!3m1!4b1!4m5!3m4!1s0x880e54bc6188204d:0x4750505205c52f27!8m2!3d41.8884989!4d-88.1111413",
Lou Malnatis Pizzeria,2879 95th St,NAPERVILLE,IL,60564-9007,6309044222.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.710332,-88.203296,17z/data=!3m1!4b1!4m5!3m4!1s0x880ef7ac5d2c3433:0xa144592db914ded0!8m2!3d41.710332!4d-88.203296",
Lou Malnatis Pizzeria,14150 S Bell Rd,HOMER GLEN,IL,60491-8465,7085800300.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.6315334,-87.9325877,17z/data=!3m1!4b1!4m5!3m4!1s0x880e417d43734fc3:0xcb7452e97b8f9ccc!8m2!3d41.6315334!4d-87.9325877",
Lou Malnatis Pizzeria,7125 W Gunnison St,HARWOOD HEIGHTS,IL,60706-3830,7086673500.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria+-+Carry+Out/@41.9677932,-87.8046568,17z/data=!3m1!4b1!4m5!3m4!1s0x880fcbc5722dec4b:0xc70475ad9ca32f3c!8m2!3d41.9677932!4d-87.8046568",
Lou Malnatis Pizzeria,1850 Sherman Ave,EVANSTON,IL,60201-3795,8473285400.0,"https://www.google.com/maps/place/Lou+Malnati's+Pizzeria/@42.0514654,-87.6820016,17z/data=!3m1!4b1!4m5!3m4!1s0x880fd00bc4a0a033:0xfbce9d7a90dee838!8m2!3d42.0514654!4d-87.6820016",
