Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Marco's Pizza,4770 W Ann Rd,NORTH LAS VEGAS,NV,89031-3469,7026552828.0,"https://www.google.com/maps/place/Marco's+Pizza/@36.262192,-115.206646,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8ebcc0a1eae09:0x54dc21a14f9dd582!8m2!3d36.262192!4d-115.206646",marcos_pizza,
Marco's Pizza,920 Loveland Madeira Rd,LOVELAND,OH,45140-2706,5136834888.0,"https://www.google.com/maps/place/Marco's+Pizza/@39.262559,-84.270343,17z/data=!3m1!4b1!4m5!3m4!1s0x884055fff8de7177:0xce36fa98a526f30e!8m2!3d39.262559!4d-84.270343",marcos_pizza,
Marco's Pizza,4511 Chamblee Dunwoody Rd,DUNWOODY,GA,30338-6243,6788791888.0,"https://www.google.com/maps/place/Marco's+Pizza/@33.9224819,-84.3138833,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5097823651cd3:0x6fe32d5b6a8b2d0a!8m2!3d33.9224819!4d-84.3138833",marcos_pizza,
Marco's Pizza,2003 Horton Rd,JACKSON,MI,49203-5521,5177800100.0,"https://www.google.com/maps/place/Marco's+Pizza/@42.200522,-84.437742,17z/data=!3m1!4b1!4m5!3m4!1s0x883d24caa58b6f4d:0xbe24d8ea0463de5a!8m2!3d42.200522!4d-84.437742",marcos_pizza,
Marco's Pizza,5120 Warm Springs Rd,COLUMBUS,GA,31909-6909,7065077070.0,"https://www.google.com/maps/place/Marco's+Pizza/@32.534644,-84.905834,17z/data=!3m1!4b1!4m5!3m4!1s0x88f33485a3db6791:0x6510a416879c2065!8m2!3d32.534644!4d-84.905834",marcos_pizza,
Marco's Pizza,6065 Rawsonville Rd,BELLEVILLE,MI,48111,7344802900.0,"https://www.google.com/maps/place/Marco's+Pizza/@42.202759,-83.542322,17z/data=!3m1!4b1!4m5!3m4!1s0x883b59c91364a7df:0x3731ade9d8f3fad1!8m2!3d42.202759!4d-83.542322",marcos_pizza,
Marco's Pizza,6360 Tylersville Rd,MASON,OH,45040-1215,5132041555.0,"https://www.google.com/maps/place/Marco's+Pizza/@39.352346,-84.335672,17z/data=!3m1!4b1!4m5!3m4!1s0x884059e11e665c53:0x8ce42e4abc08906d!8m2!3d39.352346!4d-84.335672",marcos_pizza,
Marco's Pizza,6330 E Golf Links Rd,TUCSON,AZ,85730-1069,5207473898.0,"https://www.google.com/maps/place/Marco's+Pizza/@32.190068,-110.857124,17z/data=!3m1!4b1!4m5!3m4!1s0x86d665785bc8ad0d:0x11cd3f7981047808!8m2!3d32.190068!4d-110.857124",marcos_pizza,
Marco's Pizza,4711 W Gandy Blvd,TAMPA,FL,33611-3307,8138391234.0,"https://www.google.com/maps/place/Marco's+Pizza/@27.893759,-82.5256481,17z/data=!3m1!4b1!4m5!3m4!1s0x88c2dd2441bd339b:0xfafb988f269a97b!8m2!3d27.893759!4d-82.5256481",marcos_pizza,
Marco's Pizza,10550 N La Canada Dr,ORO VALLEY,AZ,85737-7133,5202976500.0,"https://www.google.com/maps/place/Marco's+Pizza/@32.3978488,-110.9943278,17z/data=!3m1!4b1!4m5!3m4!1s0x86d60c78ddca2525:0xa061cc8d69256078!8m2!3d32.3978488!4d-110.9943278",marcos_pizza,
