Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Mellow Mushroom,9734 Deer Lake Ct,JACKSONVILLE,FL,32246-4468,9049971955.0,"https://www.google.com/maps/place/Mellow+Mushroom+Jacksonville+-+Town+Center/@30.2651668,-81.5550453,17z/data=!3m1!4b1!4m5!3m4!1s0x88e5b5799157db19:0xbbcf78ab6549164e!8m2!3d30.2651668!4d-81.5550453",
Mellow Mushroom,960 Highway 98 E,DESTIN,FL,32541-2843,8506506420.0,"https://www.google.com/maps/place/Mellow+Mushroom+Destin/@30.3875821,-86.4765873,17z/data=!3m1!4b1!4m5!3m4!1s0x88914475782a087d:0xc40dfecd72b35df1!8m2!3d30.3875821!4d-86.4765873",
Mellow Mushroom,903 Parkway,GATLINBURG,TN,37738-3181,8652770600.0,"https://www.google.com/maps/place/Mellow+Mushroom+Gatlinburg/@35.7107838,-83.5193713,17z/data=!3m1!4b1!4m5!3m4!1s0x885955c51f27e651:0xa90c300135ed615d!8m2!3d35.7107838!4d-83.5193713",
Mellow Mushroom,767 Huffman Mill Rd,BURLINGTON,NC,27215-5124,3365841104.0,"https://www.google.com/maps/place/Mellow+Mushroom+Burlington/@36.0714457,-79.4942265,17z/data=!3m1!4b1!4m5!3m4!1s0x88532937947b5f2f:0xc1741c2c916ef1bc!8m2!3d36.0714457!4d-79.4942265",
Mellow Mushroom,740 S Mill Ave,TEMPE,AZ,85281-3629,4809676355.0,"https://www.google.com/maps/place/Mellow+Mushroom+Tempe/@33.4230072,-111.9403907,17z/data=!3m1!4b1!4m5!3m4!1s0x872b08d77df86b43:0xcc0c4ccecc5e33c6!8m2!3d33.4230072!4d-111.9403907",
Mellow Mushroom,6121 Cedarcrest Rd NW,ACWORTH,GA,30101-4205,6784026009.0,"https://www.google.com/maps/place/Mellow+Mushroom+Acworth/@34.062675,-84.7253737,17z/data=!3m1!4b1!4m5!3m4!1s0x88f547f911377615:0xc00c29af9f1b812c!8m2!3d34.062675!4d-84.7253737",
Mellow Mushroom,609 S Elm St,GREENSBORO,NC,27406-1327,3362352840.0,"https://www.google.com/maps/place/Mellow+Mushroom+Greensboro/@36.0655658,-79.790541,17z/data=!3m1!4b1!4m5!3m4!1s0x88531921f8ede867:0x8b004857a15da73a!8m2!3d36.0655658!4d-79.790541",
Mellow Mushroom,5575 Chamblee Dunwoody Rd,DUNWOODY,GA,30338-4150,7703961696.0,"https://www.google.com/maps/place/Mellow+Mushroom+Dunwoody/@33.9505111,-84.3359547,17z/data=!3m1!4b1!4m5!3m4!1s0x88f50be97eb087ad:0xd177338750c30e27!8m2!3d33.9505111!4d-84.3359547",
Mellow Mushroom,4855 Tanger Outlet Blvd,NORTH CHARLESTON,SC,29418-6950,8437909000.0,"https://www.google.com/maps/place/Mellow+Mushroom+North+Charleston/@32.872197,-80.0157063,17z/data=!3m1!4b1!4m5!3m4!1s0x88fe635bb81b3355:0x4cd56b3a4fc4e22d!8m2!3d32.872197!4d-80.0157063",
Mellow Mushroom,464 E Main St,SPARTANBURG,SC,29302-1926,8645825495.0,"https://www.google.com/maps/place/Mellow+Mushroom/@34.9526748,-81.9220447,17z/data=!4m5!3m4!1s0x88577585eb81acc9:0x324307dab091d6c4!8m2!3d34.9526704!4d-81.919856?hl=en",
Mellow Mushroom,440 Kings Way,ST SIMONS IS,GA,31522-4320,9122919108.0,"https://www.google.com/maps/place/Mellow+Mushroom+St.+Simons+Island/@31.1367943,-81.3962372,17z/data=!3m1!4b1!4m5!3m4!1s0x88e4da6868fe9577:0xdec15fecca07df55!8m2!3d31.1367943!4d-81.3962372",
Mellow Mushroom,4348 Washington Rd,EVANS,GA,30809-3938,7063646756.0,"https://www.google.com/maps/place/Mellow+Mushroom+Evans/@33.5397288,-82.1327933,17z/data=!3m1!4b1!4m5!3m4!1s0x88f9d4a949beccf3:0x66081a1707ca12e7!8m2!3d33.5397288!4d-82.1327933",
Mellow Mushroom,4300 NW Cary Pkwy,CARY,NC,27513-8413,9194637779.0,"https://www.google.com/maps/place/Mellow+Mushroom+Cary/@35.7902031,-78.8280888,17z/data=!3m1!4b1!4m5!3m4!1s0x89acf27ca0ed491f:0x9fae344e4ed2a6dc!8m2!3d35.7902031!4d-78.8280888",
Mellow Mushroom,4058 Peachtree Rd NE,BROOKHAVEN,GA,30319-3019,4042661661.0,"https://www.google.com/maps/place/Mellow+Mushroom+Atlanta+-+Brookhaven/@33.8613636,-84.3400242,17z/data=!3m1!4b1!4m5!3m4!1s0x88f508bbce2d0c37:0x10d2ba02eb030c5e!8m2!3d33.8613636!4d-84.3400242",
Mellow Mushroom,3611 Saint Johns Ave,JACKSONVILLE,FL,32205-9025,9043880200.0,"https://www.google.com/maps/place/Mellow+Mushroom+Jacksonville+-+Avondale/@30.2963658,-81.7046972,17z/data=!3m1!4b1!4m5!3m4!1s0x88e5b83b003f55c1:0xed1f32c6f02de4cd!8m2!3d30.2963658!4d-81.7046972",
Mellow Mushroom,3500 Lee Hwy,BRISTOL,VA,24202-5544,2766443663.0,"https://www.google.com/maps/place/Mellow+Mushroom+Bristol/@36.637469,-82.1157088,17z/data=!3m1!4b1!4m5!3m4!1s0x8850739033649805:0x8607227932e7d0a3!8m2!3d36.637469!4d-82.1157088",
Mellow Mushroom,3012 W Cary St,RICHMOND,VA,23221-3502,8043708210.0,"https://www.google.com/maps/place/Mellow+Mushroom+Richmond+-+Carytown/@37.5528358,-77.4792654,17z/data=!3m1!4b1!4m5!3m4!1s0x89b113e52ea2f825:0xf6e41baddfe327c!8m2!3d37.5528358!4d-77.4792654",
Mellow Mushroom,29698 Frederick Blvd,DAPHNE,AL,36526-9578,2516213911.0,"https://www.google.com/maps/place/Mellow+Mushroom+Daphne/@30.6597325,-87.8532616,17z/data=!3m1!4b1!4m5!3m4!1s0x889a429d528aaa29:0x850bf999f7298168!8m2!3d30.6597325!4d-87.8532616",
Mellow Mushroom,2955 S Rutherford Blvd,MURFREESBORO,TN,37130-0718,6158908898.0,"https://www.google.com/maps/place/Mellow+Mushroom/@35.8330193,-86.3543087,17z/data=!4m5!3m4!1s0x8863f8c6a168daa7:0x1c24f2b646a460b8!8m2!3d35.833015!4d-86.35212?hl=en",
Mellow Mushroom,2950 New Paces Ferry Rd SE,VININGS,GA,30339-6226,7704355949.0,"https://www.google.com/maps/place/Mellow+Mushroom+Atlanta+-+Vinings/@33.8650912,-84.4677438,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5106f00d5227b:0x337f5f519a8d3d20!8m2!3d33.8650912!4d-84.4677438",
Mellow Mushroom,2825 Nottingham Way,ALBANY,GA,31707-1284,2298884646.0,"https://www.google.com/maps/place/Mellow+Mushroom+Albany/@31.621736,-84.2048314,17z/data=!3m1!4b1!4m5!3m4!1s0x88f27c686305fdcb:0xeb098c94b40e9265!8m2!3d31.621736!4d-84.2048314",
Mellow Mushroom,275 Highway 74 N,PEACHTREE CITY,GA,30269-1492,7706326018.0,"https://www.google.com/maps/place/Mellow+Mushroom+Peachtree+City/@33.4070066,-84.6000694,17z/data=!3m1!4b1!4m5!3m4!1s0x88f4e9fd1f6221ff:0x3201d4a9d252f121!8m2!3d33.4070066!4d-84.6000694",
Mellow Mushroom,260 Market St,NEW ALBANY,OH,43054-9714,6142454234.0,"https://www.google.com/maps/place/Mellow+Mushroom+New+Albany/@40.0807321,-82.8144976,17z/data=!3m1!4b1!4m5!3m4!1s0x883867514eb77a3d:0xea68f8767f17cb27!8m2!3d40.0807321!4d-82.8144976",
Mellow Mushroom,2436 18th St NW,WASHINGTON,DC,20009-2004,2022902778.0,"https://www.google.com/maps/place/Mellow+Mushroom+Washington+DC+-+Adams+Morgan/@38.9215402,-77.042678,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b7da310e67dd:0x9387ca1e917e7281!8m2!3d38.9215402!4d-77.042678",
Mellow Mushroom,238 Broad St,ROME,GA,30161-3022,7062349000.0,"https://www.google.com/maps/place/Mellow+Mushroom+Rome/@34.2532268,-85.1732581,17z/data=!3m1!4b1!4m5!3m4!1s0x888aa4beb2588241:0xcac007f35e7360bf!8m2!3d34.2532268!4d-85.1732581",
Mellow Mushroom,2340 E 116th St,CARMEL,IN,46032-3217,3178462400.0,"https://www.google.com/maps/place/Mellow+Mushroom+Carmel/@39.9577274,-86.1156666,17z/data=!3m1!4b1!4m5!3m4!1s0x8814ad0a8f8e7ae7:0xbc019fffe5695800!8m2!3d39.9577274!4d-86.1156666",
Mellow Mushroom,2303 S McKenzie St,FOLEY,AL,36535-3403,2519701414.0,"https://www.google.com/maps/place/Mellow+Mushroom+Foley/@30.3803262,-87.682421,17z/data=!3m1!4b1!4m5!3m4!1s0x889a0e312e6da413:0x7b3bce9cb37b69b6!8m2!3d30.3803262!4d-87.682421",
Mellow Mushroom,2239 Franklin Rd SW,ROANOKE,VA,24014-1109,5405129822.0,"https://www.google.com/maps/place/Mellow+Mushroom+Roanoke/@37.250966,-79.954629,17z/data=!3m1!4b1!4m5!3m4!1s0x884d0d064eaba4c9:0xf0fe949c6d9e7632!8m2!3d37.250966!4d-79.954629",
Mellow Mushroom,2230 Cecil Ashburn Dr SE,HUNTSVILLE,AL,35802-2585,2568830232.0,"https://www.google.com/maps/place/Mellow+Mushroom+Huntsville+South/@34.6722793,-86.534537,17z/data=!3m1!4b1!4m5!3m4!1s0x886212513ce62bf3:0x9e20c6ecaf157b1c!8m2!3d34.6722793!4d-86.534537",
Mellow Mushroom,2109 Cumberland Ave,KNOXVILLE,TN,37916-2809,8656874766.0,"https://www.google.com/maps/place/Mellow+Mushroom+Knoxville/@35.9546803,-83.9380247,17z/data=!3m1!4b1!4m5!3m4!1s0x885c3d5c24e560fd:0x47b6b7a11e4209f5!8m2!3d35.9546803!4d-83.9380247",
Mellow Mushroom,2000 Powers Ferry Rd SE,MARIETTA,GA,30067-9476,7709338584.0,"https://www.google.com/maps/place/Mellow+Mushroom+Marietta+-+Powers+Ferry/@33.906101,-84.4651794,17z/data=!3m1!4b1!4m5!3m4!1s0x88f511b0afc5339d:0x90b9a3b68bc2de4d!8m2!3d33.906101!4d-84.4651794",
Mellow Mushroom,2000 Main Street East Hwy 78,SNELLVILLE,GA,30078,7707369396.0,"https://www.google.com/maps/place/Mellow+Mushroom+Snellville/@33.8560854,-83.9972882,17z/data=!3m1!4b1!4m5!3m4!1s0x88f5b995dd73f1cb:0x75e4d6efb19af556!8m2!3d33.8560854!4d-83.9972882",
Mellow Mushroom,1940 Cinema Dr,ROCK HILL,SC,29730-8909,8033294743.0,"https://www.google.com/maps/place/Mellow+Mushroom+Rock+Hill/@34.9439054,-80.9777245,17z/data=!3m1!4b1!4m5!3m4!1s0x8856f59e7b547343:0x88d76fcbc49e7b28!8m2!3d34.9439054!4d-80.9777245",
Mellow Mushroom,1919 Magnolia Road,CHARLESTON,SC,29407,8437474992.0,"https://www.google.com/maps/place/Mellow+Mushroom+Charleston+-+West+Ashley/@32.7825896,-79.9860971,17z/data=!3m1!4b1!4m5!3m4!1s0x88fe7bc274f5a7d7:0x8546344e5d3047e0!8m2!3d32.7825896!4d-79.9860971",
Mellow Mushroom,920 Inverness Cors,BIRMINGHAM,AL,35242-3785,2059819914.0,"https://www.google.com/maps/place/Mellow+Mushroom+Hoover/@33.4161503,-86.6954933,17z/data=!3m1!4b1!4m5!3m4!1s0x888917cdbb377ab5:0x9db51693f2790575!8m2!3d33.4161503!4d-86.6954933",
Mellow Mushroom,7915 Vaughn Rd,MONTGOMERY,AL,36116-6632,3342136443.0,"https://www.google.com/maps/place/Mellow+Mushroom/@32.3403344,-86.1770923,17z/data=!3m1!4b1!4m5!3m4!1s0x888c2b7ea29dd113:0x6323e5efe254bd64!8m2!3d32.3403344!4d-86.1770923",
Mellow Mushroom,635 N Campbell Station Rd,FARRAGUT,TN,37934-1628,8657776768.0,"https://www.google.com/maps/place/Mellow+Mushroom+Farragut/@35.8940185,-84.1747068,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2e8fded3af81:0xe229734467586400!8m2!3d35.8940185!4d-84.1747068",
Mellow Mushroom,5790 Journeys End Way,PORT ORANGE,FL,32127-4714,3869449900.0,"https://www.google.com/maps/place/Mellow+Mushroom+Port+Orange/@29.1065835,-81.0266547,17z/data=!3m1!4b1!4m5!3m4!1s0x88e7279cb5f1e717:0xab430641065f12a2!8m2!3d29.1065835!4d-81.0266547",
Mellow Mushroom,5175 Bayou Blvd,PENSACOLA,FL,32503-2101,8504757575.0,"https://www.google.com/maps/place/Mellow+Mushroom+Pensacola/@30.4742593,-87.2169317,17z/data=!3m1!4b1!4m5!3m4!1s0x8890c0735f53386f:0x81b9dba2cfb839e2!8m2!3d30.4742593!4d-87.2169317",
Mellow Mushroom,5138 Park Ave,MEMPHIS,TN,38117-5718,9015621211.0,"https://www.google.com/maps/place/Mellow+Mushroom+Memphis/@35.1066505,-89.8905305,17z/data=!3m1!4b1!4m5!3m4!1s0x887f8460f6b34799:0x888ce7136894bed2!8m2!3d35.1066505!4d-89.8905305",
Mellow Mushroom,470 Providence Main St NW,HUNTSVILLE,AL,35806-4840,2568642727.0,"https://www.google.com/maps/place/Mellow+Mushroom+Huntsville/@34.7543565,-86.6918105,17z/data=!3m1!4b1!4m5!3m4!1s0x88626919d2f33397:0x654202dda049fb5f!8m2!3d34.7543565!4d-86.6918105",
Mellow Mushroom,4311 Oleander Dr,WILMINGTON,NC,28403-5007,9104523773.0,"https://www.google.com/maps/place/Mellow+Mushroom+Wilmington/@34.2110926,-77.8899669,17z/data=!3m1!4b1!4m5!3m4!1s0x89a9f5a937005ec9:0x93f20626c221805b!8m2!3d34.2110926!4d-77.8899669",
