Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
MOD Pizza,9925 Barker Cypress Rd,CYPRESS,TX,77433-5314,8322204931.0,"https://www.google.com/maps/place/MOD+Pizza/@29.921521,-95.687839,17z/data=!3m1!4b1!4m5!3m4!1s0x8640d66002117861:0xa6dc4981a2a6be7b!8m2!3d29.921521!4d-95.687839",
MOD Pizza,9405 N Newport Hwy,SPOKANE,WA,99218-1390,5092905465.0,"https://www.google.com/maps/place/MOD+Pizza/@47.743396,-117.408678,17z/data=!3m1!4b1!4m5!3m4!1s0x549e1c141eb92687:0x5d66a4941096ce99!8m2!3d47.743396!4d-117.408678",
MOD Pizza,9196 N Main St,ENGLEWOOD,OH,45415-1123,9377710918.0,"https://www.google.com/maps/place/MOD+Pizza/@39.8574066,-84.2775283,17z/data=!3m1!4b1!4m5!3m4!1s0x883f80196d000c97:0x713268753807426e!8m2!3d39.8574066!4d-84.2775283",
MOD Pizza,8985 Venice Blvd,LOS ANGELES,CA,90034-3344,4243459282.0,"https://www.google.com/maps/place/MOD+Pizza/@34.0272926,-118.3925557,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2b9808f4bb8dd:0xacea8b15875b6ac0!8m2!3d34.0272926!4d-118.3925557",
MOD Pizza,8896 Apollo Way,DOWNEY,CA,90242-4028,5622990344.0,"https://www.google.com/maps/place/MOD+Pizza/@33.9221339,-118.1315306,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2cd721f21479d:0x8857313f111d9fd4!8m2!3d33.9221339!4d-118.1315306",
MOD Pizza,873 Merrimon Ave,ASHEVILLE,NC,28804-2404,8287745406.0,"https://www.google.com/maps/place/MOD+Pizza/@35.6277673,-82.5522633,17z/data=!3m1!4b1!4m5!3m4!1s0x8859f4cf0ab3162b:0xaaab8e1a415b3fe6!8m2!3d35.6277673!4d-82.5522633",
MOD Pizza,8225 S Chester St,CENTENNIAL,CO,80112-3528,7202145360.0,"https://www.google.com/maps/place/MOD+Pizza/@39.5678779,-104.8805589,17z/data=!3m1!4b1!4m5!3m4!1s0x876c85b762a11ffb:0xd8882a20ac91a6e0!8m2!3d39.5678779!4d-104.8805589",
MOD Pizza,7916 NE 6th Ave,VANCOUVER,WA,98665-8107,3608285220.0,"https://www.google.com/maps/place/MOD+Pizza/@45.6796172,-122.6668975,17z/data=!3m1!4b1!4m5!3m4!1s0x5495ae8d22ef71e7:0xac51604920e14405!8m2!3d45.6796172!4d-122.6668975",
MOD Pizza,7480 W Bell Rd,GLENDALE,AZ,85308-8533,6024765575.0,"https://www.google.com/maps/place/MOD+Pizza/@33.6399578,-112.2196463,17z/data=!3m1!4b1!4m5!3m4!1s0x872b6837586a4f95:0xc72b26a8c7e3cf26!8m2!3d33.6399578!4d-112.2196463",
MOD Pizza,6777 Woodlands Pkwy,THE WOODLANDS,TX,77382-2786,2817190148.0,"https://www.google.com/maps/place/MOD+Pizza/@30.1797466,-95.5381589,17z/data=!3m1!4b1!4m5!3m4!1s0x864731b5273cbfd1:0xba5200b7c3e1de1!8m2!3d30.1797466!4d-95.5381589",
