Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Monicals Pizza,500 W Ottawa Rd,PAXTON,IL,60957-1628,2173794835.0,"https://www.google.com/maps/place/Monical's+Pizza/@40.454954,-88.107103,17z/data=!3m1!4b1!4m5!3m4!1s0x880d1cb4de007f71:0xd39b98ef9f7d2eb7!8m2!3d40.454954!4d-88.107103",
Monicals Pizza,3542 N Vermilion St,DANVILLE,IL,61832-1338,2174463111.0,"https://www.google.com/maps/place/Monical's+Pizza/@40.179569,-87.6303329,17z/data=!3m1!4b1!4m5!3m4!1s0x880d5bc50dddcfdd:0xe13f06e6a033e626!8m2!3d40.179569!4d-87.6303329",
Monicals Pizza,402 S Hamilton St,SULLIVAN,IL,61951-1972,2177282373.0,"https://www.google.com/maps/place/Monical's+Pizza/@39.59587,-88.608993,17z/data=!3m1!4b1!4m5!3m4!1s0x887368f15d7e702f:0x2555c534a796a8c8!8m2!3d39.59587!4d-88.608993",
Monicals Pizza,1900 W Main St,SHELBYVILLE,IL,62565-9520,2177744100.0,"https://www.google.com/maps/place/Monical's+Pizza/@39.405248,-88.815591,17z/data=!3m1!4b1!4m5!3m4!1s0x887482257413ac15:0x42bc5dc0be168777!8m2!3d39.405248!4d-88.815591",
Monicals Pizza,314 E 1st St,GIBSON CITY,IL,60936-1802,2177844623.0,"https://www.google.com/maps/place/Monical's+Pizza/@40.457316,-88.371141,17z/data=!3m1!4b1!4m5!3m4!1s0x880cee2894e36839:0x1631894c19609ab5!8m2!3d40.457316!4d-88.371141",
Monicals Pizza,4333 N Prospect Dr,DECATUR,IL,62526-6111,2178757340.0,"https://www.google.com/maps/place/Monical's+Pizza/@39.9021231,-88.9545423,17z/data=!3m1!4b1!4m5!3m4!1s0x8874b21bb1ca7667:0xfed74e1edbe5ad04!8m2!3d39.9021231!4d-88.9545423",
Monicals Pizza,402 N 7th St,KENTLAND,IN,47951-1148,2194749330.0,"https://www.google.com/maps/place/Monical's+Pizza+of+Kentland/@40.7719192,-87.4385681,17z/data=!3m1!4b1!4m5!3m4!1s0x8812709f1b6fca4b:0x68fa0376a9dc6150!8m2!3d40.7719192!4d-87.4385681",
Monicals Pizza,322 S Plaza Park,CHILLICOTHE,IL,61523-2214,3092746721.0,"https://www.google.com/maps/place/Monical's+Pizza/@40.9042845,-89.4947962,17z/data=!3m1!4b1!4m5!3m4!1s0x880a491402341579:0x8eccd195babe5630!8m2!3d40.9042845!4d-89.4947962",
Monicals Pizza,1067 W Jackson St,MORTON,IL,61550-1545,3092840709.0,"https://www.google.com/maps/place/Monical's+Pizza/@40.6207845,-89.470049,17z/data=!3m1!4b1!4m5!3m4!1s0x880aff4dd53fb933:0x11c7dd4d0b7b43ec!8m2!3d40.6207845!4d-89.470049",
Monicals Pizza,1219 S Main St,NORMAL,IL,61761-3439,3094547999.0,"https://www.google.com/maps/place/Monical's+Pizza/@40.49824,-88.994617,17z/data=!3m1!4b1!4m5!3m4!1s0x880b71a34c7eb36f:0x271e795576b94ab!8m2!3d40.49824!4d-88.994617",
