Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Mountain Mike's Pizza,2306 Almaden Rd,SAN JOSE,CA,95125-2138,4089790900.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@37.290365,-121.8803061,17z/data=!3m1!4b1!4m5!3m4!1s0x808e3373167a578b:0x45f37c1f4ad77218!8m2!3d37.290365!4d-121.8803061",
Mountain Mike's Pizza,550 S Cherokee Ln,LODI,CA,95240-4255,2093330173.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@38.1283472,-121.2615616,17z/data=!4m5!3m4!1s0x809a9ff9019e83e3:0xa8d2d230a69a1bf5!8m2!3d38.128343!4d-121.2593729?hl=en",
Mountain Mike's Pizza,2751 Shaffer Rd,ATWATER,CA,95301-2226,2093585000.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@37.361572,-120.596079,17z/data=!3m1!4b1!4m5!3m4!1s0x80916b12bcb79809:0xe54a6c4c1f9f0bd9!8m2!3d37.361572!4d-120.596079",
Mountain Mike's Pizza,151 W McKnight Way,GRASS VALLEY,CA,95945,5302729066.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@39.1990877,-121.0627104,17z/data=!3m1!4b1!4m5!3m4!1s0x809b71c9517bfbab:0xc6d48061ef416424!8m2!3d39.1990877!4d-121.0627104",
Mountain Mike's Pizza,2520 Bell Rd,AUBURN,CA,95603-2502,5308888050.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@38.9439658,-121.0915789,17z/data=!3m1!4b1!4m5!3m4!1s0x809b1010694cc85d:0x58742d1e761ca97d!8m2!3d38.9439658!4d-121.0915789",
Mountain Mike's Pizza,2640 E Barnett Rd,MEDFORD,OR,97504-4301,5417794599.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@42.314935,-122.833926,17z/data=!3m1!4b1!4m5!3m4!1s0x54cf7a76a76d3a3b:0x28ac76c7d989e3f0!8m2!3d42.314935!4d-122.833926",
Mountain Mike's Pizza,1451 Southwest Blvd,ROHNERT PARK,CA,94928-5546,7077954433.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@38.4222391,-122.8888199,11z/data=!4m8!1m2!2m1!1sMountain+Mike's+Pizza+1051+Vine+St+HEALDSBURG+CA+95448-4829!3m4!1s0x80844a5a18d55a6f:0x540add0968fe9cab!8m2!3d38.3384907!4d-122.6867491?hl=en",
Mountain Mike's Pizza,2150 Marina Blvd,SAN LEANDRO,CA,94577-3210,5103525954.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@37.7048861,-122.1794567,17z/data=!3m1!4b1!4m5!3m4!1s0x808f85599d63768b:0x6adafcb7cd06c590!8m2!3d37.7048861!4d-122.1794567",
Mountain Mike's Pizza,699 Lewelling Blvd,SAN LEANDRO,CA,94579-1848,5103511100.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@37.6895825,-122.1399352,17z/data=!3m1!5s0x808f903657ad5f5b:0x7edf0a3ae47bcc85!4m5!3m4!1s0x808f9036213a9713:0xe6bea9ee540ed72c!8m2!3d37.6895783!4d-122.1377465?hl=en",
Mountain Mike's Pizza,130 Hartz Ave,DANVILLE,CA,94526-3315,9255527071.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@37.824089,-122.002119,17z/data=!3m1!4b1!4m5!3m4!1s0x808f8b57c7acb36d:0xf12b3e25f208cfe7!8m2!3d37.824089!4d-122.002119",
Mountain Mike's Pizza,5358 Clayton Rd,CONCORD,CA,94521-3205,9256894965.0,"https://www.google.com/maps/place/Mountain+Mike's+Pizza/@37.952507,-121.959907,17z/data=!3m1!4b1!4m5!3m4!1s0x80855e4d744be759:0x8a0108d1d0e3cb97!8m2!3d37.952507!4d-121.959907",
