Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Old Chicago Pizza & Taproom,802 Gervais St,COLUMBIA,SC,29201-3126,8032523100.0,"https://www.google.com/maps/place/Old+Chicago/@33.999229,-81.039606,17z/data=!3m1!4b1!4m5!3m4!1s0x88f8bb2dd1a5f8e7:0x3f8112838a71bf6f!8m2!3d33.999229!4d-81.039606",
Old Chicago Pizza & Taproom,2815 Wilma Rudolph Blvd,CLARKSVILLE,TN,37040-5002,9312453300.0,"https://www.google.com/maps/place/Old+Chicago/@36.588791,-87.292499,17z/data=!3m1!4b1!4m5!3m4!1s0x886520afef7a86cd:0xaad630ad2de813fb!8m2!3d36.588791!4d-87.292499",
Old Chicago Pizza & Taproom,1835 Old Fort Pkwy,MURFREESBORO,TN,37129-3364,6152253200.0,"https://www.google.com/maps/place/Old+Chicago/@35.8955388,-86.9045983,10z/data=!4m8!1m2!2m1!1sOld+Chicago+Pizza+%26+Taproom+1835+Old+Fort+Pkwy+MURFREESBORO+TN+37129-3364!3m4!1s0x8863f7f3fa429f0d:0xeb8cb10c1ee73772!8m2!3d35.8452707!4d-86.4242366?hl=en",
Old Chicago Pizza & Taproom,250 Northgate Mall Dr,CHATTANOOGA,TN,37415-6906,4238773450.0,"https://www.google.com/maps/place/Old+Chicago/@35.130718,-85.240636,17z/data=!3m1!4b1!4m5!3m4!1s0x88608a85308f9197:0x21f1097b1165be37!8m2!3d35.130718!4d-85.240636",
Old Chicago Pizza & Taproom,10601 Fischer Park Dr,LOUISVILLE,KY,40241-4138,5026575700.0,"https://www.google.com/maps/place/Old+Chicago/@38.9700449,-86.4701003,9z/data=!4m8!1m2!2m1!1sOld+Chicago+Pizza+%26+Taproom+9010+Taylorsville+Rd+LOUISVILLE+KY+40299-1750!3m4!1s0x88699ef4ab54f701:0x230577d1d8230445!8m2!3d38.2957496!4d-85.5562771?hl=en",
Old Chicago Pizza & Taproom,15231 Trenton Rd,SOUTHGATE,MI,48195-3167,7342828111.0,"https://www.google.com/maps/place/Old+Chicago/@42.19764,-83.192638,17z/data=!3m1!4b1!4m5!3m4!1s0x883b3764258fb495:0x281359cca184dbe1!8m2!3d42.19764!4d-83.192638",
Old Chicago Pizza & Taproom,1924 Pavillon Way,LEXINGTON,KY,40509-2210,8599774640.0,"https://www.google.com/maps/place/Old+Chicago/@38.020409,-84.41603,17z/data=!3m1!4b1!4m5!3m4!1s0x88424fe75f50371d:0xbc18e3a41efcf60a!8m2!3d38.020409!4d-84.41603",
Old Chicago Pizza & Taproom,6550 E Lloyd Expy,EVANSVILLE,IN,47715-2724,8124011400.0,"https://www.google.com/maps/place/Old+Chicago/@37.97726,-87.472185,17z/data=!3m1!4b1!4m5!3m4!1s0x886e2b68cfc4c415:0x45a9cf9024175721!8m2!3d37.97726!4d-87.472185",
Old Chicago Pizza & Taproom,1938 W Grand River Ave,OKEMOS,MI,48864-1702,5173471111.0,"https://www.google.com/maps/place/Old+Chicago/@42.7208409,-84.4186992,17z/data=!3m1!4b1!4m5!3m4!1s0x8822dd5da020dd83:0x6e54df3d234f64c2!8m2!3d42.7208409!4d-84.4186992",
Old Chicago Pizza & Taproom,2495 S Oneida St,GREEN BAY,WI,54304-5201,9208841112.0,"https://www.google.com/maps/place/Old+Chicago/@44.4828312,-88.0690627,17z/data=!3m1!4b1!4m5!3m4!1s0x8802fbb8c4099585:0xc5b3d42532d571ed!8m2!3d44.4828312!4d-88.0690627",
