Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Peter Piper Pizza,10870 N Loop Dr,SOCORRO,TX,79927-4417,9157901200.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@31.649669,-106.266717,17z/data=!3m1!4b1!4m5!3m4!1s0x86e769e662628181:0xfad8f5c6ff44356b!8m2!3d31.649669!4d-106.266717",peter_piper_pizza,
Peter Piper Pizza,127 E Williams Field Rd,GILBERT,AZ,85295-5232,4809636139.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@33.305056,-111.787015,17z/data=!3m1!4b1!4m5!3m4!1s0x872bac69ccb78e2f:0x3dc8f2bc50339f09!8m2!3d33.305056!4d-111.787015",peter_piper_pizza,
Peter Piper Pizza,155 S Highway 92,SIERRA VISTA,AZ,85635-3639,5204581570.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@31.5526907,-110.2562044,17z/data=!3m1!4b1!4m5!3m4!1s0x86d72923b6ace883:0x3981a579710afab0!8m2!3d31.5526907!4d-110.2562044",peter_piper_pizza,
Peter Piper Pizza,1550 S Riordan Ranch St,FLAGSTAFF,AZ,86001-6372,9287795113.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@35.185027,-111.659228,17z/data=!3m1!4b1!4m5!3m4!1s0x872d8f63f99ad0bd:0xd4ec3e156147f26c!8m2!3d35.185027!4d-111.659228",peter_piper_pizza,
Peter Piper Pizza,1644 Central Blvd,BROWNSVILLE,TX,78520-8327,9565041111.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@25.927958,-97.510477,17z/data=!3m1!4b1!4m5!3m4!1s0x866f941089ed3fcf:0x43b11026afd6c2dd!8m2!3d25.927958!4d-97.510477",peter_piper_pizza,
Peter Piper Pizza,1805 E Baseline Rd,TEMPE,AZ,85283-1522,4803459700.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@33.377489,-111.908294,17z/data=!3m1!4b1!4m5!3m4!1s0x872b0632690e20a5:0x67dc3468408c2dd5!8m2!3d33.377489!4d-111.908294",peter_piper_pizza,
Peter Piper Pizza,245 E Bell Rd,PHOENIX,AZ,85022-6318,6028630977.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@33.6375351,-112.0716934,17z/data=!3m1!4b1!4m5!3m4!1s0x872b6e3f627ed277:0x93ecb551602581cc!8m2!3d33.6375351!4d-112.0716934",peter_piper_pizza,
Peter Piper Pizza,2601 N Main St,ROSWELL,NM,88201-6596,5756223474.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@33.425435,-104.522629,17z/data=!3m1!4b1!4m5!3m4!1s0x86e26eff66077ea7:0x7b488b9603891336!8m2!3d33.425435!4d-104.522629",peter_piper_pizza,
Peter Piper Pizza,3131 SE Military Dr,SAN ANTONIO,TX,78223-3813,2103379238.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@29.352324,-98.43964,17z/data=!3m1!4b1!4m5!3m4!1s0x865cf7761820270f:0x3abf9bec1620c257!8m2!3d29.352324!4d-98.43964",peter_piper_pizza,
Peter Piper Pizza,3717 S 12th Ave,TUCSON,AZ,85713-6003,5206241111.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@32.179583,-110.976932,17z/data=!3m1!4b1!4m5!3m4!1s0x86d670a0652c03f3:0xfe01e8842dfa7302!8m2!3d32.179583!4d-110.976932",peter_piper_pizza,
Peter Piper Pizza,4024 N 67th Ave,PHOENIX,AZ,85033-4028,6238468000.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@33.494128,-112.204508,17z/data=!3m1!4b1!4m5!3m4!1s0x872b153aa8f6c59d:0x9120ca2339d6612b!8m2!3d33.494128!4d-112.204508",peter_piper_pizza,
Peter Piper Pizza,4120 N Oracle Rd,TUCSON,AZ,85705-2722,5208885520.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@32.281725,-110.9776954,17z/data=!3m1!4b1!4m5!3m4!1s0x86d673ebd4c61b2f:0x7b702e9be753aada!8m2!3d32.281725!4d-110.9776954",peter_piper_pizza,
Peter Piper Pizza,6193 Saratoga Blvd,CORPUS CHRISTI,TX,78414-2470,3619939336.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@27.679007,-97.371815,17z/data=!3m1!4b1!4m5!3m4!1s0x8668f4356419288d:0x38340f99bc0e92a!8m2!3d27.679007!4d-97.371815",peter_piper_pizza,
Peter Piper Pizza,120 S New Rd,WACO,TX,76710-6985,2547511212.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@31.52172,-97.1679866,17z/data=!3m1!4b1!4m5!3m4!1s0x864f83fa0a98c133:0x4948be26fb784898!8m2!3d31.52172!4d-97.1679866",peter_piper_pizza,
Peter Piper Pizza,5230 E Paisano Dr,EL PASO,TX,79905-3914,9157783777.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@31.768092,-106.428243,17z/data=!3m1!4b1!4m5!3m4!1s0x86e75bce16e334b1:0xb3b6fa05a09bcafc!8m2!3d31.768092!4d-106.428243",peter_piper_pizza,
Peter Piper Pizza,6821 W Peoria Ave,PEORIA,AZ,85345-9324,6237768320.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@33.580558,-112.206319,17z/data=!3m1!4b1!4m5!3m4!1s0x872b6a251eeb6d09:0xc29e8d1922637652!8m2!3d33.580558!4d-112.206319",peter_piper_pizza,
Peter Piper Pizza,700 N Zaragoza Rd,EL PASO,TX,79907-4735,9158580941.0,"https://www.google.com/maps/place/Peter+Piper+Pizza/@31.70349,-106.318207,17z/data=!3m1!4b1!4m5!3m4!1s0x86e742dfae63b183:0x233cf7572adde778!8m2!3d31.70349!4d-106.318207",peter_piper_pizza,
