Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Pie Five Pizza,5927 Greenville Ave,DALLAS,TX,75206-1906,2145267443.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@32.8577578,-96.7688572,17z/data=!3m1!4b1!4m5!3m4!1s0x864e9f98c3236737:0x7c53edb10ca3091!8m2!3d32.8577578!4d-96.7688572",pie_five_pizza,
Pie Five Pizza,2600 W 7th St,FORT WORTH,TX,76107-9301,8173327435.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@32.7515,-97.353608,17z/data=!3m1!4b1!4m5!3m4!1s0x864e73e0421855cf:0xc75d6c8c3f214b21!8m2!3d32.7515!4d-97.353608",pie_five_pizza,
Pie Five Pizza,6440 N MacArthur Blvd,IRVING,TX,75039-2844,4699414752.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@32.8968556,-96.9580937,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2831fc3edb5d:0x44a4696ec79fcf5c!8m2!3d32.8968556!4d-96.9580937",pie_five_pizza,
Pie Five Pizza,13366 Metcalf Ave,OVERLAND PARK,KS,66213-2804,9138977435.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@38.8858302,-94.6705237,17z/data=!4m5!3m4!1s0x87c0c1dd1fc89217:0x8b124c216ec9a6e6!8m2!3d38.885826!4d-94.668335?hl=en",pie_five_pizza,
Pie Five Pizza,3000 Texas Sage Trl,FORT WORTH,TX,76177-8589,8177417435.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@32.911982,-97.312582,17z/data=!3m1!4b1!4m5!3m4!1s0x864dd90176a8c17f:0xbc532eba285999a0!8m2!3d32.911982!4d-97.312582",pie_five_pizza,
Pie Five Pizza,12154 W 95th St,LENEXA,KS,66215-3805,9134959509.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@38.957246,-94.7267346,17z/data=!3m1!4b1!4m5!3m4!1s0x87c0eb4ac4984f41:0xcd2d4c1665f97e4c!8m2!3d38.957246!4d-94.7267346",pie_five_pizza,
Pie Five Pizza,10995 Owings Mills Blvd,OWINGS MILLS,MD,21117-1010,4105817998.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@39.4263052,-76.7816036,17z/data=!4m5!3m4!1s0x89c8170084863afd:0x39112e78fdd1cd7a!8m2!3d39.4263011!4d-76.7794149?hl=en",pie_five_pizza,
Pie Five Pizza,401 Cool Springs Blvd,FRANKLIN,TN,37067-2684,6152369120.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@35.9460988,-86.8298643,17z/data=!4m5!3m4!1s0x88647eb16adfc2fd:0xeb9ab1b62e8a8063!8m2!3d35.9460945!4d-86.8276756?hl=en",pie_five_pizza,
Pie Five Pizza,2266 Lebanon Pike,NASHVILLE,TN,37214-2423,6154571051.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@36.1692446,-86.6872094,17z/data=!4m5!3m4!1s0x8864690bf4c0de21:0x69f9596f5c987898!8m2!3d36.1692403!4d-86.6850207?hl=en",pie_five_pizza,
Pie Five Pizza,1129 SW Wanamaker Rd,TOPEKA,KS,66604-3808,7852737435.0,"https://www.google.com/maps/place/Pie+Five+Pizza/@39.0469589,-95.7622054,17z/data=!3m1!4b1!4m5!3m4!1s0x87befd058e08de9b:0x3950fc6b77f58d4f!8m2!3d39.0469589!4d-95.7622054",pie_five_pizza,
