Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
PIEOLOGY PIZZERIA,100 Citadel Dr,LOS ANGELES,CA,90040,,"https://www.google.com/maps/place/Pieology+Pizzeria,+Citadel+Outlets/@34.005646,-118.152907,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2ce538106d65d:0xcac18ecea0f00a93!8m2!3d34.005646!4d-118.152907",pieology_pizzeria,
PIEOLOGY PIZZERIA,1071 E 19th St,UPLAND,CA,91784,9099818838.0,"https://www.google.com/maps/place/Pieology+Pizzeria+Upland,+CA/@34.1320894,-117.6362621,17z/data=!3m1!4b1!4m5!3m4!1s0x80c336d67e66f645:0x78da6565eec26333!8m2!3d34.1320894!4d-117.6362621",pieology_pizzeria,
PIEOLOGY PIZZERIA,1147 Broadway St,DENVER,CO,80203,7203282271.0,"https://www.google.com/maps/place/Pieology+Downtown+Denver/@39.734927,-104.987821,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7f2a51c618ff:0xff9ae9ed709a0a55!8m2!3d39.734927!4d-104.987821",pieology_pizzeria,
PIEOLOGY PIZZERIA,1201 Barbara Jordan Blvd,AUSTIN,TX,78723,7372226652.0,"https://www.google.com/maps/place/Pieology+Pizzeria,+Austin,+TX/@30.3063575,-97.709001,17z/data=!3m1!4b1!4m5!3m4!1s0x8644ca0601ce9c1d:0x376dc361519293d3!8m2!3d30.3063575!4d-97.709001",pieology_pizzeria,
PIEOLOGY PIZZERIA,12130 SE 82nd Ave,HAPPY VALLEY,OR,97086,5033034486.0,"https://www.google.com/maps/place/Pieology+Pizzeria+Clackamas+Town+Center/@45.4342789,-122.5723567,17z/data=!3m1!4b1!4m5!3m4!1s0x54957577ac29bef1:0xda8926803731c446!8m2!3d45.4342789!4d-122.5723567",pieology_pizzeria,
PIEOLOGY PIZZERIA,122 S County Center Way,ST LOUIS,MO,63129,3144161413.0,"https://www.google.com/maps/place/Pieology+Pizzeria,+South+County/@38.5040581,-90.3291986,17z/data=!3m1!4b1!4m5!3m4!1s0x87d8c867befb3af7:0x9b39ea5cb1ae187c!8m2!3d38.5040581!4d-90.3291986",pieology_pizzeria,
PIEOLOGY PIZZERIA,12259 La Mirada Blvd,LA MIRADA,CA,90638,5629413000.0,"https://www.google.com/maps/place/Pieology+Pizzeria+La+Mirada,+CA/@33.9185736,-118.0123851,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2b5368ad0cd5:0x32142f8e0235996e!8m2!3d33.9185736!4d-118.0123851",pieology_pizzeria,
PIEOLOGY PIZZERIA,128 W McMillan St,CINCINNATI,OH,45219,5132211300.0,"https://www.google.com/maps/place/Pieology+Pizzeria+U+Square,+Cincinnati,+OH/@39.1278797,-84.5169487,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b3f49cd5ab99:0xb5a4544c95c3dd92!8m2!3d39.1278797!4d-84.5169487",pieology_pizzeria,
PIEOLOGY PIZZERIA,12848 Day St,MORENO VALLEY,CA,92553,,"https://www.google.com/maps/place/Pieology+Pizzeria,+Moreno+Valley/@33.9339105,-117.2784383,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcaf57e5887659:0x9dec87719d7c6425!8m2!3d33.9339105!4d-117.2784383",pieology_pizzeria,
PIEOLOGY PIZZERIA,1334 West Valley Parkway Dr,ESCONDIDO,CA,92029,7604899889.0,"https://www.google.com/maps/place/Pieology+Pizzeria+Escondido,+CA/@33.113478,-117.1022199,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf48d46653671:0xa8994d00604d42f7!8m2!3d33.113478!4d-117.1022199",pieology_pizzeria,
PIEOLOGY PIZZERIA,13394 Limonite Ave,EASTVALE,CA,92880,9514446737.0,"https://www.google.com/maps/place/Pieology+Pizzeria/@33.9758992,-117.575453,17z/data=!3m1!4b1!4m5!3m4!1s0x80dccbefff608d91:0x68dcd0114e128fc6!8m2!3d33.9758992!4d-117.575453",pieology_pizzeria,
PIEOLOGY PIZZERIA,1630 Gateway Blvd,FAIRFIELD,CA,94533,7074271169.0,"https://www.google.com/maps/place/Pieology+Pizzeria+Gateway+Courtyard/@38.259629,-122.0588055,17z/data=!3m1!4b1!4m5!3m4!1s0x80851421a4ce65c3:0x53b4ee59141c1b08!8m2!3d38.259629!4d-122.0588055",pieology_pizzeria,
PIEOLOGY PIZZERIA,19953 Rinaldi St,LOS ANGELES,CA,91326,8183630182.0,"https://www.google.com/maps/place/Pieology+Pizzeria+Porter+Ranch,+Los+Angeles/@34.2759855,-118.5695853,17z/data=!3m1!4b1!4m5!3m4!1s0x80c284ad9584c6fb:0x9b4963a41bf7e4c2!8m2!3d34.2759855!4d-118.5695853",pieology_pizzeria,
PIEOLOGY PIZZERIA,2051 Rancho Valley Dr,POMONA,CA,91766,9096296800.0,"https://www.google.com/maps/place/Pieology+Pizzeria,+Pomona,+CA/@34.0343175,-117.7584611,17z/data=!3m1!4b1!4m5!3m4!1s0x80c32d978512be51:0xca478136d6522fc8!8m2!3d34.0343175!4d-117.7584611",pieology_pizzeria,
PIEOLOGY PIZZERIA,2092 N Bellflower Blvd,LONG BEACH,CA,90815,5624305890.0,"https://www.google.com/maps/place/Pieology+Pizzeria/@33.7944636,-118.1249981,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd31e8b3062af9:0xe18886b3afafd01a!8m2!3d33.7944636!4d-118.1249981",pieology_pizzeria,
PIEOLOGY PIZZERIA,230 Tresser Blvd,STAMFORD,CT,6901,2033887669.0,"https://www.google.com/maps/place/Pieology+Pizzeria,+Stamford/@41.0517258,-73.5365058,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2a1e76f54af51:0xced13ff88d07d981!8m2!3d41.0517258!4d-73.5365058",pieology_pizzeria,
PIEOLOGY PIZZERIA,2347 California Ave,CORONA,CA,92881,9512729508.0,"https://www.google.com/maps/place/Pieology+Pizzeria+Corona,+CA/@33.865947,-117.5461966,14z/data=!4m8!1m2!2m1!1sPIEOLOGY+PIZZERIA+2347+California+Ave+CORONA+CA+92881!3m4!1s0x80dcb86e2149c827:0x9c4dcd795217d7af!8m2!3d33.843703!4d-117.537502?hl=en",pieology_pizzeria,
PIEOLOGY PIZZERIA,2405 Iron Point Rd,FOLSOM,CA,95630,9169844194.0,"https://www.google.com/maps/place/Pieology+Pizzeria,+Folsom/@38.6451148,-121.1219409,17z/data=!3m1!4b1!4m5!3m4!1s0x809ae5090464a43f:0xbfaaadeecb8ed69a!8m2!3d38.6451148!4d-121.1219409",pieology_pizzeria,
PIEOLOGY PIZZERIA,250 Cochrane Plz,MORGAN HILL,CA,95037,4087827088.0,"https://www.google.com/maps/place/Pieology+Pizzeria/@37.1510164,-121.6547937,17z/data=!3m1!4b1!4m5!3m4!1s0x808e20c8e509b2f9:0xf84519b0346a3d42!8m2!3d37.1510164!4d-121.6547937",pieology_pizzeria,
