Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Pizza Guys,914 W Lodi Ave,LODI,CA,95240-3303,2093686666.0,"https://www.google.com/maps/place/Pizza+Guys/@38.1298004,-121.2848631,17z/data=!3m1!4b1!4m5!3m4!1s0x809aa014c5620505:0xce3c1f72a300c9!8m2!3d38.1298004!4d-121.2848631",
Pizza Guys,1735 Prescott Rd,MODESTO,CA,95350-2543,2095258888.0,"https://www.google.com/maps/place/Pizza+Guys/@37.6707668,-121.0321063,17z/data=!3m1!4b1!4m5!3m4!1s0x8090510adca2f7e1:0xcd2c0950837293e7!8m2!3d37.6707668!4d-121.0321063",
Pizza Guys,2800 G St,MERCED,CA,95340-2105,2097268888.0,"https://www.google.com/maps/place/Pizza+Guys/@37.3102803,-120.4683807,17z/data=!3m1!4b1!4m5!3m4!1s0x809143a7e9badfdb:0x5ec12a3d1386da48!8m2!3d37.3102803!4d-120.4683807",
Pizza Guys,3007 N Tracy Blvd,TRACY,CA,95376-7769,2098391111.0,"https://www.google.com/maps/place/Pizza+Guys/@37.7598668,-121.4356968,17z/data=!3m1!4b1!4m5!3m4!1s0x80903d574619e8e5:0x500d84fde9a5344!8m2!3d37.7598668!4d-121.4356968",
Pizza Guys,64 NE Division St,GRESHAM,OR,97030-3902,5034652929.0,"https://www.google.com/maps/place/Pizza+Guys/@45.504241,-122.4302758,17z/data=!3m1!4b1!4m5!3m4!1s0x5495988a6795c8a1:0x28483c8ed0e2a84c!8m2!3d45.504241!4d-122.4302758",
Pizza Guys,501 San Pablo Towne Ctr,SAN PABLO,CA,94608,5102155555.0,"https://www.google.com/maps/place/Pizza+Guys/@37.9560056,-122.3325808,17z/data=!3m1!4b1!4m5!3m4!1s0x8085778b0c16ab9b:0xd26dc61aa5830f24!8m2!3d37.9560056!4d-122.3325808",
Pizza Guys,4370 Golden Center Dr,PLACERVILLE,CA,95667-6281,5306268888.0,"https://www.google.com/maps/place/Pizza+Guys/@38.705076,-120.8274596,17z/data=!3m1!4b1!4m5!3m4!1s0x809a59dffac43027:0x9cd551ae34ddb21a!8m2!3d38.705076!4d-120.8274596",
Pizza Guys,505 L St,DAVIS,CA,95616-3937,5307588888.0,"https://www.google.com/maps/place/Pizza+Guys/@38.5486974,-121.7349762,17z/data=!3m1!4b1!4m5!3m4!1s0x808529765ab3dc4f:0x2f1631799045b6b5!8m2!3d38.5486974!4d-121.7349762",
Pizza Guys,2471 Cohasset Rd,CHICO,CA,95926-1315,5308948888.0,"https://www.google.com/maps/place/Pizza+Guys/@39.7602852,-121.8436594,17z/data=!3m1!4b1!4m5!3m4!1s0x8082d8774acf3e53:0x9cacdb67cef2accb!8m2!3d39.7602852!4d-121.8436594",
Pizza Guys,1998 Homestead Rd,SANTA CLARA,CA,95050-6963,6692131111.0,"https://www.google.com/maps/place/Pizza+Guys/@37.3435022,-121.9591675,17z/data=!3m1!4b1!4m5!3m4!1s0x808fca5a094db8a1:0x1ff67212a842377c!8m2!3d37.3435022!4d-121.9591675",
Pizza Guys,3000 Jefferson St,NAPA,CA,94558-4922,7072515555.0,"https://www.google.com/maps/place/Pizza+Guys/@38.3158516,-122.2976257,17z/data=!3m1!4b1!4m5!3m4!1s0x808506ef0c530c47:0xd13afdf67e900cbf!8m2!3d38.3158516!4d-122.2976257",
Pizza Guys,1776 Piner Rd,SANTA ROSA,CA,95403-7401,7075918888.0,"https://www.google.com/maps/place/Pizza+Guys/@38.4685342,-122.7441745,17z/data=!3m1!4b1!4m5!3m4!1s0x808438f5b1acf745:0x7649862997419b00!8m2!3d38.4685342!4d-122.7441745",
Pizza Guys,701 Sonoma Mountain Pkwy,PETALUMA,CA,94954-8519,7077782222.0,"https://www.google.com/maps/place/Pizza+Guys/@38.269131,-122.6386642,17z/data=!3m1!4b1!4m5!3m4!1s0x8085b46352893959:0x8964a3627189aa23!8m2!3d38.269131!4d-122.6386642",
Pizza Guys,6500 Hembree Ln,WINDSOR,CA,95492-6883,7078369999.0,"https://www.google.com/maps/place/Pizza+Guys/@38.5270063,-122.7886409,17z/data=!3m1!4b1!4m5!3m4!1s0x80843ef4b5f4ee5b:0xd8271d47d75ca029!8m2!3d38.5270063!4d-122.7886409",
