Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Pizza Plus,744 N Beaver Dam Ave,DAMASCUS,VA,24236,2764759053.0,"https://www.google.com/maps/place/Pizza+Plus/@36.6414301,-81.7998175,17z/data=!3m1!4b1!4m5!3m4!1s0x885040dbab4ac49d:0xce034f065c3e3f6a!8m2!3d36.6414301!4d-81.7998175",pizza_plus,
Pizza Plus,12235 Grapefield Rd,BASTIAN,VA,24314-4598,2766883332.0,"https://www.google.com/maps/place/Pizza+Plus/@37.1775999,-81.1446889,17z/data=!3m1!4b1!4m5!3m4!1s0x884e17ccc41cb421:0x37de9a6e530b7f33!8m2!3d37.1775999!4d-81.1446889",pizza_plus,
Pizza Plus,106 Grayson Ave,INDEPENDENCE,VA,24348-3848,2767732377.0,"https://www.google.com/maps/place/Pizza+Plus/@36.6212543,-81.1451722,17z/data=!4m5!3m4!1s0x8851954aebf16497:0x72ad14a787327d31!8m2!3d36.62125!4d-81.1429835?hl=en",pizza_plus,
Pizza Plus,14480 W Andrew Johnson Hwy,BULLS GAP,TN,37711-2528,4232359200.0,"https://www.google.com/maps/place/Pizza+Plus/@36.2282281,-83.0543805,17z/data=!3m1!4b1!4m5!3m4!1s0x885bb02523455b9b:0x6e08cd0173a66a64!8m2!3d36.2282281!4d-83.0543805",pizza_plus,
Pizza Plus,3934 Highway 66 S,ROGERSVILLE,TN,37857-3112,4232727171.0,"https://www.google.com/maps/place/Pizza+Plus/@36.3936289,-83.0106826,17z/data=!3m1!4b1!4m5!3m4!1s0x885ba9e8a2d6507f:0xbaec50ec8766d73f!8m2!3d36.3936289!4d-83.0106826",pizza_plus,
Pizza Plus,4735 TN-36,JOHNSON CITY,TN,37615,4232823080.0,"https://www.google.com/maps/place/Pizza+Plus/@36.3920044,-82.4117761,17z/data=!3m1!4b1!4m5!3m4!1s0x885a8840384635e3:0x386cef2e215f46a9!8m2!3d36.3920044!4d-82.4117761",pizza_plus,
Pizza Plus,3270 TN-126,BLOUNTVILLE,TN,37617,4233235555.0,"https://www.google.com/maps/place/Pizza+Plus/@36.534,-82.3207,17z/data=!3m1!4b1!4m5!3m4!1s0x885a84b4d81146a9:0xf94d7c8fc4d1ce23!8m2!3d36.534!4d-82.3207",pizza_plus,
Pizza Plus,6305 W Andrew Johnson Hwy,MOSHEIM,TN,37743,4236390400.0,"https://www.google.com/maps/place/Pizza+Plus/@36.1809825,-82.9278084,17z/data=!3m1!4b1!4m5!3m4!1s0x885bb321b55afc19:0x6883b8cddad2a46d!8m2!3d36.1809825!4d-82.9278084",pizza_plus,
Pizza Plus,1637 S Shady St,MOUNTAIN CITY,TN,37683-2015,4237278477.0,"https://www.google.com/maps/place/Pizza+Plus/@36.4559,-81.7986,17z/data=!3m1!4b1!4m5!3m4!1s0x88505c60399384bb:0x1a2b4d4d25bd52d0!8m2!3d36.4559!4d-81.7986",pizza_plus,
Pizza Plus,1602 Jackson Love Hwy,ERWIN,TN,37650-9230,4237437121.0,"https://www.google.com/maps/place/Pizza+Plus/@36.1272441,-82.4295422,17z/data=!3m1!4b1!4m5!3m4!1s0x885a6e617fa10c8d:0xe5e9225b5bcccf0!8m2!3d36.1272441!4d-82.4295422",pizza_plus,
Pizza Plus,211 Headtown Rd,JONESBOROUGH,TN,37659-4735,4237883522.0,"https://www.google.com/maps/place/Pizza+Plus/@36.306759,-82.4485741,17z/data=!3m1!4b1!4m5!3m4!1s0x885a63bc4a0afcdb:0xea9763df30b4b66!8m2!3d36.306759!4d-82.4485741",pizza_plus,
Pizza Plus,158 Virginia Ave,RICH CREEK,VA,24147,5407263100.0,"https://www.google.com/maps/place/Pizza+Plus/@37.384162,-80.8240949,17z/data=!3m1!4b1!4m5!3m4!1s0x884e761726abb28b:0xad95c2ddd4849ad!8m2!3d37.384162!4d-80.8240949",pizza_plus,
Pizza Plus,3605 Andersonville Hwy,ANDERSONVILLE,TN,37705-3825,8654989889.0,"https://www.google.com/maps/place/Pizza+Plus/@36.1969431,-84.041892,17z/data=!3m1!4b1!4m5!3m4!1s0x885c469eb7d79897:0x36f82371c0d6223f!8m2!3d36.1969431!4d-84.041892",pizza_plus,
Pizza Plus,507 N Main St,PEARISBURG,VA,24134-1526,5409213100.0,"https://www.google.com/maps/place/Pizza+Plus/@37.3308447,-80.7395541,17z/data=!3m1!4b1!4m5!3m4!1s0x884dde9237764e3b:0xd3017875f9f20cac!8m2!3d37.3308447!4d-80.7395541",pizza_plus,
Pizza Plus,597 Kane St,GATE CITY,VA,24251,2763866991.0,"https://www.google.com/maps/place/Pizza+Plus/@36.6385757,-82.5756863,17z/data=!3m1!4b1!4m5!3m4!1s0x885aeb58284e76e1:0xd7aaaf09e4eec783!8m2!3d36.6385757!4d-82.5756863",pizza_plus,
Pizza Plus,248 W Main St,SALTVILLE,VA,24370-3122,2764965100.0,"https://www.google.com/maps/place/Pizza+Plus/@36.8769524,-81.7679371,17z/data=!3m1!4b1!4m5!3m4!1s0x885023621ea0cd5d:0x736064009484b435!8m2!3d36.8769524!4d-81.7679371",pizza_plus,
Pizza Plus,2705 Lee Hwy,BRISTOL,VA,24202-5874,2766695506.0,"https://www.google.com/maps/place/Pizza+Plus/@36.6310212,-82.1370508,17z/data=!3m1!4b1!4m5!3m4!1s0x8850746d5e7ecfb1:0x79083e43bca054b1!8m2!3d36.6310212!4d-82.1370508",pizza_plus,
Pizza Plus,645 E Riverside Dr,NORTH TAZEWELL,VA,24630-9577,2769799797.0,"https://www.google.com/maps/place/Pizza+Plus/@37.133939,-81.4953699,17z/data=!3m1!4b1!4m5!3m4!1s0x884e2d3da3a91429:0xa52b0635b2f6b621!8m2!3d37.133939!4d-81.4953699",pizza_plus,
Pizza Plus,2492 TN-75,BLOUNTVILLE,TN,37617,4232122600.0,"https://www.google.com/maps/place/Pizza+Plus,+Airport+Parkway/@36.4823624,-82.4113025,17z/data=!3m1!4b1!4m5!3m4!1s0x885a8f134f41c1cb:0x6fc4061183117798!8m2!3d36.4823624!4d-82.4113025",pizza_plus,
Pizza Plus,6309 Carters Valley Rd,CHURCH HILL,TN,37642,4232452400.0,"https://www.google.com/maps/place/Pizza+Plus/@36.5873772,-82.6447693,17z/data=!3m1!4b1!4m5!3m4!1s0x885aedd76277273b:0xf312298851dc0407!8m2!3d36.5873772!4d-82.6447693",pizza_plus,
Pizza Plus,2703 Bloomingdale Rd,KINGSPORT,TN,37660-1854,4232888808.0,"https://www.google.com/maps/place/Pizza+Plus/@36.5806873,-82.4979416,17z/data=!3m1!4b1!4m5!3m4!1s0x885a924833ee0f97:0xd445e00bc9527618!8m2!3d36.5806873!4d-82.4979416",pizza_plus,
Pizza Plus,3400 Highway 11W,SURGOINSVILLE,TN,37873,4233454040.0,"https://www.google.com/maps/place/Pizza+Plus/@36.485038,-82.847891,17z/data=!3m1!4b1!4m5!3m4!1s0x885afc26cd1fcb25:0xb03391bb2ce55f2c!8m2!3d36.485038!4d-82.847891",pizza_plus,
Pizza Plus,2002 Old Parrottsville Hwy,PARROTTSVILLE,TN,37843-2595,4236234343.0,"https://www.google.com/maps/place/Pizza+Plus/@36.010199,-83.0968205,17z/data=!4m5!3m4!1s0x885bc84d649fe5b7:0x69631ba739ddfc17!8m2!3d36.0101947!4d-83.0946318?hl=en",pizza_plus,
Pizza Plus,1462 Main St,SNEEDVILLE,TN,37869-3648,4237338500.0,"https://www.google.com/maps/place/Pizza+Plus/@36.5309984,-83.2152611,17z/data=!3m1!4b1!4m5!3m4!1s0x885b0cf111d39bf9:0xe10e511693f7e3e2!8m2!3d36.5309984!4d-83.2152611",pizza_plus,
Pizza Plus,Highway 25 East State St,WHITE PINE,TN,37890-3322,8656747900.0,"https://www.google.com/maps/place/Pizza+Plus/@36.1117004,-83.2845692,17z/data=!3m1!4b1!4m5!3m4!1s0x885b9505b867c783:0xb46502d8b286854!8m2!3d36.1117004!4d-83.2845692",pizza_plus,
Pizza Plus,210 Andrew Johnson Hwy,KNOXVILLE,TN,37924-4913,8659334001.0,"https://www.google.com/maps/place/Pizza+Plus/@36.0279653,-83.732397,17z/data=!3m1!4b1!4m5!3m4!1s0x885c0dc5cef009b1:0x479bc6331d89f382!8m2!3d36.0279653!4d-83.732397",pizza_plus,
Pizza Plus,29 Finney St,LEBANON,VA,24266,2768895501.0,"https://www.google.com/maps/place/Pizza+Plus/@36.9012909,-82.0826492,17z/data=!3m1!4b1!4m5!3m4!1s0x8850051d1ccb342b:0xf6d77fdd4894b61b!8m2!3d36.9012909!4d-82.0826492",pizza_plus,
Pizza Plus,6912 Duffield Pattonsville Rd,DUFFIELD,VA,24244,2764311515.0,"https://www.google.com/maps/place/Pizza+Plus/@36.7103936,-82.8014439,17z/data=!3m1!4b1!4m5!3m4!1s0x885ae7204ee1043f:0xe263b5dc80b6734b!8m2!3d36.7103936!4d-82.8014439",pizza_plus,
Pizza Plus,5130 Memorial Blvd,KINGSPORT,TN,37664,4232887724.0,"https://www.google.com/maps/place/Pizza+Plus/@36.5498887,-82.4464803,17z/data=!3m1!4b1!4m5!3m4!1s0x885a91dbbed53d49:0xe649104e4f2d27f9!8m2!3d36.5498887!4d-82.4464803",pizza_plus,
Pizza Plus,State Route 80 South,HONAKER,VA,24260,2768734600.0,"https://www.google.com/maps/place/Pizza+Plus+Inc/@37.016613,-81.955542,17z/data=!3m1!4b1!4m5!3m4!1s0x88501df2b8d59267:0x520274b3ec82c54c!8m2!3d37.016613!4d-81.955542",pizza_plus,
Pizza Plus,Rt 1 Box 121,ROSE HILL,VA,24281,2764455701.0,"https://www.google.com/maps/place/Pizza+Plus/@36.4184965,-83.9069366,9z/data=!4m8!1m2!2m1!1sPizza+Plus+ROSE+HILL+VA!3m4!1s0x885b6ec5468b0835:0x2b8752e8c83e484c!8m2!3d36.6717539!4d-83.3674041?hl=en",pizza_plus,
Pizza Plus,606 E 5th St N,BIG STONE GAP,VA,24219-2402,2765230100.0,"https://www.google.com/maps/place/Pizza+Plus/@36.8721755,-82.7790959,17z/data=!3m1!4b1!4m5!3m4!1s0x885ada57cad4fe8d:0xfead4781b42e5b0c!8m2!3d36.8721755!4d-82.7790959",pizza_plus,
Pizza Plus,518 N Main St,RURAL RETREAT,VA,24368-3123,2766868686.0,"https://www.google.com/maps/place/Pizza+Plus/@36.9009975,-81.2735574,17z/data=!3m1!4b1!4m5!3m4!1s0x8851d967f8f9a669:0x627943c9038a38f7!8m2!3d36.9009975!4d-81.2735574",pizza_plus,
