Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Pizza Pro,100 Hill St,ALBANY,TX,76430,3257622766.0,"https://www.google.com/maps/place/Pizza+Pro/@32.730223,-99.2946799,17z/data=!4m5!3m4!1s0x8656a9e3a440d3c3:0x374731c87b97be0d!8m2!3d32.7302185!4d-99.2924912?hl=en",pizza_pro,
Pizza Pro,104 S Blair St,ADVANCE,MO,63730,5737226056.0,"https://www.google.com/maps/place/Pizza+Pro/@37.1047426,-89.906957,17z/data=!3m1!4b1!4m5!3m4!1s0x88780f3fe587064b:0x6ad1f3d5c4d18296!8m2!3d37.1047426!4d-89.906957",pizza_pro,
Pizza Pro,108 S 1st St,BANGS,TX,76823,3257526113.0,"https://www.google.com/maps/place/Bangs+Thrift+Mart/@31.7146255,-99.135105,17z/data=!4m5!3m4!1s0x8650cbb240f7f7a7:0xa8c2c370a45cbf8f!8m2!3d31.714621!4d-99.1329163?hl=en",pizza_pro,
Pizza Pro,109 Highway 10 E,OLA,AR,72853-8000,4794895310.0,"https://www.google.com/maps/place/Pizza+Pro/@35.0277867,-93.2225962,17z/data=!3m1!4b1!4m5!3m4!1s0x87ccfafb874b9197:0x46d2fc07281702ed!8m2!3d35.0277867!4d-93.2225962",pizza_pro,
Pizza Pro,120 E Highway 77,NEWBERN,TN,38059-1169,7316276186.0,"https://www.google.com/maps/place/Pizza+Pro/@36.1220905,-89.2622634,17z/data=!3m1!4b1!4m5!3m4!1s0x887939c9e4d676a5:0xbb1c82e14f42bd82!8m2!3d36.1220905!4d-89.2622634",pizza_pro,
Pizza Pro,1202 N Avenue E,HASKELL,TX,79521-3628,9408643976.0,"https://www.google.com/maps/place/Pizza+Pro/@33.1686111,-99.7327778,17z/data=!3m1!4b1!4m5!3m4!1s0x86544f65e48ac0d1:0xb7e20cff34877421!8m2!3d33.1686111!4d-99.7327778",pizza_pro,
Pizza Pro,1216 S Highway 65 82,LAKE VILLAGE,AR,71653-1664,8702653222.0,"https://www.google.com/maps/place/Pizza+Pro/@33.3408859,-91.3056202,14z/data=!4m8!1m2!2m1!1sPizza+Pro+1216+S+Highway+65+82+LAKE+VILLAGE+AR+71653-1664!3m4!1s0x862c0ecd986a2d8b:0x29f9ee37043d1d7d!8m2!3d33.3346514!4d-91.2787988?hl=en",pizza_pro,
Pizza Pro,1301 E 3rd St,HOPE,AR,71801-5725,8707775800.0,"https://www.google.com/maps/place/Pizza+Pro/@33.6676344,-93.57539,17z/data=!3m1!4b1!4m5!3m4!1s0x86339cb18d2a9f15:0xc98ede267bb04897!8m2!3d33.6676344!4d-93.57539",pizza_pro,
Pizza Pro,101 N Jackson Ave,EL DORADO,AR,71730-6121,8708630505.0,"https://www.google.com/maps/place/Pizza+Pro/@33.2883818,-92.7629337,12z/data=!4m8!1m2!2m1!1sPizza+Pro+3300+Junction+City+Hwy+EL+DORADO+AR+71730!3m4!1s0x86321a61a0e3869b:0x911b2f479347c784!8m2!3d33.2119721!4d-92.6609864?hl=en",pizza_pro,
Pizza Pro,104 S Dallas St,URBANA,MO,65767,4179930530.0,"https://www.google.com/maps/place/Pizza+Pro/@37.8417948,-93.1707513,17z/data=!3m1!4b1!4m5!3m4!1s0x87c5a951bc573095:0xade923a20d19880d!8m2!3d37.8417948!4d-93.1707513",pizza_pro,
Pizza Pro,107 Highway 70,HAZEN,AR,72064,8702553499.0,"https://www.google.com/maps/place/Pizza+Pro/@34.7799945,-91.5806483,17z/data=!3m1!4b1!4m5!3m4!1s0x87d33eb8d53f97c5:0x4c9acbc57fda9263!8m2!3d34.7799945!4d-91.5806483",pizza_pro,
Pizza Pro,10623 Highway 89 S,LONOKE,AR,72086-8333,5016763498.0,"https://www.google.com/maps/place/Pizza+Pro/@34.8331653,-91.979742,17z/data=!3m1!4b1!4m5!3m4!1s0x87d2dd4fa31c3247:0xf6dc37d1a4f19b79!8m2!3d34.8331653!4d-91.979742",pizza_pro,
Pizza Pro,1100 N Margaret Ave,KIRBYVILLE,TX,75956-1618,4094236700.0,"https://www.google.com/maps/place/Pizza+Pro/@30.6700585,-93.89305,17z/data=!3m1!4b1!4m5!3m4!1s0x86397abc66322899:0xffa0ba8b43417156!8m2!3d30.6700585!4d-93.89305",pizza_pro,
Pizza Pro,111 N Broadway St,MERTZON,TX,76941,3258357555.0,"https://www.google.com/maps/place/Pizza+Pro/@31.2565213,-100.817184,17z/data=!3m1!4b1!4m5!3m4!1s0x86f81ca14df51547:0x53426ea3ed238d45!8m2!3d31.2565213!4d-100.817184",pizza_pro,
Pizza Pro,1117 E Main St,STEELE,MO,63877,5736954549.0,"https://www.google.com/maps/place/Pizza+Pro/@36.0836306,-89.8287934,17z/data=!3m1!4b1!4m5!3m4!1s0x8878b07387be715f:0xac47546fa0fe9b9f!8m2!3d36.0836306!4d-89.8287934",pizza_pro,
