Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Rosatis Pizza,N81W15086 Appleton Ave,MENOMONEE FALLS,WI,53051-3839,2622503333.0,"https://www.google.com/maps/place/Rosati's+Pizza/@43.1659634,-88.097454,17z/data=!3m1!4b1!4m5!3m4!1s0x880502699e633957:0x7c8a2cd6fd377f5e!8m2!3d43.1659634!4d-88.097454",rosatis_pizza,
Rosatis Pizza,1720 Bradford Ln,NORMAL,IL,61761-5277,3098884949.0,"https://www.google.com/maps/place/Rosati's+Pizza/@40.5073453,-89.0051399,13z/data=!4m8!1m2!2m1!1sRosatis+Pizza+1720+Bradford+Ln+NORMAL+IL+61761-5277!3m4!1s0x880b713c319d2b1b:0xe9a99658e998f605!8m2!3d40.532932!4d-88.990999?hl=en",rosatis_pizza,
Rosatis Pizza,6558 S Lovers Lane Rd,FRANKLIN,WI,53132-1209,4145291400.0,"https://www.google.com/maps/place/Rosati's+Pizza/@42.9251754,-88.0459872,17z/data=!3m1!4b1!4m5!3m4!1s0x88050e7f05cf5d13:0x96df2c95793d3679!8m2!3d42.9251754!4d-88.0459872",rosatis_pizza,
Rosatis Pizza,1309 N Greenfield Rd,MESA,AZ,85205-4009,4803240777.0,"https://www.google.com/maps/place/Rosati's+Pizza/@33.4390988,-111.7351724,17z/data=!3m1!4b1!4m5!3m4!1s0x872ba594fb4e91d3:0xe7905cea6238f005!8m2!3d33.4390988!4d-111.7351724",rosatis_pizza,
Rosatis Pizza,10989 E Dynamite Blvd,SCOTTSDALE,AZ,85262-8047,4805132552.0,"https://www.google.com/maps/place/Rosati's+Pizza/@33.7416487,-111.8433363,17z/data=!3m1!4b1!4m5!3m4!1s0x872b9d96751a40d7:0x3a441e5c2f725111!8m2!3d33.7416487!4d-111.8433363",rosatis_pizza,
Rosatis Pizza,18221 N Pima Rd,SCOTTSDALE,AZ,85255-6241,4805133000.0,"https://www.google.com/maps/place/Rosati's+Pizza/@33.6513291,-111.8884332,17z/data=!4m5!3m4!1s0x872b77728b9d4203:0x7284f9b5162466e4!8m2!3d33.6513247!4d-111.8862445?hl=en",rosatis_pizza,
Rosatis Pizza,7119 E Shea Blvd,SCOTTSDALE,AZ,85254-6107,4805963444.0,"https://www.google.com/maps/place/Rosati's+Pizza/@33.580987,-111.9276276,17z/data=!3m1!4b1!4m5!3m4!1s0x872b74eb3c7e3b53:0x2407cd0692a1874d!8m2!3d33.580987!4d-111.9276276",rosatis_pizza,
Rosatis Pizza,4206 E Chandler Blvd,PHOENIX,AZ,85048-8873,4807061777.0,"https://www.google.com/maps/place/Rosati's+Pizza/@33.3057675,-111.9922934,17z/data=!3m1!4b1!4m5!3m4!1s0x872b046695610a19:0x85f594005684e00c!8m2!3d33.3057675!4d-111.9922934",rosatis_pizza,
Rosatis Pizza,1050 E Ray Rd,CHANDLER,AZ,85225-1774,4808995444.0,"https://www.google.com/maps/place/Rosati's+Authentic+Chicago+Pizza/@33.3226856,-111.8228792,17z/data=!3m1!4b1!4m5!3m4!1s0x872ba988f36a8ed1:0xa5b17932cc8107f7!8m2!3d33.3226856!4d-111.8228792",rosatis_pizza,
Rosatis Pizza,8490 S Power Rd,GILBERT,AZ,85297-8028,4809870888.0,"https://www.google.com/maps/place/Rosati%E2%80%99s+Pizza/@33.2647829,-111.6868401,17z/data=!3m1!4b1!4m5!3m4!1s0x872bad4978ec9bbd:0x291412757a2bed1c!8m2!3d33.2647829!4d-111.6868401",rosatis_pizza,
