Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Sbarro,66 West Town Mall,MADISON,WI,53719,6084242698.0,"https://www.google.com/maps/place/Sbarro/@43.0569679,-89.5055642,17z/data=!3m1!4b1!4m5!3m4!1s0x8807ae5586c473a5:0x5b091a5edafafcc6!8m2!3d43.0569679!4d-89.5055642",sbarro,
Sbarro,7501 W Cermak Rd,NORTH RIVERSIDE,IL,60546-2823,7084429737.0,"https://www.google.com/maps/place/Sbarro/@41.8473848,-87.8095735,17z/data=!3m1!4b1!4m5!3m4!1s0x880e344ddd6fb2c5:0x13d83bf75da56f2e!8m2!3d41.8473848!4d-87.8095735",sbarro,
Sbarro,26300 Cedar Rd,BEACHWOOD,OH,44122-1158,2167557115.0,"https://www.google.com/maps/place/Sbarro/@41.498488,-81.4941423,17z/data=!3m1!4b1!4m5!3m4!1s0x88310269d19b9373:0xc5f8bffe54d08feb!8m2!3d41.498488!4d-81.4941423",sbarro,
Sbarro,1525 W W T Harris Blvd,CHARLOTTE,NC,28262-8522,7045904737.0,"https://www.google.com/maps/place/Sbarro/@35.3147884,-80.7679268,17z/data=!3m1!4b1!4m5!3m4!1s0x88541dce17adbda7:0xd052b5a3bf676e8e!8m2!3d35.3147884!4d-80.7679268",sbarro,
Sbarro,3100 South West College Rd,OCALA,FL,34474,3522368801.0,"https://www.google.com/maps/place/Sbarro/@29.1590819,-82.1730628,17z/data=!3m1!4b1!4m5!3m4!1s0x88e7d51db9a9664f:0xb57b04e07c0888de!8m2!3d29.1590819!4d-82.1730628",sbarro,
Sbarro,5900 Montana St,EL PASO,TX,79925-3250,9153087460.0,"https://www.google.com/maps/place/Sbarro/@31.7836674,-106.411628,17z/data=!3m1!4b1!4m5!3m4!1s0x86e75a49725f3df5:0xd1237df7e9048bc6!8m2!3d31.7836674!4d-106.411628",sbarro,
Sbarro,7804 Abercorn St,SAVANNAH,GA,31406-3502,9123031400.0,"https://www.google.com/maps/place/Sbarro/@32.0024578,-81.1173881,17z/data=!3m1!4b1!4m5!3m4!1s0x88fb75aaffc0a71d:0xe8f6b5da33196d39!8m2!3d32.0024578!4d-81.1173881",sbarro,
Sbarro,1206 Elizabeth Ave,CHARLOTTE,NC,28204,7045953338.0,"https://www.google.com/maps/place/Sbarro/@35.2170226,-80.8310888,17z/data=!3m1!4b1!4m5!3m4!1s0x88569ff544ad7d7d:0x5c30cc5361fd26a1!8m2!3d35.2170226!4d-80.8310888",sbarro,
Sbarro,350 West Hillcrest Dr,THOUSAND OAKS,CA,91360,8052779115.0,"https://www.google.com/maps/place/Sbarro/@34.1850432,-118.8912776,17z/data=!4m5!3m4!1s0x80e83a996ff0c567:0x7431f81c139631f0!8m2!3d34.1850388!4d-118.8890889?hl=en",sbarro,
Sbarro,1450 Ala Moana Blvd,HONOLULU,HI,96814-4606,8089551665.0,"https://www.google.com/maps/place/Sbarro/@21.2910059,-157.844157,17z/data=!3m1!4b1!4m5!3m4!1s0x7c006df045a36271:0x281aba24ff6760d1!8m2!3d21.2910059!4d-157.844157",sbarro,
Sbarro,5100 N 9th Ave,PENSACOLA,FL,32504-8763,8508570770.0,"https://www.google.com/maps/place/Sbarro/@30.4746815,-87.2072548,17z/data=!3m1!4b1!4m5!3m4!1s0x8890c06cac15b67d:0xdf6233082d07a691!8m2!3d30.4746815!4d-87.2072548",sbarro,
Sbarro,3645 N High St,COLUMBUS,OH,43214-3508,6142610321.0,"https://www.google.com/maps/place/Neighborhood+Sbarro/@40.0365147,-83.0174918,17z/data=!3m1!4b1!4m5!3m4!1s0x88388c3f9c2c0a33:0x3a6a960c6c722c12!8m2!3d40.0365147!4d-83.0174918",sbarro,
Sbarro,7601 S Cicero Ave,CHICAGO,IL,60652-1071,7737676860.0,"https://www.google.com/maps/place/Sbarro/@41.7573915,-87.7369715,17z/data=!3m1!4b1!4m5!3m4!1s0x880e308bf1bd2e8b:0xfb69302f692810c2!8m2!3d41.7573915!4d-87.7369715",sbarro,
Sbarro,1500 Polaris Pkwy,COLUMBUS,OH,43240-2131,6148800816.0,"https://www.google.com/maps/place/Sbarro/@40.1456242,-82.9820576,17z/data=!3m1!4b1!4m5!3m4!1s0x8838f46528e27405:0xf91c40cacefb0a75!8m2!3d40.1456242!4d-82.9820576",sbarro,
