Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Schmizza Pub & Grub,8695 SW Jack Burns Blvd,WILSONVILLE,OR,97070-5797,5035828210.0,"https://www.google.com/maps/place/Pizza+Schmizza/@45.3342865,-122.7658682,17z/data=!3m1!4b1!4m5!3m4!1s0x54956dd91c05ec65:0x2231ddeaa71959a5!8m2!3d45.3342865!4d-122.7658682",
Schmizza Pub & Grub,628 NE Broadway St,PORTLAND,OR,97232-1324,5035179981.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.534914,-122.6588971,17z/data=!3m1!4b1!4m5!3m4!1s0x5495a74c982f115b:0xecd21fa9e32b58c8!8m2!3d45.534914!4d-122.6588971",
Schmizza Pub & Grub,18021 NW Evergreen Pkwy,BEAVERTON,OR,97006-7452,5035338366.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.536904,-122.862495,17z/data=!3m1!4b1!4m5!3m4!1s0x54950f43dc69a39b:0xde18e2de63455256!8m2!3d45.536904!4d-122.862495",
Schmizza Pub & Grub,1036 NW Glisan St,PORTLAND,OR,97209-3246,5034775501.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.526413,-122.6820741,17z/data=!3m1!4b1!4m5!3m4!1s0x549509ff5a6fce09:0x3bc81600f293f49f!8m2!3d45.526413!4d-122.6820741",
Schmizza Pub & Grub,320 NW 21st Ave,PORTLAND,OR,97209-1102,5036885394.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub+On+NW21ST/@45.5252755,-122.6942005,17z/data=!3m1!4b1!4m5!3m4!1s0x549509f704034d65:0xfd5930f528d777aa!8m2!3d45.5252755!4d-122.6942005",
Schmizza Pub & Grub,3180 SW Cedar Hills Blvd,BEAVERTON,OR,97005-1397,5039245888.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.4969403,-122.8081905,17z/data=!3m1!4b1!4m5!3m4!1s0x54950ebb59f6dbb1:0xa6752435712934cd!8m2!3d45.4969403!4d-122.8081905",
Schmizza Pub & Grub,910 NE Tenney Rd,VANCOUVER,WA,98685-2838,3605714064.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.7191917,-122.6614306,17z/data=!3m1!4b1!4m5!3m4!1s0x5495adebafca6a23:0x3a44aa3a98979dcb!8m2!3d45.7191917!4d-122.6614306",
Schmizza Pub & Grub,415 SW Montgomery St,PORTLAND,OR,97201-5518,5034738119.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.511379,-122.680671,17z/data=!3m1!4b1!4m5!3m4!1s0x54950a1145349021:0x3f490b284ea1bfc7!8m2!3d45.511379!4d-122.680671",
Schmizza Pub & Grub,1350 Plaza Blvd,CENTRAL POINT,OR,97502-2673,5417277778.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@42.3767969,-122.9043752,17z/data=!3m1!4b1!4m5!3m4!1s0x54cf7c70080b5ab5:0x14c7551c5dae2fb1!8m2!3d42.3767969!4d-122.9043752",
Schmizza Pub & Grub,13587 NW Cornell Rd,PORTLAND,OR,97229-5821,9712465528.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.5285303,-122.8160589,17z/data=!3m1!4b1!4m5!3m4!1s0x549508d5a680db63:0x53b23f85a10a0951!8m2!3d45.5285303!4d-122.8160589",
Schmizza Pub & Grub,851 SW 1ST AVE,CANBY,OR,97013-3824,5032632300.0,"https://www.google.com/maps/place/Schmizza+Pub+%26+Grub/@45.2576438,-122.7006564,17z/data=!3m1!4b1!4m5!3m4!1s0x5495659b59bddea5:0x56f9f9c8884c88a6!8m2!3d45.2576438!4d-122.7006564",
