Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Papa Murphy's Take 'N' Bake Pizza,1009 Egg Harbor Rd,STURGEON BAY,WI,54235-1266,9207469900.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@44.8449978,-87.366091,17z/data=!3m1!4b1!4m5!3m4!1s0x881d5a93dfb3a14f:0x1aeff0ffccd0d83a!8m2!3d44.8449978!4d-87.366091",
Papa Murphy's Take 'N' Bake Pizza,1025 Main Ave,DE PERE,WI,54115-1307,9203367272.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@44.4504262,-88.0875675,17z/data=!3m1!4b1!4m5!3m4!1s0x8802fc03084a0275:0xb52418f91760ee63!8m2!3d44.4504262!4d-88.0875675",
Papa Murphy's Take 'N' Bake Pizza,1037 S Neosho Blvd,NEOSHO,MO,64850-2008,4174511117.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@36.8538336,-94.3841533,17z/data=!3m1!4b1!4m5!3m4!1s0x87c8f54475111999:0x3bc73f9243c809ce!8m2!3d36.8538336!4d-94.3841533",
Papa Murphy's Take 'N' Bake Pizza,10917 North East 4th Plain,VANCOUVER,WA,98662,3608920633.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@45.650394,-122.8343991,10z/data=!4m8!1m2!2m1!1sPapa+Murphy's+Take+'N'+Bake+Pizza+3801+Main+St+VANCOUVER+WA+98663-2258!3m4!1s0x5495b01dfde61ba1:0xb6494fff4585bed2!8m2!3d45.6650942!4d-122.5601847?hl=en",
Papa Murphy's Take 'N' Bake Pizza,1105 Harrison Ave,CENTRALIA,WA,98531-1852,3608070133.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@46.7274396,-122.9801227,17z/data=!3m1!4b1!4m5!3m4!1s0x54916066d011570b:0x73c34d4a5ad518a4!8m2!3d46.7274396!4d-122.9801227",
Papa Murphy's Take 'N' Bake Pizza,1106 Vierling Dr E,SHAKOPEE,MN,55379-4313,9524458118.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@44.781928,-93.5089526,17z/data=!3m1!4b1!4m5!3m4!1s0x87f610b9fa491073:0x45654e1b2e5a6040!8m2!3d44.781928!4d-93.5089526",
Papa Murphy's Take 'N' Bake Pizza,1120 Biddle Rd,MEDFORD,OR,97504-6120,5417734111.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@42.3406189,-122.8697494,17z/data=!3m1!4b1!4m5!3m4!1s0x54cf7bb567d6bb25:0xb59519e8ca3d558f!8m2!3d42.3406189!4d-122.8697494",
Papa Murphy's Take 'N' Bake Pizza,114 N Jeffers St,NORTH PLATTE,NE,69101-5372,3085325400.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@41.1342099,-100.7641633,17z/data=!3m1!4b1!4m5!3m4!1s0x877622fcfc9d6e6b:0xba12ffccc90fdc86!8m2!3d41.1342099!4d-100.7641633",
Papa Murphy's Take 'N' Bake Pizza,114 N Vine St,URBANA,IL,61802-2746,2173447700.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@40.1129733,-88.2031352,17z/data=!3m1!4b1!4m5!3m4!1s0x880cd79fab96be95:0x238b616aa37b3c7e!8m2!3d40.1129733!4d-88.2031352",
Papa Murphy's Take 'N' Bake Pizza,1006 Gateway Dr,CHASKA,MN,55318-4569,9525560001.0,"https://www.google.com/maps/place/Papa+Murphy's+%7C+Take+'N'+Bake+Pizza/@44.803718,-93.5779263,17z/data=!3m1!4b1!4m5!3m4!1s0x87f61aadf3fe7753:0xe1e74e0e4f5c5930!8m2!3d44.803718!4d-93.5779263",
