Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Shakey's Pizza Parlor,935 W Arbor Vitae St,INGLEWOOD,CA,90301-3002,3106495044.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@33.9529938,-118.3730512,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2b6df71bf68bb:0xb7367bcb945d401!8m2!3d33.9529938!4d-118.3730512",
Shakey's Pizza Parlor,9290 Whittier Blvd,PICO RIVERA,CA,90660-2446,5629481141.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@33.999308,-118.079802,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2d190e3e2c91b:0x598aed94f08d2740!8m2!3d33.999308!4d-118.079802",
Shakey's Pizza Parlor,8022 Rosecrans Ave,PARAMOUNT,CA,90723-2624,5626306090.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@33.903418,-118.1590973,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2cd200e8d57e7:0xc9d5a2eeb69827c!8m2!3d33.903418!4d-118.1590973",
Shakey's Pizza Parlor,7001 Santa Monica Blvd,WEST HOLLYWOOD,CA,90038-1011,3234631104.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@34.0909369,-118.3418722,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2bf2914c3eef3:0xedafc4f6bef2113e!8m2!3d34.0909369!4d-118.3418722",
Shakey's Pizza Parlor,5321 Laurel Canyon Blvd,NORTH HOLLYWOOD,CA,91607-2711,8189856005.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@34.1673556,-118.3968066,17z/data=!3m1!4b1!4m5!3m4!1s0x80c29609637b3bfb:0xfc5fc3fca6abd263!8m2!3d34.1673556!4d-118.3968066",
Shakey's Pizza Parlor,866 E Las Tunas Dr,SAN GABRIEL,CA,91776-1654,6262851215.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@34.1031244,-118.088827,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2dade286d704b:0xc2bc7a5cd75e3a0!8m2!3d34.1031244!4d-118.088827",
Shakey's Pizza Parlor,836 W Colton Ave,REDLANDS,CA,92374-2930,9097935993.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@34.0634567,-117.194339,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcaa699fa6097d:0xf40f48092cf3f282!8m2!3d34.0634567!4d-117.194339",
Shakey's Pizza Parlor,791 E Foothill Blvd,UPLAND,CA,91786-4018,9099855118.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@34.1074633,-117.6404651,17z/data=!3m1!4b1!4m5!3m4!1s0x80c336b39b139c51:0xbd638d82b499a59a!8m2!3d34.1074633!4d-117.6404651",
Shakey's Pizza Parlor,665 E Del Amo Blvd,CARSON,CA,90746-3308,3103272570.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@33.8477762,-118.263484,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd3525587795ab:0x523a54ccbcf83317!8m2!3d33.8477762!4d-118.263484",
Shakey's Pizza Parlor,555 Broadway,CHULA VISTA,CA,91910-5339,6194250211.0,"https://www.google.com/maps/place/Shakey's+Pizza+Parlor/@32.6304012,-117.0871758,17z/data=!3m1!5s0x80d94de72ec8bebd:0xb825fcec27af3020!4m5!3m4!1s0x80d94df62164b995:0x8b6ff9a2d0887117!8m2!3d32.6303967!4d-117.0849871?hl=en",
