Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Simple Simon's Pizza,1412 SE Washington Blvd,BARTLESVILLE,OK,74006-4508,9183319500.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza+-+Bartlesville,+OK/@36.7323928,-95.9346249,17z/data=!3m1!4b1!4m5!3m4!1s0x87b712318cde3087:0xe83fc31a49fa2882!8m2!3d36.7323928!4d-95.9346249",simple_simons_pizza,
Simple Simon's Pizza,4253 E Waterloo Rd,EDMOND,OK,73034-9296,4053408901.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza+-+Edmond,+OK/@35.7255119,-97.4256306,17z/data=!3m1!4b1!4m5!3m4!1s0x87b18a51a28bf63b:0x16a1d745b4954e7f!8m2!3d35.7255119!4d-97.4256306",simple_simons_pizza,
Simple Simon's Pizza,U S 412 & Oklahoma 10,KANSAS,OK,74347,9188682985.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza+-+Kansas,+OK/@36.205848,-94.7785855,17z/data=!3m1!4b1!4m5!3m4!1s0x87c9c1a2f76da24b:0x9bc0fa8619ab7501!8m2!3d36.205848!4d-94.7785855",simple_simons_pizza,
Simple Simon's Pizza,2203 Fayetteville Rd,VAN BUREN,AR,72956-6508,4794715805.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza+-+Van+Buren,+AR/@35.4687896,-94.3569287,17z/data=!3m1!4b1!4m5!3m4!1s0x87cbb59e290cff99:0xb746a71f6df6c149!8m2!3d35.4687896!4d-94.3569287",simple_simons_pizza,
Simple Simon's Pizza,107 E Avenue C,HEAVENER,OK,74937-2603,9186537492.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza+-+Heavener,+OK/@34.8898539,-94.6036745,17z/data=!4m5!3m4!1s0x87caef1e43bbd47b:0xfbbb4cb1f475b48c!8m2!3d34.8898495!4d-94.6014858?hl=en",simple_simons_pizza,
Simple Simon's Pizza,415 US Highway 81,MINCO,OK,73059,4053525185.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza/@35.3094292,-97.9456354,17z/data=!3m1!4b1!4m5!3m4!1s0x87adf2ba0f2e0953:0x7fe3c2d9f63d1d72!8m2!3d35.3094292!4d-97.9456354",simple_simons_pizza,
Simple Simon's Pizza,11701 E Maguire Rd,NOBLE,OK,73068-7746,4058728663.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza/@35.132408,-97.269998,17z/data=!3m1!4b1!4m5!3m4!1s0x87b25a813a07cfbb:0x1af468579eb84540!8m2!3d35.132408!4d-97.269998",simple_simons_pizza,
Simple Simon's Pizza,17805 S Harrah Rd,NEWALLA,OK,74857-7201,4053864500.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza/@35.2924437,-97.1602135,17z/data=!3m1!4b1!4m5!3m4!1s0x87b24bc057696b6f:0x638d4417862543a!8m2!3d35.2924437!4d-97.1602135",simple_simons_pizza,
Simple Simon's Pizza,701 N Center Ave,PIEDMONT,AL,36272-1103,2564470099.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza+-+Piedmont,+AL/@33.932,-85.6128,17z/data=!3m1!4b1!4m5!3m4!1s0x888a586535751b7f:0xa608d1140f4ed344!8m2!3d33.932!4d-85.6128",simple_simons_pizza,
Simple Simon's Pizza,205 West Highway 3,RATTAN,OK,74562,5805872000.0,"https://www.google.com/maps/place/Simple+Simon's+Pizza/@34.2007484,-95.4146499,17z/data=!3m1!4b1!4m5!3m4!1s0x864ab9f16c03f1d1:0x47248a611705c384!8m2!3d34.2007484!4d-95.4146499",simple_simons_pizza,
