Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Snappy Tomato Pizza,1106 Paris Rd,MAYFIELD,KY,42066-3328,2702519513.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@36.7245102,-88.6279233,17z/data=!3m1!4b1!4m5!3m4!1s0x887a31d1546dc26d:0xf27f4370a7854441!8m2!3d36.7245102!4d-88.6279233",snappy_tomato_pizza,
Snappy Tomato Pizza,100 Vineland Centre Dr,VINE GROVE,KY,40175-8430,2708777011.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@37.8233441,-85.9739126,17z/data=!3m1!4b1!4m5!3m4!1s0x8868dc30a883e5d7:0xb4528d6284ccb98a!8m2!3d37.8233441!4d-85.9739126",snappy_tomato_pizza,
Snappy Tomato Pizza,106 W Court St,GREENSBURG,KY,42743-1557,2709322020.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@37.2612611,-85.5023817,17z/data=!3m1!4b1!4m5!3m4!1s0x88687923cf015615:0xa0148c543a8b2264!8m2!3d37.2612611!4d-85.5023817",snappy_tomato_pizza,
Snappy Tomato Pizza,4863 N Main St,EMINENCE,KY,40019-1017,5028454455.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@38.37075,-85.180148,17z/data=!3m1!4b1!4m5!3m4!1s0x8869ee0de12eba37:0x603765511209b162!8m2!3d38.37075!4d-85.180148",snappy_tomato_pizza,
Snappy Tomato Pizza,1041 Old US Highway 52,NEW RICHMOND,OH,45157-8536,5135533300.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@38.9679423,-84.2862997,17z/data=!3m1!4b1!4m5!3m4!1s0x8841a77411eb916d:0xbd4d287bb1e64838!8m2!3d38.9679423!4d-84.2862997",snappy_tomato_pizza,
Snappy Tomato Pizza,2023 N Prince St,CLOVIS,NM,88101-4858,5759357700.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@34.418927,-103.1947168,17z/data=!3m1!4b1!4m5!3m4!1s0x8702de0d502c533f:0xeee4a8ff8caeea5a!8m2!3d34.418927!4d-103.1947168",snappy_tomato_pizza,
Snappy Tomato Pizza,113 Tradepark Dr,SOMERSET,KY,42503-3428,6066789070.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@37.0841507,-84.618295,17z/data=!3m1!4b1!4m5!3m4!1s0x885d49f755577dff:0xe187b4de35d8555a!8m2!3d37.0841507!4d-84.618295",snappy_tomato_pizza,
Snappy Tomato Pizza,201 W Miami St,BROOKSVILLE,KY,41004-8101,6067353700.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@38.6855941,-84.0681726,17z/data=!3m1!4b1!4m5!3m4!1s0x88416f9c9fd18f4f:0xc4590af5b4e19754!8m2!3d38.6855941!4d-84.0681726",snappy_tomato_pizza,
Snappy Tomato Pizza,1187 Vann Dr,JACKSON,TN,38305-6098,7313000285.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@35.6644753,-88.861751,17z/data=!3m1!4b1!4m5!3m4!1s0x887ea6bff34a0c29:0x643da980112bc84c!8m2!3d35.6644753!4d-88.861751",snappy_tomato_pizza,
Snappy Tomato Pizza,2353 Beam Rd,COLUMBUS,IN,47203-3404,8123722300.0,"https://www.google.com/maps/place/Snappy+Tomato+Pizza/@39.221619,-85.887722,17z/data=!3m1!4b1!4m5!3m4!1s0x886ba0f672b29b1b:0xb7f3ca41b4f35d55!8m2!3d39.221619!4d-85.887722",snappy_tomato_pizza,
