Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Straw Hat Pizza,1238 N Main St,MANTECA,CA,95336-3211,2098258744.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.8142893,-121.2167995,17z/data=!3m1!4b1!4m5!3m4!1s0x809041cccab42f69:0xc6736b0630427c8!8m2!3d37.8142893!4d-121.2167995",straw_hat_pizza,
Straw Hat Pizza,10729 South St,CERRITOS,CA,90703-8062,5629258441.0,"https://www.google.com/maps/place/Straw+Hat+pizza/@33.8597352,-118.1070401,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2d8b3337098f:0x48ce8e7184923eef!8m2!3d33.8597352!4d-118.1070401",straw_hat_pizza,
Straw Hat Pizza,12552 Central Ave,CHINO,CA,91710-3507,9096271534.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@34.025149,-117.689858,17z/data=!3m1!4b1!4m5!3m4!1s0x80c3331dfcb6a0e5:0xedb025dab539537e!8m2!3d34.025149!4d-117.689858",straw_hat_pizza,
Straw Hat Pizza,1653 Industrial Pkwy W,HAYWARD,CA,94544-7046,5102650111.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.6180592,-122.0679789,17z/data=!3m1!4b1!4m5!3m4!1s0x808f94314149e46b:0x837176cf9d268e4f!8m2!3d37.6180592!4d-122.0679789",straw_hat_pizza,
Straw Hat Pizza,901 Marina Village Pkwy,ALAMEDA,CA,94501-1048,5108648600.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.783743,-122.2724864,17z/data=!3m1!4b1!4m5!3m4!1s0x808f80d14a9f437f:0xd568ac217229b901!8m2!3d37.783743!4d-122.2724864",straw_hat_pizza,
Straw Hat Pizza,206 E Caldwell Ave,VISALIA,CA,93277-7606,5594294110.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@36.2986919,-119.2907434,17z/data=!3m1!4b1!4m5!3m4!1s0x80952ee2a860e4b7:0xeca1a0788d0e527d!8m2!3d36.2986919!4d-119.2907434",straw_hat_pizza,
Straw Hat Pizza,1111 W Visalia Rd,EXETER,CA,93221-2204,5595925111.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@36.2983601,-119.1542722,17z/data=!3m1!4b1!4m5!3m4!1s0x80953158fc78183f:0x3798e3b33cb1fc90!8m2!3d36.2983601!4d-119.1542722",straw_hat_pizza,
Straw Hat Pizza,36618 S Lassen,HURON,CA,93234,5599451234.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@36.2008666,-120.103012,17z/data=!3m1!4b1!4m5!3m4!1s0x8094a12d3cd89537:0x1aae65184452b7cb!8m2!3d36.2008666!4d-120.103012",straw_hat_pizza,
Straw Hat Pizza,2026 Freedom Blvd,FREEDOM,CA,95019-2835,8317223555.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@36.9384843,-121.7770895,17z/data=!3m1!4b1!4m5!3m4!1s0x808e1a5ab55063ff:0xe0f372abc1546ac4!8m2!3d36.9384843!4d-121.7770895",straw_hat_pizza,
Straw Hat Pizza,540 Bogue Rd,YUBA CITY,CA,95991-9243,5306715150.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@39.0995746,-121.6178286,17z/data=!3m1!4b1!4m5!3m4!1s0x809b52c8b042bf9b:0xe4698682825ed752!8m2!3d39.0995746!4d-121.6178286",straw_hat_pizza,
Straw Hat Pizza,6522 E Spring St,LONG BEACH,CA,90815-1554,5624214491.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@33.8097613,-118.1054888,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2e06b1a3dfd7:0x1ee1c52b321f4bec!8m2!3d33.8097613!4d-118.1054888",straw_hat_pizza,
Straw Hat Pizza,1295 Horizon Dr,FAIRFIELD,CA,94533-1632,7074218300.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@38.2755002,-122.0092017,17z/data=!4m5!3m4!1s0x808515e3a856c6c1:0xc8d45fcf44066966!8m2!3d38.275496!4d-122.007013?hl=en",straw_hat_pizza,
Straw Hat Pizza,191 San Felipe Rd,HOLLISTER,CA,95023-3065,8316309400.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@36.8595144,-121.4011928,17z/data=!3m1!4b1!4m5!3m4!1s0x8091f7ccc63cedff:0x33dc9274012625b4!8m2!3d36.8595144!4d-121.4011928",straw_hat_pizza,
Straw Hat Pizza,6680 Lone Tree Way,BRENTWOOD,CA,94513-5308,9256343664.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.9628801,-121.7297224,17z/data=!3m1!4b1!4m5!3m4!1s0x808ff8b7e09752df:0xe4441d87e62dfe13!8m2!3d37.9628801!4d-121.7297224",straw_hat_pizza,
Straw Hat Pizza,3228 N Tracy Blvd,TRACY,CA,95376-1747,2098307777.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.7598758,-121.4341601,17z/data=!3m1!4b1!4m5!3m4!1s0x80903d577012e55f:0xbb24be4d5ceb026c!8m2!3d37.7598758!4d-121.4341601",straw_hat_pizza,
Straw Hat Pizza,81 Curtner Ave,SAN JOSE,CA,95125-1064,4082951970.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.3147765,-121.8712033,17z/data=!3m1!4b1!4m5!3m4!1s0x808e331ba524dc5f:0xa539eb80a736c9!8m2!3d37.3147765!4d-121.8712033",straw_hat_pizza,
Straw Hat Pizza,1053 1st St,GILROY,CA,95020-4817,4088422745.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.0139611,-121.5924222,17z/data=!3m1!4b1!4m5!3m4!1s0x8091e22e2ec88c5b:0x7dad3d4cee622e1d!8m2!3d37.0139611!4d-121.5924222",straw_hat_pizza,
Straw Hat Pizza,46129 Warm Springs Blvd,FREMONT,CA,94539-7026,5104902500.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.4931347,-121.931855,17z/data=!3m1!4b1!4m5!3m4!1s0x808fc65d38f25317:0x6689782249ffc16!8m2!3d37.4931347!4d-121.931855",straw_hat_pizza,
Straw Hat Pizza,510 4th St,WILLIAMS,CA,95987,5304735150.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@39.1550358,-122.1460841,17z/data=!3m1!4b1!4m5!3m4!1s0x8083648d957a3abb:0x18a5006d9b845321!8m2!3d39.1550358!4d-122.1460841",straw_hat_pizza,
Straw Hat Pizza,186 San Mateo Rd,HALF MOON BAY,CA,94019-1706,6507262758.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@37.4680584,-122.4313653,17z/data=!3m1!4b1!4m5!3m4!1s0x808f74b166fb2ff9:0x602c2edaabd9e392!8m2!3d37.4680584!4d-122.4313653",straw_hat_pizza,
Straw Hat Pizza,1822 N Broadway,SANTA MARIA,CA,93454-1449,8053471942.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@34.9729658,-120.4341013,17z/data=!3m1!4b1!4m5!3m4!1s0x80ec6c0aedb5ed0f:0x69354b9df2afe849!8m2!3d34.9729658!4d-120.4341013",straw_hat_pizza,
Straw Hat Pizza,2929 Mather Field Rd,RANCHO CORDOVA,CA,95670-5417,9163635050.0,"https://www.google.com/maps/place/Straw+Hat+Pizza/@38.5844506,-121.3092706,17z/data=!3m1!4b1!4m5!3m4!1s0x809adce03b667017:0xe16b1aafabf8b325!8m2!3d38.5844506!4d-121.3092706",straw_hat_pizza,
