Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
Villa Pizza,517 Brandon Center Mall,BRANDON,FL,33511,8136890116.0,"https://www.google.com/maps/place/Villa+Pizza/@27.932137,-82.325083,17z/data=!3m1!4b1!4m5!3m4!1s0x88c2ce42c8046763:0x2c37ccf31449a651!8m2!3d27.932137!4d-82.325083",
Villa Pizza,8001 Citrus Park Town Center Mall,TAMPA,FL,33625-3180,8139209037.0,"https://www.google.com/maps/place/Villazzo/@28.069192,-82.578826,17z/data=!4m8!1m2!2m1!1sVilla+Pizza+8001+Citrus+Park+Town+Center+Mall+TAMPA+FL+33625-3180!3m4!1s0x88c2ea913a4d1f63:0x766cae38caab96c3!8m2!3d28.0693047!4d-82.577239?hl=en",
Villa Pizza,11700 Princeton Pike,CINCINNATI,OH,45246-2533,5136710120.0,"https://www.google.com/maps/place/Tri-County+Mall/@39.2902686,-84.4702538,16z/data=!4m8!1m2!2m1!1sVilla+Pizza+11700+Princeton+Pike+CINCINNATI+OH+45246-2533!3m4!1s0x88404e6a37a205cf:0x1864b14da56d330f!8m2!3d39.289244!4d-84.4638672?hl=en",
Villa Pizza,1101 Melbourne Rd,HURST,TX,76053-6212,8172842888.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@32.8295762,-97.2024465,17z/data=!4m8!1m2!2m1!1sVilla+Pizza+1101+Melbourne+Rd+HURST+TX+76053-6212!3m4!1s0x864e78dfc435e137:0x58cec2c9afebfd53!8m2!3d32.830295!4d-97.198935?hl=en",
Villa Pizza,5463 Factory Shops Blvd,ELLENTON,FL,34222-4100,9417229839.0,"https://www.google.com/maps/place/Villa+Pizza/@27.5343172,-82.5084007,17z/data=!3m1!4b1!4m5!3m4!1s0x88c33cccc6c929dd:0x9c1f3f914653a96!8m2!3d27.5343172!4d-82.5084007",
Villa Pizza,1200 Towne Centre Blvd,PROVO,UT,84601-2976,8018523125.0,"https://www.google.com/maps/place/Villa+Pizza/@40.2176467,-111.6627278,17z/data=!3m1!4b1!4m5!3m4!1s0x874d975e701173db:0x6aa62324a4fb9c8b!8m2!3d40.2176467!4d-111.6627278",
Villa Pizza,27001 US Highway 19 N,CLEARWATER,FL,33761-3411,7277237350.0,"https://www.google.com/maps/place/Villa+Pizza/@28.0177559,-82.7349043,17z/data=!3m1!5s0x88c2edff73b53d1d:0x7edf0a3ae6181f30!4m5!3m4!1s0x88c2edfef3b44e73:0x5ab56e8e974fe892!8m2!3d28.0177512!4d-82.7327156?hl=en",
Villa Pizza,1233 W Rancho Vista Blvd,PALMDALE,CA,93551-3950,6612650072.0,"https://www.google.com/maps/place/Lane+Bryant/@34.6028139,-118.1970995,13z/data=!3m1!5s0x80c2599930a3d3cf:0x7edf0a3a07f540ec!4m8!1m2!2m1!1sVilla+Pizza+1233+W+Rancho+Vista+Blvd+PALMDALE+CA+93551-3950!3m4!1s0x80c25998a221561b:0xe78eff370b65ca19!8m2!3d34.6044362!4d-118.1519744?hl=en",
Villa Pizza,2315 Lloyd Ctr,PORTLAND,OR,97232-1313,5033353738.0,"https://www.google.com/maps/place/Villa+Pizza/@45.5330129,-122.6537087,17z/data=!3m1!4b1!4m5!3m4!1s0x5495a0b4547a2e77:0x80f8310462bb51bb!8m2!3d45.5330129!4d-122.6537087",
Villa Pizza,7021 S Memorial Dr,TULSA,OK,74133-2070,9182509341.0,"https://www.google.com/maps/place/Villa+Pizza/@36.0636803,-95.8827187,17z/data=!3m1!5s0x87b68d97157032d9:0x7edf0a3aeb612e10!4m5!3m4!1s0x87b68d977320ff71:0x324de490a5ad8fc8!8m2!3d36.063676!4d-95.88053?hl=en",
Villa Pizza,422 Clifton Country Rd,CLIFTON PARK,NY,12065,5183710194.0,"https://www.google.com/maps/place/Villa+Pizza/@42.8579749,-73.7811207,17z/data=!3m1!5s0x89de1389dde63e8f:0x7edf0a3a8d9eda15!4m5!3m4!1s0x89de1477a7cac3f1:0xb63320f2f3ec9fb3!8m2!3d42.857971!4d-73.778932?hl=en",
Villa Pizza,740 Ventura Blvd,CAMARILLO,CA,93010-5843,8054849190.0,"https://www.google.com/maps/place/Zales+Outlet/@34.2257183,-119.0783878,13z/data=!3m1!5s0x80e849ee52753751:0x7edf0a3a9bf0d2d5!4m8!1m2!2m1!1sVilla+Pizza+740+Ventura+Blvd+CAMARILLO+CA+93010-5843!3m4!1s0x80e849efc55f20d9:0x1fd5e3d608531508!8m2!3d34.2160508!4d-119.0595004?hl=en",
Villa Pizza,3385 S Durango Dr,LAS VEGAS,NV,89117-4108,7028787889.0,"https://www.google.com/maps/place/Villa+Pizza+Durango/@36.1281808,-115.2797779,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8c0a8bed59b75:0x1dcffc55a9481bfe!8m2!3d36.1281808!4d-115.2797779",
Villa Pizza,1314 Tanger Mall Dr,RIVERHEAD,NY,11901-6418,6313693226.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@40.9218462,-72.7157645,17z/data=!4m5!3m4!1s0x89e85fff588d1abb:0xcf9009e3bbc36af6!8m2!3d40.9218422!4d-72.7135758?hl=en",
Villa Pizza,9100 Pena Blvd,DENVER,CO,80249,3033420256.0,"https://www.google.com/maps/place/Villa+Italian+Kitchen/@39.8628927,-104.6740538,17z/data=!3m1!4b1!4m5!3m4!1s0x876c67ef7c42ff47:0x4cab8fead4e9c79b!8m2!3d39.8628927!4d-104.6740538",
Villa Pizza,9909 Avon Lake Rd,BURBANK,OH,44214-9641,3309489932.0,"https://www.google.com/maps/place/Villa+Fresh+Italian+Kitchen/@41.0004145,-82.0002283,15z/data=!4m8!1m2!2m1!1sVilla+Pizza+9909+Avon+Lake+Rd+BURBANK+OH+44214-9641!3m4!1s0x88374cd54e997ef7:0xb93c28fa567cc2f!8m2!3d40.9998239!4d-81.9859504?hl=en",
Villa Pizza,4550 E Cactus Rd,PHOENIX,AZ,85032-7711,6029231452.0,"https://www.google.com/maps/place/Maskadores+Taco+Shop+8/@33.6007399,-112.0327757,13z/data=!4m8!1m2!2m1!1sVilla+Pizza+4550+E+Cactus+Rd+PHOENIX+AZ+85032-7711!3m4!1s0x872b73bba489812f:0x882a1d06c40aae27!8m2!3d33.6021872!4d-111.9836094?hl=en",
