Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Vocelli Pizza,6126 Rose Hill Dr,ALEXANDRIA,VA,22310-1901,7039219214.0,"https://www.google.com/maps/place/Vocelli+Pizza/@38.7844675,-77.122458,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b213bf112351:0x938adab29ede5b35!8m2!3d38.7844675!4d-77.122458",vocelli_pizza,
Vocelli Pizza,20630 Ashburn Village Blvd,ASHBURN,VA,20147,7037292929.0,"https://www.google.com/maps/place/Vocelli+Pizza/@39.0468357,-77.4849693,17z/data=!3m1!4b1!4m5!3m4!1s0x89b63eb3a5822f1f:0x9a1d3fcae30e3974!8m2!3d39.0468357!4d-77.4849693",vocelli_pizza,
Vocelli Pizza,1216 7th Ave,BEAVER FALLS,PA,15010-4495,7248477700.0,"https://www.google.com/maps/place/Vocelli+Pizza/@40.7535856,-80.3191303,17z/data=!3m1!4b1!4m5!3m4!1s0x883470ff871a4d3f:0x9b451cb8a22b3882!8m2!3d40.7535856!4d-80.3191303",vocelli_pizza,
Vocelli Pizza,3060 W Liberty Ave,PITTSBURGH,PA,15216-2456,4123433333.0,"https://www.google.com/maps/place/Vocelli+Pizza/@40.3920559,-80.0382876,17z/data=!3m1!4b1!4m5!3m4!1s0x8834f7116044abc3:0x1ec2e2ab336649c1!8m2!3d40.3920559!4d-80.0382876",vocelli_pizza,
Vocelli Pizza,20 Mayo Rd,EDGEWATER,MD,21037-1440,4109561818.0,"https://www.google.com/maps/place/Vocelli+Pizza/@38.9400165,-76.5621782,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7f3ee697e29fb:0xc45a4d2376008acd!8m2!3d38.9400165!4d-76.5621782",vocelli_pizza,
Vocelli Pizza,183 Thomas Johnson Dr,FREDERICK,MD,21702-4542,3012283993.0,"https://www.google.com/maps/place/Vocelli+Pizza/@39.4414258,-77.4085168,17z/data=!3m1!4b1!4m5!3m4!1s0x89c9dac26436a5ff:0xa2b6d55bd140f5ad!8m2!3d39.4414258!4d-77.4085168",vocelli_pizza,
Vocelli Pizza,5744 Industry Ln,FREDERICK,MD,21704-8214,3016319001.0,"https://www.google.com/maps/place/Vocelli+Pizza/@39.3936948,-77.4182949,17z/data=!3m1!4b1!4m5!3m4!1s0x89c9da3133d04683:0x2e2a9ed0d9514598!8m2!3d39.3936948!4d-77.4182949",vocelli_pizza,
Vocelli Pizza,1129 State Route 3 N,GAMBRILLS,MD,21054-1715,4107215757.0,"https://www.google.com/maps/place/Vocelli+Pizza/@39.0233064,-76.6917429,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7faceec214aa5:0xef389719e5a19b7c!8m2!3d39.0233064!4d-76.6917429",vocelli_pizza,
Vocelli Pizza,12311 Middlebrook Rd,GERMANTOWN,MD,20874-2605,3015288866.0,"https://www.google.com/maps/place/Vocelli+Pizza/@39.176287,-77.254796,17z/data=!3m1!4b1!4m5!3m4!1s0x89b62c42607d896b:0xd35d360a4bee01b7!8m2!3d39.176287!4d-77.254796",vocelli_pizza,
Vocelli Pizza,112 S Water St,KITTANNING,PA,16201-2434,7245481818.0,"https://www.google.com/maps/place/Vocelli+Pizza/@40.8129916,-79.5202084,17z/data=!3m1!4b1!4m5!3m4!1s0x883357d20fef8ea5:0x8ea69ba3ee5a103c!8m2!3d40.8129916!4d-79.5202084",vocelli_pizza,
