Company Name,Address 1,City,State,Zip,Phone,Google Link,Status
zpizza,8869 Santa Monica Blvd,WEST HOLLYWOOD,CA,90069-4534,3103601414.0,"https://www.google.com/maps/place/zpizza+-+West+Hollywood/@34.0852306,-118.3839722,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2bea574750a93:0xd6e1badbbee2f153!8m2!3d34.0852306!4d-118.3839722",
zpizza,883 Mission St,SAN FRANCISCO,CA,94103-3006,4159955552.0,"https://www.google.com/maps/place/zpizza/@37.7829412,-122.4059927,17z/data=!3m1!4b1!4m5!3m4!1s0x8085808652cc8999:0x89055cdad44c1c85!8m2!3d37.7829412!4d-122.4059927",
zpizza,4612 E 2nd St,LONG BEACH,CA,90803-5307,5629874500.0,"https://www.google.com/maps/place/zpizza/@33.7617947,-118.1388184,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd304bb43ca2f7:0x9e38f711f2e4a30e!8m2!3d33.7617947!4d-118.1388184",
zpizza,32371 Golden Lantern,LAGUNA NIGUEL,CA,92677-5337,9494813948.0,"https://www.google.com/maps/place/zpizza/@33.4922635,-117.6976986,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcf02e09fea69f:0x79f17fcbe06a55a0!8m2!3d33.4922635!4d-117.6976986",
zpizza,30822 Coast Hwy,LAGUNA BEACH,CA,92651-8136,9494994949.0,"https://www.google.com/maps/place/zpizza/@33.516162,-117.756,17z/data=!3m1!4b1!4m5!3m4!1s0x80dce56c15cef735:0x3ea99e91b2b217d3!8m2!3d33.516162!4d-117.756",
zpizza,25672 Crown Valley Pkwy,LADERA RANCH,CA,92694-0483,9493478999.0,"https://www.google.com/maps/place/zpizza/@33.5651243,-117.6317492,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcec2e026e7273:0x2789201d1f67a6e0!8m2!3d33.5651243!4d-117.6317492",
zpizza,148 Main St,SEAL BEACH,CA,90740-6384,5625969300.0,"https://www.google.com/maps/place/Zpizza/@33.7417441,-118.1066908,17z/data=!4m8!1m2!2m1!1szpizza+148+Main+St+SEAL+BEACH+CA+90740-6384!3m4!1s0x80dd2ffb12f3e191:0x945f2bdeb53c339b!8m2!3d33.7412117!4d-118.1047344?hl=en",
zpizza,12932 Newport Ave,TUSTIN,CA,92780-3577,7147349749.0,"https://www.google.com/maps/place/zpizza/@33.7495861,-117.8095273,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcdbc73d2a0c73:0x19a5b7003017609c!8m2!3d33.7495861!4d-117.8095273",
zpizza,3941 S Bristol St,SANTA ANA,CA,92704-7400,7144371111.0,"https://www.google.com/maps/place/zpizza/@33.6945999,-117.8838301,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcdf2f53a4c855:0xfc86500173bc1e95!8m2!3d33.6945999!4d-117.8838301",
zpizza,3423 Via Lido,NEWPORT BEACH,CA,92663-3908,9497230707.0,"https://www.google.com/maps/place/zpizza/@33.6177524,-117.9287768,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2006e6843b9f:0x80165776c01679bc!8m2!3d33.6177524!4d-117.9287768",
zpizza,26 Old Mammoth Rd,MAMMOTH LAKES,CA,93546,7609345800.0,"https://www.google.com/maps/place/zpizza/@37.6463134,-118.9674318,17z/data=!3m1!4b1!4m5!3m4!1s0x80960dcd24443435:0x7d764f7f75736ad2!8m2!3d37.6463134!4d-118.9674318",
zpizza,25522 Marguerite Pkwy,MISSION VIEJO,CA,92692-2919,9495881000.0,"https://www.google.com/maps/place/zpizza/@33.5919444,-117.6594444,17z/data=!3m1!4b1!4m5!3m4!1s0x80dceeb30d968cbd:0xd74a76c4678ea0ef!8m2!3d33.5919444!4d-117.6594444",
zpizza,2549 Eastbluff Dr,NEWPORT BEACH,CA,92660-3500,9497603100.0,"https://www.google.com/maps/place/zpizza/@33.64088,-117.87596,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcde347d096f17:0xcc452eec26cb532e!8m2!3d33.64088!4d-117.87596",
zpizza,1943 N Campus Ave,UPLAND,CA,91784-8204,9099491939.0,"https://www.google.com/maps/place/zpizza/@34.1335579,-117.6382602,17z/data=!3m1!4b1!4m5!3m4!1s0x80c336d5dfe7262d:0xe2b6579822f963a6!8m2!3d34.1335579!4d-117.6382602",
