Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Gatti's Pizza,162 N Joe B Hall Ave,SHEPHERDSVILLE,KY,40165-6007,5025438888.0,"https://www.google.com/maps/place/Gatti's+Pizza/@37.98965,-85.706011,17z/data=!3m1!4b1!4m5!3m4!1s0x88690474beca94af:0xbb97561f81b03a78!8m2!3d37.98965!4d-85.706011",gattis_pizza,
Gatti's Pizza,1811 Ruth St,SULPHUR,LA,70663-6703,3375270318.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@30.2216751,-93.3767399,17z/data=!3m1!4b1!4m5!3m4!1s0x863b8c62fb2ee92f:0xcc3ee0ebaafcd8f6!8m2!3d30.2216751!4d-93.3767399",gattis_pizza,
Gatti's Pizza,1658 11th St,PORTSMOUTH,OH,45662-4526,7403534000.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@38.7381628,-82.9810492,17z/data=!3m1!4b1!4m5!3m4!1s0x88468b770cbf6807:0xf3ba4bd22faf363e!8m2!3d38.7381628!4d-82.9810492",gattis_pizza,
Gatti's Pizza,100 McMillan St,SPARTANBURG,SC,29303-3121,8645858897.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@34.9701467,-81.9294176,17z/data=!3m1!4b1!4m5!3m4!1s0x885775bfb7787695:0x68f64050a6e2a967!8m2!3d34.9701467!4d-81.9294176",gattis_pizza,
Gatti's Pizza,6903 Maynardville Pike,KNOXVILLE,TN,37918-5324,8659225519.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@36.0716519,-83.9288969,17z/data=!3m1!4b1!4m5!3m4!1s0x885c157c288cab8f:0x6b64b75cd6678422!8m2!3d36.0716519!4d-83.9288969",gattis_pizza,
Gatti's Pizza,1616 W Broadway Ave,MARYVILLE,TN,37801-5600,8659819999.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@35.7373502,-83.9891704,17z/data=!3m1!4b1!4m5!3m4!1s0x885e9e440c6c2db9:0x57f03d53918a38e2!8m2!3d35.7373502!4d-83.9891704",gattis_pizza,
Gatti's Pizza,2665 Buffalo Gap Rd,ABILENE,TX,79605-6105,3256926326.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@32.4175753,-99.7486268,17z/data=!3m1!4b1!4m5!3m4!1s0x86568dc322e01da9:0x4ab01d684832431d!8m2!3d32.4175753!4d-99.7486268",gattis_pizza,
Gatti's Pizza,4412 S Western St,AMARILLO,TX,79109-6007,8063555601.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@35.1647478,-101.8850048,17z/data=!3m1!4b1!4m5!3m4!1s0x87014ffcca8fce7b:0x414170b5ded773b!8m2!3d35.1647478!4d-101.8850048",gattis_pizza,
Gatti's Pizza,2931 W Anderson Ln,AUSTIN,TX,78757-1122,5125838090.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@30.3589225,-97.7391374,17z/data=!3m1!4b1!4m5!3m4!1s0x8644cba6fcc8428b:0x6ea9ee9c251dc8a0!8m2!3d30.3589225!4d-97.7391374",gattis_pizza,
Gatti's Pizza,2121 W Parmer Ln,AUSTIN,TX,78727-4351,5125838086.0,"https://www.google.com/maps/place/Mr+Gatti's+Pizza/@30.4154594,-97.6970044,17z/data=!3m1!4b1!4m5!3m4!1s0x8644ce9ff88a2d89:0x9f6d882927a65918!8m2!3d30.4154594!4d-97.6970044",gattis_pizza,
