Field2,Unnamed: 1,Page URL,Name,Address,State,Town,Status
Donatos Pizza 825 W 10th St INDIANAPOLIS IN,(317) 231-9700,"https://www.google.com/maps/place/Donatos+Pizza/@39.7805648,-86.1748709,17z/data=!3m1!4b1!4m5!3m4!1s0x886b51be4f391195:0x72fbddad96f311fb!8m2!3d39.7805607!4d-86.1726822",Donatos Pizza,825 W 10th St,IN,INDIANAPOLIS,Scraped
Donatos Pizza 92 S Highway 27 SOMERSET KY,(606) 677-1700,"https://www.google.com/maps/place/Donatos+Pizza/@37.0931132,-85.1780855,9z/data=!4m8!1m2!2m1!1sDonatos+Pizza+92+S+Highway+27+SOMERSET+KY+42501-1737+(606)+677-1700!3m4!1s0x885d48155ac7e239:0x57fab54d5d373cf3!8m2!3d37.0931132!4d-84.6177828",Donatos Pizza,92 S Highway 27,KY,SOMERSET,Scraped
Donatos Pizza 2357 E 62nd St INDIANAPOLIS IN,(317) 722-8100,"https://www.google.com/maps/place/Donatos+Pizza/@39.8683473,-86.1258924,17z/data=!3m1!4b1!4m5!3m4!1s0x886b525a7aa8cc7b:0x71a520c244ad6476!8m2!3d39.8683432!4d-86.1237037",Donatos Pizza,2357 E 62nd St,IN,INDIANAPOLIS,Scraped
Donatos Pizza 3390 Maple Ave ZANESVILLE OH,(740) 452-7900,"https://www.google.com/maps/place/Donatos+Pizza/@39.9837821,-82.0222937,17z/data=!3m1!4b1!4m5!3m4!1s0x8837ed981f214ceb:0xa774b4c45ecf0af0!8m2!3d39.983778!4d-82.020105",Donatos Pizza,3390 Maple Ave,OH,ZANESVILLE,Scraped
Donatos Pizza 6407 Glenway Ave CINCINNATI OH,(513) 598-4200,"https://www.google.com/maps/place/Donatos+Pizza/@39.1495692,-84.6304115,17z/data=!3m1!4b1!4m5!3m4!1s0x8841ca5dc224c1bf:0xe800265db1ea8bef!8m2!3d39.1495651!4d-84.6282228",Donatos Pizza,6407 Glenway Ave,OH,CINCINNATI,Scraped
Donatos Pizza 8850 US Highway 42 FLORENCE KY,(859) 384-8796,"https://www.google.com/maps/place/Donatos+Pizza/@38.965877,-84.6805002,17z/data=!4m8!1m2!2m1!1sDonatos+Pizza+8850+US+Highway+42+FLORENCE+KY+41042-9640+(859)+384-8796!3m4!1s0x8841c6bf754f1fb7:0xb3e3fd8c75f97533!8m2!3d38.9658571!4d-84.6783447",Donatos Pizza,8850 US Highway 42,KY,FLORENCE,Scraped
Donatos Pizza 15 Donnermeyer Dr BELLEVUE KY,(859) 261-5700,"https://www.google.com/maps/place/Donatos+Pizza/@39.0133565,-84.6590151,12z/data=!4m8!1m2!2m1!1sDonatos+Pizza+15+Donnermeyer+Dr+BELLEVUE+KY+41073-1360+(859)+261-5700!3m4!1s0x8841b179bbfd82bb:0x106dcf808076075f!8m2!3d39.0976469!4d-84.4834074",Donatos Pizza,15 Donnermeyer Dr,KY,BELLEVUE,Scraped
Donatos Pizza 770 Nilles Rd FAIRFIELD OH,(513) 829-6999,"https://www.google.com/maps/place/Donatos+Pizza/@39.3378121,-84.5573547,17z/data=!3m1!4b1!4m5!3m4!1s0x884048f2c9bfa0d1:0x5ad355033768acc1!8m2!3d39.337808!4d-84.555166",Donatos Pizza,770 Nilles Rd,OH,FAIRFIELD,Scraped
Donatos Pizza 4200 Aero Dr MASON OH,(513) 770-4222,"https://www.google.com/maps/place/Donatos+Pizza/@39.3388126,-84.2944855,17z/data=!3m1!4b1!4m5!3m4!1s0x8840578d1f0a1b0d:0x17a38a210bae1ab9!8m2!3d39.3388085!4d-84.2922968",Donatos Pizza,4200 Aero Dr,OH,MASON,Scraped
Donatos Pizza 3890 Medina Rd AKRON OH,(330) 668-2133,"https://www.google.com/maps/place/Donatos+Pizza/@41.1353941,-81.6402345,17z/data=!3m1!4b1!4m5!3m4!1s0x8830d082e755dea9:0xeb6334704d13d4ae!8m2!3d41.1353901!4d-81.6380458",Donatos Pizza,3890 Medina Rd,OH,AKRON,Scraped
