Field2,Unnamed: 1,Page URL,Name,Address,State,Town,Status
Donatos Pizza 5465 Ridge Rd PARMA OH,(440) 843-6861,"https://www.google.com/maps/place/Donatos+Pizza/@41.4129823,-81.7360254,17z/data=!3m1!4b1!4m5!3m4!1s0x8830ef1d690d8977:0x96e2593285793370!8m2!3d41.4129783!4d-81.7338367",Donatos Pizza,5465 Ridge Rd,OH,PARMA,Scraped
Donatos Pizza 629 Montgomery Hwy VESTAVIA AL,(205) 824-1112,"https://www.google.com/maps/place/Donatos+Pizza/@33.4478743,-86.7914464,17z/data=!3m1!4b1!4m5!3m4!1s0x888919047e087bb3:0xdfc61d6dd032c618!8m2!3d33.4478698!4d-86.7892577",Donatos Pizza,629 Montgomery Hwy,AL,VESTAVIA,Scraped
Donatos Pizza 3044 Dixie Hwy EDGEWOOD KY,(859) 331-0889,"https://www.google.com/maps/place/Donatos+Pizza/@39.0222053,-84.5891456,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b818ef1baa85:0x12857c3da5a22b52!8m2!3d39.0222012!4d-84.5869569",Donatos Pizza,3044 Dixie Hwy,KY,EDGEWOOD,Scraped
Donatos Pizza 2769 Northland Plaza Dr COLUMBUS OH,(614) 895-0111,"https://www.google.com/maps/place/Donatos+Pizza/@40.0826423,-82.9470218,17z/data=!3m1!4b1!4m5!3m4!1s0x883863ea1b9fc36b:0x6d508dc7cd2920cd!8m2!3d40.0826382!4d-82.9448331",Donatos Pizza,2769 Northland Plaza Dr,OH,COLUMBUS,Scraped
Donatos Pizza 7813 US 31 S INDIANAPOLIS IN,(317) 885-2900,"https://www.google.com/maps/place/Donatos+Pizza/@39.6529207,-86.1382735,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5c6131ca3a1b:0x6912b25ebf13b324!8m2!3d39.6529166!4d-86.1360848",Donatos Pizza,7813 US 31,IN,S INDIANAPOLIS,Scraped
Donatos Pizza 2260 US Highway 31 S GREENWOOD IN,(317) 884-3220,"https://www.google.com/maps/place/Donatos+Pizza/@39.5833167,-86.1024982,17z/data=!3m1!4b1!4m5!3m4!1s0x886b67f917719eb3:0x82fe9e41ed25473!8m2!3d39.5833126!4d-86.1003095",Donatos Pizza,2260 US Highway 31,IN,S GREENWOOD,Scraped
Donatos Pizza 813 E Main St BROWNSBURG IN,(317) 858-2680,"https://www.google.com/maps/place/Donatos+Pizza/@39.838165,-86.3858253,17z/data=!3m1!4b1!4m5!3m4!1s0x886cae795166d401:0xa5935993f7541f44!8m2!3d39.8381609!4d-86.3836366",Donatos Pizza,813 E Main St,IN,BROWNSBURG,Scraped
Donatos Pizza 7177 Cincinnati Dayton Rd CINCINNATI OH,(513) 759-7170,"https://www.google.com/maps/place/Donatos+Pizza/@39.37087,-84.3873784,17z/data=!3m1!4b1!4m5!3m4!1s0x88405a680db9dc3b:0x636009bd67239599!8m2!3d39.3708659!4d-84.3851897",Donatos Pizza,7177 Cincinnati Dayton Rd,OH,CINCINNATI,Scraped
Donatos Pizza 4303 Roosevelt Blvd MIDDLETOWN OH,(513) 727-0999,"https://www.google.com/maps/place/Donatos+Pizza/@39.4998922,-84.3591093,17z/data=!3m1!4b1!4m5!3m4!1s0x88405de17df29e55:0x477b5c96096fb499!8m2!3d39.4998881!4d-84.3569206",Donatos Pizza,4303 Roosevelt Blvd,OH,MIDDLETOWN,Scraped
Donatos Pizza 8087 Beckett Center Dr WEST CHESTER OH,(513) 346-3150,"https://www.google.com/maps/place/Donatos+Pizza/@39.3555649,-84.4626922,17z/data=!3m1!4b1!4m5!3m4!1s0x8840456007e1dff5:0x712962bde753e9ed!8m2!3d39.3555608!4d-84.4605035",Donatos Pizza,8087 Beckett Center Dr,OH,WEST CHESTER,Scraped
Donatos Pizza 1201 Columbus Ave LEBANON OH,(513) 934-3228,"https://www.google.com/maps/place/Donatos+Pizza/@39.4518791,-84.1852324,17z/data=!3m1!4b1!4m5!3m4!1s0x8840f38909f61ce3:0x50ba86a29f54b39!8m2!3d39.451875!4d-84.1830437",Donatos Pizza,1201 Columbus Ave,OH,LEBANON,Scraped
Donatos Pizza 11309 Montgomery Rd CINCINNATI OH,(513) 489-4500,"https://www.google.com/maps/place/Donatos+Pizza/@39.2861147,-84.3110757,17z/data=!3m2!4b1!5s0x884056996d26cbe9:0x3333a57057b97db0!4m5!3m4!1s0x884056992561ee1b:0x404d70fb628b6e3e!8m2!3d39.2861106!4d-84.308887",Donatos Pizza,11309 Montgomery Rd,OH,CINCINNATI,Scraped
Donatos Pizza 1214 Hill Rd N PICKERINGTON OH,(614) 759-8000,"https://www.google.com/maps/place/Donatos+Pizza/@39.9126062,-82.7805931,17z/data=!3m1!4b1!4m5!3m4!1s0x88387b29eabd3221:0x8aa5d4dc3ac6155d!8m2!3d39.9126021!4d-82.7784044",Donatos Pizza,1214 Hill Rd,OH,N PICKERINGTON,Scraped
