Store Company ID,Company Name,Address 1,City,State,Zip,Country,Phone
1000927683,McDonald's,1 Central St,CIRCLE PINES,MN,55014-1761,United States of America,7637803937.0
1000927710,McDonald's,1 Garden State Plz,PARAMUS,NJ,07652-2417,United States of America,2013683403.0
1000927711,McDonald's,1 Gateway Blvd E,SAVANNAH,GA,31419-9745,United States of America,9129610802.0
1000927731,McDonald's,1 Lemoyne Dr,LEMOYNE,PA,17043-1226,United States of America,7177617992.0
1000927769,McDonald's,1 Park Plz,MECHANICVILLE,NY,12118-1520,United States of America,5186648844.0
1000927778,McDonald's,1 Plaza Dr,BEARDSTOWN,IL,62618-8504,United States of America,2173235955.0
1000927779,McDonald's,1 Poplar St,CRAFTON,PA,15205-4324,United States of America,4129213132.0
1000927797,McDonald's,1 S Poplar St,PANA,IL,62557-1401,United States of America,2175625087.0
1000927811,McDonald's,1 Topsham Fair Mall Rd,TOPSHAM,ME,04086-1732,United States of America,2077295010.0
1000927812,McDonald's,1 Traders Way,SALEM,MA,01970-1867,United States of America,9787449631.0
1000927822,McDonald's,1 W Camden Ave,MOORESTOWN,NJ,08057-1501,United States of America,8567271244.0
1000927850,McDonald's,10 Blackburn Ln,DRY RIDGE,KY,41035,United States of America,8598246249.0
1000927856,McDonald's,10 E Sycamore St,CANTON,IL,61520-1267,United States of America,3096478333.0
1000927863,McDonald's,34 Highway 71 N,WALDRON,AR,72958-7066,United States of America,4796373650.0
1000927874,McDonald's,10 Maryland Ave,CRISFIELD,MD,21817,United States of America,4109681368.0
1000927657,McDonald's,1 1st Ave SE,OELWEIN,IA,50662-2318,United States of America,3192833425.0
1000927698,McDonald's,1 E North Ave,NORTHLAKE,IL,60164-2517,United States of America,7086811073.0
1000927764,McDonald's,1 NW 67th St,LAWTON,OK,73505-5631,United States of America,5805108084.0
1000927788,McDonald's,1 Red Pump Rd,BEL AIR,MD,21014-1912,United States of America,4108385129.0
1000927796,McDonald's,1 S Pompano Pkwy,POMPANO BEACH,FL,33069-3001,United States of America,9549717626.0
1000927817,McDonald's,1 Addy Rd,BETHANY BEACH,DE,19930,United States of America,3025371226.0
1000927819,McDonald's,1 Varnum Ave,LOWELL,MA,01854-2510,United States of America,9784541199.0
1000927829,McDonald's,1 W Mount Eden Ave,BRONX,NY,10452-2003,United States of America,7189014930.0
1000927849,McDonald's,10 Biesterfield Rd,ELK GROVE VILLAGE,IL,60007-3668,United States of America,8473644525.0
1000927854,McDonald's,10 E Chicago Ave,CHICAGO,IL,60611-2009,United States of America,3126499262.0
1000927868,McDonald's,20 John Stark Hwy,NEWPORT,NH,03773-1808,United States of America,6038637818.0
1000927871,McDonald's,10 Main St,TONAWANDA,NY,14150-2106,United States of America,7162130061.0
1000927888,McDonald's,10 Resort Plaza Dr,BLAIRSVILLE,PA,15717-7932,United States of America,7244598832.0
1000927889,McDonald's,10 Rising Sun Town Ctr,RISING SUN,MD,21911-1902,United States of America,4106587045.0
1000927891,McDonald's,10 Rt 22 W,GREEN BROOK,NJ,8812,United States of America,9087530455.0
1000927899,McDonald's,10 Schalks Crossing Rd,PLAINSBORO,NJ,08536-1612,United States of America,6098970190.0
1000927901,McDonald's,10 Simpson Rd,COLUMBIA,NJ,7832,United States of America,9084968600.0
1000927911,McDonald's,10 W Rampart St,SHELBYVILLE,IN,46176-9472,United States of America,3173923312.0
1000927912,McDonald's,10 W Sunrise Hwy,VALLEY STREAM,NY,11581-1127,United States of America,5168233475.0
1000927913,McDonald's,10 W Water St,PINCKNEYVILLE,IL,62274-1028,United States of America,6183573756.0
1000927935,McDonald's,100 Brookside Rd,ATHOL,MA,01331-2155,United States of America,9782499866.0
1000927944,McDonald's,100 Cane Creek Rd,WARRIOR,AL,35180,United States of America,2055901183.0
1000927962,McDonald's,100 Craft Dr,ALAMOSA,CO,81101-2272,United States of America,7195892228.0
1000927985,McDonald's,100 Garfield St S,CAMBRIDGE,MN,55008-1761,United States of America,7636899015.0
1000927986,McDonald's,100 Garrett Morris Pkwy,MINERAL WELLS,TX,76067-9612,United States of America,9403281930.0
1000927997,McDonald's,1001 Hobbs Hwy,SEMINOLE,TX,79360-3321,United States of America,4327582992.0
1000927999,McDonald's,100 Imperial Way,NICHOLASVILLE,KY,40356-2502,United States of America,8592451131.0
1000928006,McDonald's,249 Lexington Rd,LANCASTER,KY,40444,United States of America,8597929493.0
1000928007,McDonald's,100 Lisbon St,WELLSVILLE,OH,43968-1741,United States of America,3305323334.0
