Company ID,Industry ID,Industry Name,Company Name,Address 1,City,State,Zip,Listing Type,Country,Phone,Parent_ID,Parent Name,Parent City,Parent State,Parent Zip,Headquarters ID,HQ Name,HQ City,HQ State,HQ Zip,Store No,Store Weekly Volume,FIPS,FIPS_DESC,CBSA,CBSA_DESC,MSA,MSA_DESC,PMSA,PMSA_DESC,Lat,Lon,GeoLevel,MatchStatus,Score,Drive-Thru Window,Wi-Fi
1000928155,51,Locations: Chain Restaurants,McDonald's,1000 Commerce St,DALLAS,TX,75202-3716,Location,United States of America,4692278533.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,56550.0,48113.0,DALLAS,19100.0,"Dallas-Fort Worth-Arlington, TX",1922.0,"DALLAS-FORT WORTH, TX",1920.0,"DALLAS, TX",32.778673,-96.803027,Approximate,,,Drive-Thru Window,Wi-Fi
1000928178,51,Locations: Chain Restaurants,McDonald's,1000 Mack Ave,DETROIT,MI,48207-2000,Location,United States of America,3138324100.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,53530.0,26163.0,WAYNE,19820.0,"Detroit-Warren-Dearborn, MI",2162.0,"DETROIT-ANN ARBOR-FLINT, MI",2160.0,"DETROIT, MI",42.3513303,-83.0465039,Approximate,,,Drive-Thru Window,Wi-Fi
1000928326,51,Locations: Chain Restaurants,McDonald's,10019 E Adamo Dr,TAMPA,FL,33619-2619,Location,United States of America,8132523716.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,50880.0,12057.0,HILLSBOROUGH,45300.0,"Tampa-St. Petersburg-Clearwater, FL",8280.0,"TAMPA-SAINT PETERSBURG-CLEARWATER, FL",,,27.9436778,-82.33653050000002,Approximate,,,Drive-Thru Window,Wi-Fi
1000928607,51,Locations: Chain Restaurants,McDonald's,101 W Manchester Ave,LOS ANGELES,CA,90003-3323,Location,United States of America,3237582740.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,72230.0,6037.0,LOS ANGELES,31080.0,"Los Angeles-Long Beach-Anaheim, CA",4472.0,"LOS ANGELES-RIVERSIDE-ORANGE COUNTY, CA",4480.0,"LOS ANGELES-LONG BEACH, CA",33.9604451,-118.2743615,Approximate,,,Drive-Thru Window,Wi-Fi
1000928807,51,Locations: Chain Restaurants,McDonald's,10183 Highway 90 E,MORGAN CITY,LA,70380,Location,United States of America,9856310510.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,47580.0,22101.0,SAINT MARY,34020.0,"Morgan City, LA",,,,,29.6614883,-91.1212725,Approximate,,,Drive-Thru Window,Wi-Fi
1000929240,51,Locations: Chain Restaurants,McDonald's,104 & Whiskey Hill Rd,WOLCOTT,NY,14590,Location,United States of America,3155941225.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,47830.0,36117.0,WAYNE,40380.0,"Rochester, NY",6840.0,"ROCHESTER, NY",,,43.20825900000001,-76.8132981,Approximate,,,Drive-Thru Window,Wi-Fi
1000929289,51,Locations: Chain Restaurants,McDonald's,10417 S Tacoma Way,TACOMA,WA,98499-4648,Location,United States of America,2535812264.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,53400.0,53053.0,PIERCE,42660.0,"Seattle-Tacoma-Bellevue, WA",7602.0,"SEATTLE-TACOMA-BREMERTON, WA",8200.0,"TACOMA, WA",47.163254,-122.4830706,Approximate,,,Drive-Thru Window,Wi-Fi
1000929816,51,Locations: Chain Restaurants,McDonald's,12700 Shops Ln,FAIRFAX,VA,22033,Location,United States of America,7039683620.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,55140.0,51059.0,FAIRFAX,47900.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",8872.0,"WASHINGTON-BALTIMORE, DC-MD-VA-WV",8840.0,"WASHINGTON, DC-MD-VA-WV",38.8614245,-77.3871227,Approximate,,,Drive-Thru Window,Wi-Fi
1000929830,51,Locations: Chain Restaurants,McDonald's,108 Central Ave,LINDEN,NJ,07066-1112,Location,United States of America,7323963445.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,55150.0,34039.0,UNION,35620.0,"New York-Newark-Jersey City, NY-NJ-PA",5602.0,"NEW YORK-NORTHERN NEW JERSEY-LONG ISLAND, NY-NJ-CT-PA",5640.0,"NEWARK, NJ",40.629032,-74.306536,Approximate,,,Drive-Thru Window,Wi-Fi
1000930731,51,Locations: Chain Restaurants,McDonald's,1118 E Slauson Ave,LOS ANGELES,CA,90011-4800,Location,United States of America,3232312740.0,1000017996,McDonald's Corporation,CHICAGO,IL,60607,,,,,,,62760.0,6037.0,LOS ANGELES,31080.0,"Los Angeles-Long Beach-Anaheim, CA",4472.0,"LOS ANGELES-RIVERSIDE-ORANGE COUNTY, CA",4480.0,"LOS ANGELES-LONG BEACH, CA",33.989048,-118.256074,Approximate,,,Drive-Thru Window,Wi-Fi
