Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Papa John's Pizza,1201 Hill Rd N,PICKERINGTON,OH,43147-8888,6148647272.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@39.9115851,-82.7805497,17z/data=!3m1!4b1!4m5!3m4!1s0x88387b29bd3c2961:0xbfda79c834480b55!8m2!3d39.9115851!4d-82.7805497",papa_johns_pizza,
Papa John's Pizza,100 W Walnut Ave,DALTON,GA,30720-8427,7062788181.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@34.7625732,-84.9709689,17z/data=!3m1!4b1!4m5!3m4!1s0x8860753244ea7439:0x7d6f9607036f2c22!8m2!3d34.7625732!4d-84.9709689",papa_johns_pizza,
Papa John's Pizza,1001 N State St,GREENFIELD,IN,46140-1205,3174627900.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@39.7967822,-85.7693701,17z/data=!3m1!4b1!4m5!3m4!1s0x886b31ded0d87561:0x848ee101a4074f94!8m2!3d39.7967822!4d-85.7693701",papa_johns_pizza,
Papa John's Pizza,1010 Wesley Dr,MECHANICSBURG,PA,17055-5467,7177957272.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@40.2116591,-76.9621885,17z/data=!3m1!4b1!4m5!3m4!1s0x89c8e9d2e4e0da69:0xaf84a5eebeef20c6!8m2!3d40.2116591!4d-76.9621885",papa_johns_pizza,
Papa John's Pizza,10100 Taylorsville Rd,LOUISVILLE,KY,40299-3623,5022667272.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@38.1981955,-85.5726685,17z/data=!4m5!3m4!1s0x8869a05092409a59:0xa3a0d71582433e5!8m2!3d38.1981913!4d-85.5704798?hl=en",papa_johns_pizza,
Papa John's Pizza,100 N Henrietta St,EFFINGHAM,IL,62401-1823,2173474744.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@39.1223787,-88.5557598,17z/data=!3m1!4b1!4m5!3m4!1s0x8873973525ffea1f:0xd5889b7e8593016!8m2!3d39.1223787!4d-88.5557598",papa_johns_pizza,
Papa John's Pizza,1000 Cooper St,DEPTFORD,NJ,08096-3011,8562511115.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@39.8284305,-75.1235999,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6d026a9b20293:0x3bcb2836049a1444!8m2!3d39.8284305!4d-75.1235999",papa_johns_pizza,
Papa John's Pizza,10008 Two Notch Rd,COLUMBIA,SC,29223-4316,8038651181.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@34.1120578,-80.8934362,17z/data=!3m1!4b1!4m5!3m4!1s0x88f8abd9789edaad:0x26582ab7fed32413!8m2!3d34.1120578!4d-80.8934362",papa_johns_pizza,
Papa John's Pizza,1001 Broadway,SAN DIEGO,CA,92101-5547,6192302100.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@32.7155834,-117.1575928,17z/data=!4m5!3m4!1s0x80d9535f511ae789:0x16e683daca09d29f!8m2!3d32.7155789!4d-117.1554041?hl=en",papa_johns_pizza,
Papa John's Pizza,1001 S Federal Hwy,BOYNTON BEACH,FL,33435-5659,5617347272.0,"https://www.google.com/maps/place/Papa+John's+Pizza/@26.5193002,-80.0586128,17z/data=!3m1!4b1!4m5!3m4!1s0x88d8df1f571a23eb:0xeb55629af41c22d5!8m2!3d26.5193002!4d-80.0586128",papa_johns_pizza,
