Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Pizza Factory,238 E State Highway 260,PAYSON,AZ,85541-4927,9284741895.0,"https://www.google.com/maps/place/Pizza+Factory/@34.2420726,-111.3196175,17z/data=!3m1!4b1!4m5!3m4!1s0x872c10dd774022c9:0xdfc026a41da0035e!8m2!3d34.2420726!4d-111.3196175",pizza_factory,
Pizza Factory,100 N White Mountain Rd,SHOW LOW,AZ,85901-5264,9285377771.0,"https://www.google.com/maps/place/Pizza+Factory/@34.2510198,-110.0313977,17z/data=!4m5!3m4!1s0x872f34bc71ef8267:0xef9f70f692fefd67!8m2!3d34.2510154!4d-110.029209?hl=en",pizza_factory,
Pizza Factory,21765 W Yuma Rd,BUCKEYE,AZ,85326-8716,6236916333.0,"https://www.google.com/maps/place/Pizza+Factory/@33.4350015,-112.5188568,17z/data=!3m1!4b1!4m5!3m4!1s0x872b360583252d73:0xecd59f26da34a356!8m2!3d33.4350015!4d-112.5188568",pizza_factory,
Pizza Factory,970 N Main St,BISHOP,CA,93514-2406,7608728888.0,"https://www.google.com/maps/place/Pizza+Factory/@37.371144,-118.395078,17z/data=!3m1!4b1!4m5!3m4!1s0x80be1607181a61bf:0x4930e36a6f1ba909!8m2!3d37.371144!4d-118.395078",pizza_factory,
Pizza Factory,197 Main St,CHESTER,CA,96020,5302583155.0,"https://www.google.com/maps/place/Pizza+Factory/@40.31126,-121.22727,17z/data=!3m1!4b1!4m5!3m4!1s0x809d6a2632cb61c9:0xc1071a808ab990c7!8m2!3d40.31126!4d-121.22727",pizza_factory,
Pizza Factory,5804 Dunsmuir Ave,DUNSMUIR,CA,96025-2330,5302354849.0,"https://www.google.com/maps/place/Pizza+Factory/@41.2108313,-122.2717669,17z/data=!3m1!4b1!4m5!3m4!1s0x54cdeec4f35bcb69:0xc25aa8cc1ab72cc3!8m2!3d41.2108313!4d-122.2717669",pizza_factory,
Pizza Factory,10 E Main St,IONE,CA,95640,2092740270.0,"https://www.google.com/maps/place/Pizza+Factory/@38.3524744,-120.9330801,17z/data=!3m1!4b1!4m5!3m4!1s0x809a87c9ad6f3deb:0x246e024cf1f34895!8m2!3d38.3524744!4d-120.9330801",pizza_factory,
Pizza Factory,14088 E Highway 88,LOCKEFORD,CA,95237-9540,2097273707.0,"https://www.google.com/maps/place/Pizza+Factory/@38.1668872,-121.1447212,17z/data=!3m1!4b1!4m5!3m4!1s0x809a9d9250e2b46d:0x8675b3f790225edd!8m2!3d38.1668872!4d-121.1447212",pizza_factory,
Pizza Factory,1242 Broadway,PLACERVILLE,CA,95667-5806,5306263034.0,"https://www.google.com/maps/place/Pizza+Factory/@38.7304465,-120.7861182,17z/data=!3m1!4b1!4m5!3m4!1s0x809a50bc0f08dba7:0xe9ac0f586eabed05!8m2!3d38.7304465!4d-120.7861182",pizza_factory,
Pizza Factory,201 Main St,RIO VISTA,CA,94571-1736,7073746868.0,"https://www.google.com/maps/place/Pizza+Factory/@38.1564373,-121.6919137,17z/data=!3m1!4b1!4m5!3m4!1s0x80854d923c6a2bb1:0xa6b57a31ab37ef7d!8m2!3d38.1564373!4d-121.6919137",pizza_factory,
