Company Name,Address 1,City,State,Zip,Phone,Google Link,Company Name Processed,Status
Round Table Pizza,1003 Guerneville Rd,SANTA ROSA,CA,95405,7075279999.0,"https://www.google.com/maps/place/Round+Table+Pizza/@38.4604382,-122.7299077,17z/data=!4m5!3m4!1s0x80843871a61ac02f:0x9a821a1b911f4c60!8m2!3d38.460434!4d-122.727719?hl=en",round_table_pizza,
Round Table Pizza,10101 Valley View St,CYPRESS,CA,90630-4602,7149952422.0,"https://www.google.com/maps/place/Round+Table+Pizza/@33.815301,-118.029344,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2eb7b8dde0c7:0x95866decf84c3977!8m2!3d33.815301!4d-118.029344",round_table_pizza,
Round Table Pizza,1020 N Mountain Ave,ONTARIO,CA,91764,9099888444.0,"https://www.google.com/maps/place/Round+Table+Pizza/@34.077087,-117.668612,17z/data=!3m1!4b1!4m5!3m4!1s0x80c333dcd505f59b:0x78f61b4d94e7a90c!8m2!3d34.077087!4d-117.668612",round_table_pizza,
Round Table Pizza,1020 Pleasant Grove Blvd,ROSEVILLE,CA,95661,9167899440.0,"https://www.google.com/maps/place/Round+Table+Pizza/@38.778676,-121.289955,17z/data=!3m1!4b1!4m5!3m4!1s0x809b2195f6cd5f21:0x9e95a910d6788b8d!8m2!3d38.778676!4d-121.289955",round_table_pizza,
Round Table Pizza,10375 Folsom Blvd,RANCHO CORDOVA,CA,95826,9163622348.0,"https://www.google.com/maps/place/Round+Table+Pizza/@38.589461,-121.305035,17z/data=!3m1!4b1!4m5!3m4!1s0x809add1e9715f123:0x41949375c85c949e!8m2!3d38.589461!4d-121.305035",round_table_pizza,
Round Table Pizza,10389 SE 82nd Ave,HAPPY VALLEY,OR,97215,5037743129.0,"https://www.google.com/maps/place/Round+Table+Pizza/@45.44765,-122.580044,17z/data=!3m1!4b1!4m5!3m4!1s0x54957563d1802d41:0xb60d40d98fbe2046!8m2!3d45.44765!4d-122.580044",round_table_pizza,
Round Table Pizza,10415 Tierrasanta Blvd,SAN DIEGO,CA,92123,8582773111.0,"https://www.google.com/maps/place/Round+Table+Pizza/@32.823067,-117.103094,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbfe3d5cecf6db:0xa307a7f521765425!8m2!3d32.823067!4d-117.103094",round_table_pizza,
Round Table Pizza,11095 Warner Ave,FOUNTAIN VALLEY,CA,92704,7148390276.0,"https://www.google.com/maps/place/Round+Table+Pizza/@33.7267795,-118.0264834,12z/data=!4m8!1m2!2m1!1sRound+Table+Pizza+11095+Warner+Ave+FOUNTAIN+VALLEY+CA+92704!3m4!1s0x80dd276614195931:0xa95d66294a1aeb4!8m2!3d33.716768!4d-117.935456?hl=en",round_table_pizza,
Round Table Pizza,2550 Berryessa Rd,SAN JOSE,CA,95116,4082588505.0,"https://www.google.com/maps/place/Round+Table+Pizza/@37.3220173,-122.233816,10z/data=!4m8!1m2!2m1!1sRound+Table+Pizza+3730+N+1st+St+SAN+JOSE+CA+95131!3m4!1s0x808fcc4a75cac61d:0x4519ba02e529002f!8m2!3d37.3877708!4d-121.8576794?hl=en",round_table_pizza,
Round Table Pizza,1175 Baker St,COSTA MESA,CA,92799,7145492101.0,"https://www.google.com/maps/place/Round+Table+Pizza/@33.679823,-117.906521,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcdf41ee8f6505:0x9b64e79744db0f3f!8m2!3d33.679823!4d-117.906521",round_table_pizza,
Round Table Pizza,1175 Lincoln Ave,SAN JOSE,CA,95110,4082954644.0,"https://www.google.com/maps/place/Round+Table+Pizza+Willow+Glen/@37.307099,-121.900344,17z/data=!3m1!4b1!4m5!3m4!1s0x808e335821100401:0x16f7e16ea720c10c!8m2!3d37.307099!4d-121.900344",round_table_pizza,
Round Table Pizza,"10894 Combie Road, No. 128",AUBURN,CA,95602-8954,5302680433.0,"https://www.google.com/maps/place/Round+Table+Pizza/@38.973542,-121.1455589,12z/data=!4m8!1m2!2m1!1sRound+Table+Pizza+AUBURN+CA!3m4!1s0x809b1278ea8318d7:0x44016d04d0db6fe7!8m2!3d39.041433!4d-121.078567?hl=en",round_table_pizza,
Round Table Pizza,1118 Branham Ln,SAN JOSE,CA,95124,4082647155.0,"https://www.google.com/maps/place/Round+Table+Pizza/@37.26215,-121.877525,17z/data=!3m1!4b1!4m5!3m4!1s0x808e33c1c49739a1:0x638399b09f13222e!8m2!3d37.26215!4d-121.877525",round_table_pizza,
Round Table Pizza,1127 Fair Oaks Ave,SOUTH PASADENA,CA,91030-3311,6264414269.0,"https://www.google.com/maps/place/Round+Table+Pizza/@34.113288,-118.151261,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2c48ce00ac70f:0x10a20680c46d61e9!8m2!3d34.113288!4d-118.151261",round_table_pizza,
Round Table Pizza,1159 Redmond Ave,SAN JOSE,CA,95120-2749,4082687474.0,"https://www.google.com/maps/place/Round+Table+Pizza/@37.230074,-121.871744,17z/data=!3m1!4b1!4m5!3m4!1s0x808e316cb6a8a255:0x485ef86f58a3591b!8m2!3d37.230074!4d-121.871744",round_table_pizza,
Round Table Pizza,1139 Grand Ave,DIAMOND BAR,CA,91765-4120,9098619432.0,"https://www.google.com/maps/place/Round+Table+Pizza/@34.000726,-117.812605,17z/data=!3m1!4b1!4m5!3m4!1s0x80c32c927e755a2f:0x7849b25a9fd7a558!8m2!3d34.000726!4d-117.812605",round_table_pizza,
Round Table Pizza,1237 W Wood St,WILLOWS,CA,95988-2616,5309342838.0,"https://www.google.com/maps/place/Round+Table+Pizza/@39.5244529,-122.2100933,17z/data=!3m1!4b1!4m5!3m4!1s0x808305051c7966ab:0x405569c4ba6f4d4d!8m2!3d39.5244529!4d-122.2100933",round_table_pizza,
Round Table Pizza,11617 Cherry Ave,FONTANA,CA,92336,9093573050.0,"https://www.google.com/maps/place/Round+Table+Pizza/@34.042825,-117.48603,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcb4cec969d763:0xfdc9a180e811e6b1!8m2!3d34.042825!4d-117.48603",round_table_pizza,
Round Table Pizza,120 Nugget Ln,WEAVERVILLE,CA,96033,5306234551.0,"https://www.google.com/maps/place/Round+Table+Pizza/@40.720767,-122.9290069,17z/data=!3m1!4b1!4m5!3m4!1s0x54d2522f015d36e9:0x54fda15599122678!8m2!3d40.720767!4d-122.9290069",round_table_pizza,
Round Table Pizza,1212 E 17th St,SANTA ANA,CA,92706,7145426111.0,"https://www.google.com/maps/place/Round+Table+Pizza/@33.759655,-117.853625,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcd998964bab2d:0xca738c2647b3f39!8m2!3d33.759655!4d-117.853625",round_table_pizza,
Round Table Pizza,1225 El Camino Real,MENLO PARK,CA,94304,6503216861.0,"https://www.google.com/maps/place/Round+Table+Pizza/@37.454376,-122.184997,17z/data=!3m1!4b1!4m5!3m4!1s0x808fa4af9d427ec9:0xecfb27f12a215115!8m2!3d37.454376!4d-122.184997",round_table_pizza,
Round Table Pizza,1202 S Idaho St,LA HABRA,CA,90631-0607,5626902205.0,"https://www.google.com/maps/place/Round+Table+Pizza/@33.9164896,-117.9587714,17z/data=!3m1!4b1!4m5!3m4!1s0x80dd2ac340fdb423:0x3b0dd7733d098a7c!8m2!3d33.9164896!4d-117.9587714",round_table_pizza,
Round Table Pizza,1285 Linda Mar Shopping Ctr,PACIFICA,CA,94044-3347,6507381010.0,"https://www.google.com/maps/place/Round+Table+Pizza/@37.594661,-122.504532,17z/data=!3m1!4b1!4m5!3m4!1s0x808f708c0c5ec3b7:0xac7501e1c4d81b15!8m2!3d37.594661!4d-122.504532",round_table_pizza,
Round Table Pizza,1304 W Hillsdale Blvd,SAN MATEO,CA,94402,6505735858.0,"https://www.google.com/maps/place/Round+Table+Pizza/@37.534027,-122.326945,17z/data=!3m1!4b1!4m5!3m4!1s0x808f9fb34ba60c33:0x6b759002c9a182cf!8m2!3d37.534027!4d-122.326945",round_table_pizza,
Round Table Pizza,13293 Black Mountain Rd,SAN DIEGO,CA,92126,8584846800.0,"https://www.google.com/maps/place/Round+Table+Pizza/@32.9588681,-117.1249219,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf833351306a5:0x17e642502f40b42a!8m2!3d32.9588681!4d-117.1249219",round_table_pizza,
Round Table Pizza,13503 SE Mill Plain Blvd,VANCOUVER,WA,98664,3602534921.0,"https://www.google.com/maps/place/Round+Table+Pizza/@45.617696,-122.534326,17z/data=!3m1!4b1!4m5!3m4!1s0x5495a4d84bf34893:0xeffeb0bf238aa9a0!8m2!3d45.617696!4d-122.534326",round_table_pizza,
Round Table Pizza,13771 Newport Ave,TUSTIN,CA,92701,7148382242.0,"https://www.google.com/maps/place/Round+Table+Pizza/@33.740389,-117.820769,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcdbdd43d56db7:0x7484b46ae5d2e840!8m2!3d33.740389!4d-117.820769",round_table_pizza,
Round Table Pizza,14020 SE Petrovitsky Rd,RENTON,WA,98056,4252772100.0,"https://www.google.com/maps/place/Round+Table+Pizza/@47.3674847,-122.3816253,11z/data=!4m8!1m2!2m1!1sRound+Table+Pizza+14020+SE+Petrovitsky+Rd+RENTON+WA+98056!3m4!1s0x5490677de120e6a3:0x218d35ddef7fb36d!8m2!3d47.44591!4d-122.152606?hl=en",round_table_pizza,
Round Table Pizza,1307 Florin Rd,SACRAMENTO,CA,95824,9164227557.0,"https://www.google.com/maps/place/Round+Table+Pizza/@38.496447,-121.509554,17z/data=!3m1!4b1!4m5!3m4!1s0x809ace22e0e206ad:0x71139de04b206720!8m2!3d38.496447!4d-121.509554",round_table_pizza,
Round Table Pizza,150 Alamo Plz,ALAMO,CA,94506,9258376660.0,"https://www.google.com/maps/place/Round+Table+Pizza/@37.852197,-122.036275,17z/data=!3m1!4b1!4m5!3m4!1s0x808f8b01979f76b3:0x42f9beca7b7745dd!8m2!3d37.852197!4d-122.036275",round_table_pizza,
Round Table Pizza,1321 Encinitas Blvd,ENCINITAS,CA,92024-2845,7607538303.0,"https://www.google.com/maps/place/Round+Table+Pizza/@33.044843,-117.261252,17z/data=!3m1!4b1!4m5!3m4!1s0x80dc0bf35cbf3945:0x5166cde70eab726b!8m2!3d33.044843!4d-117.261252",round_table_pizza,
