name,stars,text,timeSince,openStatus,key
Isaac Vandermeulen,5.0,"Despite a fairly long line, the pizza was ready quickly. I was happy to be able to add pineapple to my pizza. Good place if you want a quick cheap pizza",2 weeks ago,Open,209
Sandra Patlan,4.0,"I think the pizza here is pretty good. It's kinda like a subway but for pizza, you get to customize your pizza but they also have signature pizzas that are ready to order. I ordered two pizzas,4 drinks, and a ceasar salad, the total came to …More",a year ago,Open,209
Karen Z,5.0,The staff here are lovely! They really take their time and craft your personalized pizza the way you want it! Takes a lot of patience. Thank you for making the experience so enjoyable.,3 months ago,Open,209
Mike Lopez,5.0,"AWESOME customer service, AWESOME pizza! Thanks for everything! Great service!",2 days ago,Open,209
Norman Leon,4.0,Blaze Pizza blew me away with its friendly staff and excellent pizza ingrediants. Build your own or try their signature pizzas. Its all good! 😎 I looked them up and they're in Michigan too. Better than California Pizza Kitchen they're blazing a trail to new way of enjoying America's favorite 'sin food'. 😈,2 years ago,Open,209
Karen Cohen,5.0,Build yourself a custom pizza! I love this place. Didt like the keto crust but that's just me,2 weeks ago,Open,209
Sonny,5.0,Picked up a couple of large pizzas (Pep and Chicken/arugula)and they were surprisingly good.  A little thicker than the regular pies but just as good.,2 months ago,Open,209
Vishaal Buch,5.0,"Blaze is fast, fresh and tasty! It is a nice change of pace compared to the long term nor als like Dominoes or Papa John's. A little pricier and a bit smaller in size, but worth it!",4 months ago,Open,209
Michael Flynn,5.0,This blaze location is amazing! Wonderful food and even better service. I received a wrong postmates order and they went above and beyond for me the next day! Thank you for the service and hope you guys stay safe,5 months ago,Open,209
Boone Howell,5.0,"At the first moment  you arrive in that restaurant  the personel give you a good feeling. Very comfortable waiters, it is a happy place to  pass time with friends or with your date. delicious  meals, specialist  chef, competitive  price and generous  service. Warmly recommended.",5 months ago,Open,209
Linn Hummel,5.0,The headquarters location is still the best! Best service! Friendly. Fun. And it doesn't hurt that the pizza is yummy too!☺,4 months ago,Open,209
Tony Rascon,5.0,Good food and great service. Employees are helpful when you are deciding which pizza you want to get.,3 months ago,Open,209
Annette O,5.0,I'm in town for business reasons and walked from my hotel to Blaze (which turned out to be 1.1mi) but it was so so worth the exercise walk it turned out to be. I ordered the veggie out pizza on gluten free crust and added additional …More,8 months ago,Open,209
Mike Trepp,3.0,"Tried curbside pickup for the first time.  Upon arriving, I called the number as instructed and have them my name and was told they'd be right out. After 10 minutes I called again with no answer. Went inside and my order was sitting there. Probably won't use curbside again.",2 weeks ago,Open,209
Adrian Casey,5.0,Build your own delicious pizza without a doubt!,a month ago,Open,209
Tom Bodell,5.0,"Took all my willpower to only go once while in Pasadena. Watch your pizza come to life in front of you with your spec. and then have it served within 10 minutes. Super quick, super food and super value. Get garlic knots too!",2 years ago,Open,209
TJ Joubert,5.0,"Great crust with all the trimmings you want when you ""build your own""! Tastes great!",a year ago,Open,209
Charles Carroll,5.0,"Thin crust, freshly made pizza that can feed 2, if you're just looking for a snack. I stopped in with a friend after a movie, and it was just what we needed to hold us over till the next meal. A friendly welcome started our visit with a smile. 😊",9 months ago,Open,209
Nalan Demir,4.0,"The pride of E Colorado Blvd is this pizzeria!  if you want to eat clean and delicious pizza, address 667 E Colorado!",3 months ago,Open,209
photosbyisaac1,5.0,Love this place I clean their hoods every 3 months,3 months ago,Open,209
Nick Cortner,5.0,"I loved this place. It's clean, comfortable. Nice prices   not to expensive. They have every kind of chair's for your comfort.",8 months ago,Open,209
Richard Potter,5.0,Great pizza. Fast service,3 months ago,Open,209
Jagannadh Kumar,4.0,Thin pizza was really good to taste. The pizza came very quickly,a year ago,Open,209
Tony Yeung,4.0,Surprisingly good and everyone in the store is very customer focus and friendly. Great job on management and of course good pizza help too.,2 years ago,Open,209
Dominik Peric,5.0,"The workers were really nice and friendly. I learned a little about cooking pizza in the big ovens. The food was great! Also, the area is super nice to walk around and maybe grab dessert. Enjoy!",11 months ago,Open,209
Amit Patel,5.0,Great pie made fresh every single time. And now a large 14 inch pie to get for delivery is better then all the rest of the delivery pizza guys,a year ago,Open,209
