name,stars,text,timeSince,openStatus,key
Tony Jones,2.0,"Let me start with the good, pizza was good. Crust was perfect. Now the bad, customer service was HORRIBLE!! I think they take the name ""Mellow"" a little too literally. We had a long wait time for the food to come, so if you're really hungry …More",2 weeks ago,Open,3468087320.0
Johnny Rivas,5.0,Really enjoyed out time here. Really laid back environment and one of the workers there only made it better by making everyone laugh. We ordered the wings pizza and calzone. The wings were tasty although wished they were more crispy. The …More,a month ago,Open,3468087320.0
bianca ellis,5.0,Great service and really good pizza. Loved the thin crust.,a month ago,Open,3468087320.0
kevin campbell,2.0,"Food was ok but, made to order means you may not get your food at the same time as the rest of your party.   Atmosphere is festive and drinks are good for the price.  Facilities were freshened up after three requests.",a month ago,Open,3468087320.0
lvlonkey,5.0,I ordered a small bbq chicken/house half and half pizza for pickup. The service was polite and pick up happened at the expected time. The pizza itself was great. The ingredients looked and tasted fresh. I would definitely continue to get pizza here.,2 months ago,Open,3468087320.0
Rene Jackson,5.0,"Started off with bread bites, yummy! Then has a large thin crust with bacon and green peppers. Delicious! So good we devoured it and there was nothing left to take home. I'll be missing leftovers tomorrow.",2 months ago,Open,3468087320.0
Christina Postel,5.0,"We visited about a week after they reopened and it was wonderful! Our waiter Johnny was very attentive, suggested great things on the menu and held good conversation. We loved our appetizers, the pizza and the calzone. I’m so glad we had …More",3 months ago,Open,3468087320.0
Ashley Rios,5.0,"First time here,and will definitely be back! The dough is the perfect combination of soft and crispy.The spinach artichoke is creamy and so good!The vibe is super relaxing and the staff is nice!",3 months ago,Open,3468087320.0
Lorenza Lombana,5.0,"So delicious! I suggest the Thai Dye pizza. Vegan options are available too which is also a big plus. The really tall guy with the hat (Nick) was our server and he's a rockstar. Was very attentive, kind, and had great suggestions. Everyone …More",3 months ago,Open,3468087320.0
Chris Hearn,5.0,"Awesome pizza. It takes awhile to get your pizza, but based off the food and the beer choice, it gets five stars.",a month ago,Open,3468087320.0
Tommy Sanchez,2.0,This place has a dog friendly patio which is great after dog park and water bowls for dogs but the dog gets better service then you. Plastic straws are ehh. Sprites we ordered had no syrup flavoring so they tasted like soda water. Asked if …More,4 weeks ago,Open,3468087320.0
Deborah Villani,5.0,"A definite must. Great food, bar, and the decor is fun. Many tv's to watch sports. Had an excellent server.",a month ago,Open,3468087320.0
Brent Petrick,2.0,"Terribly short staffed!  Had a party of 6 got first entree after 40 minutes, got 3 more 15 min after that and at that time we’re told that they were out of the last two entrees!!  Waited 10 minutes for waiter to come back to reorder then a …More",a month ago,Open,3468087320.0
David Smith,5.0,Good food. Loved it. Had great service.,a week ago,Open,3468087320.0
Rose Cordova,1.0,"Well after the 10 minute wait at the host stand after not being acknowledged, my kids and I left very disappointed and hungry. Would really like to try it but not sure if it's worth the wait.",2 weeks ago,Open,3468087320.0
Isabel Kenyon,3.0,"Food was great.
Service was hurried, borderline rude.
My 15 year old daughter and I were seated at the bar section when there were many tables available in the family section.",a month ago,Open,3468087320.0
Eddy Arnold,4.0,"Good, friendly service.  We went on a Tuesday night... sat near the bar area.  Bartender took care of us.  Food tasted good.  My wife and I each tried a glass of beer (we liked one and not the other but that is no big deal). I guess the …More",a year ago,Open,3468087320.0
Diana Wolverton,1.0,"All kids except bartender. About an hour behind on each order. Wasxexplained to every one whom cane in. And it was trashed busy!
I really think they just opened inside up. But totally unprepared! I will go some place else.",a month ago,Open,3468087320.0
Wayne Skinner,1.0,"They ""lost"" our order. After 45 minutes that finally came out to ask if our pizza had arrived. Then it took another 20 minutes. The veggie max pizza was not well seasoned, very little pineapple. We won't be back anytime soon.",a month ago,Open,3468087320.0
M Hayhurst,5.0,"Best wings I’ve ever had hands down. The meat is very tender & the sauce was delicious. Excellent service, friendly staff, & the food is on point. If you haven’t been here yet, you need to go. You won’t leave disappointed, or hungry!",a year ago,Open,3468087320.0
Angelina Smith,2.0,"We usually love Mellow Mushrooms, we have never had an issue with the customer service nor the quality. Which is why we don't mind the 30 min wait or the price. However, today we were a bit disappointed. Our pizza tonight was burnt, not just a little crispy it was charred at the bottom. The kids wouldn't eat it.",3 months ago,Open,3468087320.0
Jim Sage,4.0,Ordered curbside pickup of the meat and greek salad combo.  The staff was great especially since we orderd 30 min before closing.  Pizza was really good.  The greek salad toppings looked amazing but the salad underneath was on it's last leg.  May have been due to how late we were there.  Would definitely go back!,2 months ago,Open,3468087320.0
Cassandra Lanza,4.0,"Service was great, it took a minute to get the food even though the place was pretty empty.  But I'll definitely be going back!",2 months ago,Open,3468087320.0
David Dushman,4.0,"Great Pizza restaurant, loads of different toppings, good craft beers, great service and nice outside seating in addition to a nice clean restaurant. In addition to the pizza they do a nice selection of hoagies. Thoroughly enjoyed our meal …More",a year ago,Open,3468087320.0
Michael FIlandro,5.0,I love working here and eating here. Grest food and great people. Nothing like having a pizza and a good conversation with some great music playing.,4 months ago,Open,3468087320.0
Tyson Findley,5.0,"Cali, Jared and Holly were gnarly! Good jokes, rad vibes and quick on the drink refills.",2 months ago,Open,3468087320.0
Chris Fitzgerald,2.0,"Recipe has definitely changed since last time we went. Very short staffed, took forever get request like a refill or a check.",a month ago,Open,3468087320.0
mayra aguilera,5.0,First time trying this pizza place out and have to say best pizza I have tried around beats all those big pizza places like pizza hut and domino's.,3 months ago,Open,3468087320.0
Cynthia Perez,5.0,"Went here yesterday for the first time, with the family.
Everyone had a great time.  We got full and everything was really good.
They have a large selection of beer. …More",3 years ago,Open,3468087320.0
Daniel Krattli,5.0,Love this tasty home style pizza n salad restaurant. Definitely recommend this restaurant.,3 months ago,Open,3468087320.0
Dionne Hill,2.0,So lets be clear....its business as usual at this restaurant during the pandemic in terms of cleaning. The tables are all wiped with the same cloth by the busser. There is no cleaner being sprayed on tables and chairs when wiped. The bar is …More,2 months ago,Open,3468087320.0
Tony martinez,5.0,Best pizza!!! Their specialty pizza is so delicious.,a month ago,Open,3468087320.0
giovanni montelongo,5.0,Had the honor of getting the server who went by Cali and he was not only a great server but was very easy to get along with and made me feel at home. Food was amazing and Cali was even better!,3 months ago,Open,3468087320.0
Danika Burwell,5.0,"One of my favorite pizza places in the area. The pizza is always delicious and consistent (the crust is to die for). Lots of local beers, great atmosphere and staff. Great place to grab a beer and chill by yourself or take a date and share …More",9 months ago,Open,3468087320.0
Christine Carnes,5.0,"Servers were very attentive, bathrooms were very clean. Everyone practice social distancing.",2 months ago,Open,3468087320.0
John DeLeon,5.0,"Never been before and had the holy shitake pie and WOW it was probably the best pizza I've ever had. Kyle(Nick), our server was great also. Over all great food and great service!",a year ago,Open,3468087320.0
Emilio Ortiz,4.0,Chicken wings were better than my pizza,a month ago,Open,3468087320.0
Michael Qualls,5.0,"Favorite pizza joint, great craft brews.",4 weeks ago,Open,3468087320.0
David Corona,5.0,Good pizza. Great service!,2 months ago,Open,3468087320.0
Mark Blanford,5.0,"Prompt service,  piled high with toppings, great taste, fun decor",a month ago,Open,3468087320.0
Fluffy Bunny,4.0,A very delicious pizza place! The large pizza I got (half holy shiitake and half mighty meaty with jalapenos and onions) was absolutely great! Super impressed with the quality of the dough and the toppings/ingredients! …More,2 years ago,Open,3468087320.0
Chanel Morton,5.0,"Yummy food, extremely pleasant atmosphere.  I crave their Greek salad constantly.  The bartenders were very nice.  It was one guy's first day at work and he was still really chill and helpful.  One of my favorite restaurants in the area. Hopefully one day I'll get to sit at the alien booth.",10 months ago,Open,3468087320.0
Matthew Quinton,2.0,"Just left after visiting for National Pizza Day...which they were not aware of.

So, no cool pizzas to try. Not a big deal, though. …More",9 months ago,Open,3468087320.0
NiNa Brown,5.0,"I’m so glad that Hurricane Harvey didn’t completely knock this place off the map. It’s absolutely incredible and every chance I get, I’m in there! I sat at the bar and what a great choice I made! The names are eluding me but I was well …More",2 years ago,Open,3468087320.0
Vanessa Glover,4.0,"The place is nice, the food is great I fully recommend the wings, the waiting time for the pizza is arround 30 minutes so take that in count... the service is nice just a litle bit slow... one thing I love is the paper straw!...",a year ago,Open,3468087320.0
J.C. Clements,5.0,Great pie and a good selection of rotating taps with local brews to be had.,2 years ago,Open,3468087320.0
Ruslan Umarov,1.0,"Overpriced place
No correct pick up time
Not good pizza quality …More",a month ago,Open,3468087320.0
colin mckeen,3.0,Don't order take out. Especially on line. Apparently it doesn't run with the restaurant. We put a order in for 815 pick up. Its 8:51 now and supposedly they are boxing it up. I hope the pizza is still worth this ridiculous wait.,3 months ago,Open,3468087320.0
Ana Christine Clark,1.0,I like Mellow Mushroom but I've been to this location twice wanting their burger and both times they've told me they run out of meat so I've had to order something else that I didn't originally want. Once I ordered the avocado sandwich and …More,9 months ago,Open,3468087320.0
